algo,metric,mean,std,ci95_lo,ci95_hi
AW-NSGA-II,f1,335.04444444444454,45.77294733284194,317.95254501285604,352.13634387603304
AW-NSGA-II,f2,2255.9730673252807,196.34986678413912,2182.6548221164476,2329.291312534114
AW-NSGA-II,f3,1324.1444444444448,62.9132732331933,1300.6522421356312,1347.6366467532584
AW-NSGA-II,f4,0.0,0.0,0.0,0.0
AW-NSGA-II,hv,0.5343495595507725,0.13876305253124302,0.4825345841803197,0.5861645349212252
AW-NSGA-II,hv_sub,0.48436824522266225,0.1452632078330728,0.43012607197262553,0.538610418472699
AW-NSGA-II,delta_h_mean,0.08847103839510848,0.024105054174143048,0.079470063239597,0.09747201355061995
AW-NSGA-II,gini_delta_h,0.3630712296796846,0.07259248168864685,0.33596475153464384,0.39017770782472533
NSGA-II-2obj,f1,314.6666666666667,24.700349788889362,305.44340447542373,323.88992885790964
NSGA-II-2obj,f2,2148.836574980763,117.43756188904838,2104.984668685483,2192.688481276043
NSGA-II-2obj,f3,1365.85,60.27499799371012,1343.3429458560663,1388.3570541439335
NSGA-II-2obj,f4,0.0,0.0,0.0,0.0
NSGA-II-2obj,hv,0.2656861752041179,0.113793149564116,0.22319511483584467,0.30817723557239113
NSGA-II-2obj,hv_sub,0.6103579449366506,0.2272827280886408,0.5254891794892296,0.6952267103840717
NSGA-II-2obj,delta_h_mean,0.09045011714359665,0.02491759555631292,0.08114573404961303,0.09975450023758026
NSGA-II-2obj,gini_delta_h,0.36941007389517083,0.06403533026586099,0.3454988886045666,0.39332125918577504
NSGA-II-3obj,f1,336.90000000000003,49.842522122122325,318.2884963680982,355.51150363190186
NSGA-II-3obj,f2,2325.0460936328354,225.96870812595716,2240.667991303303,2409.424195962368
NSGA-II-3obj,f3,1310.9166666666665,67.64238211533909,1285.6585860798625,1336.1747472534705
NSGA-II-3obj,f4,0.0,0.0,0.0,0.0
NSGA-II-3obj,hv,0.5301610730999792,0.1428832456266086,0.47680759234308856,0.5835145538568698
NSGA-II-3obj,hv_sub,0.6404947689152347,0.10936198323277023,0.5996583332480818,0.6813312045823876
NSGA-II-3obj,delta_h_mean,0.08812156791297295,0.02399957821218931,0.07915997812893547,0.09708315769701042
NSGA-II-3obj,gini_delta_h,0.37162527959008157,0.06674863493855371,0.3467009296837995,0.39654962949636363
NSGA-III,f1,346.36666666666673,43.173476141557025,330.2454257302299,362.48790760310357
NSGA-III,f2,2277.3842596664476,152.31625989140375,2220.5084334949556,2334.2600858379396
NSGA-III,f3,1312.6722222222224,71.21868113623111,1286.0787296341355,1339.2657148103094
NSGA-III,f4,0.0,0.0,0.0,0.0
NSGA-III,hv,0.5509635961220679,0.1425288137284969,0.497742462410995,0.6041847298331408
NSGA-III,hv_sub,0.5110126806744633,0.15803835660228926,0.45200018847600343,0.5700251728729231
NSGA-III,delta_h_mean,0.0873143402450657,0.024646524049305608,0.07811117691529888,0.0965175035748325
NSGA-III,gini_delta_h,0.36629285249391896,0.06485639476465986,0.34207507668078907,0.39051062830704886
MOEA/D,f1,287.0444444444445,16.625865767410858,280.83624413797685,293.2526447509121
MOEA/D,f2,2036.648560453796,134.8742062101833,1986.2857041645361,2087.011416743056
MOEA/D,f3,1317.1555555555556,63.89962994834256,1293.2950415962728,1341.0160695148384
MOEA/D,f4,0.0,0.0,0.0,0.0
MOEA/D,hv,0.7652805764325663,0.11483827476348096,0.7223992599011697,0.8081618929639629
MOEA/D,hv_sub,0.7231586921440072,0.1313932496445082,0.6740956463981588,0.7722217378898556
MOEA/D,delta_h_mean,0.09014579389818143,0.023914682107728766,0.08121590484053638,0.09907568295582649
MOEA/D,gini_delta_h,0.3699941032850945,0.06386200003702787,0.3461476405656223,0.39384056600456674
GA-SA,f1,289.85555555555555,13.883666451091347,284.6713093020155,295.0398018090956
GA-SA,f2,2176.508918518704,155.62497402851884,2118.397598183635,2234.6202388537727
GA-SA,f3,1292.1722222222224,60.00955357104116,1269.7642866546817,1314.5801577897632
GA-SA,f4,0.0,0.0,0.0,0.0
GA-SA,hv,0.5550028566992852,0.19152415367116363,0.4834865623810713,0.6265191510174991
GA-SA,hv_sub,0.5509117127616041,0.19833010860346312,0.4768540331051705,0.6249693924180377
GA-SA,delta_h_mean,0.08904133351673194,0.02438246220991767,0.07993677249827622,0.09814589453518766
GA-SA,gini_delta_h,0.3653124288586215,0.07022994719787205,0.3390881355907387,0.39153672212650426
A*-GA,f1,299.2888888888889,11.048390022736726,295.16335225310206,303.4144255246757
A*-GA,f2,2223.9019259088673,136.4011825027814,2172.968887301267,2274.8349645164676
A*-GA,f3,1380.5111111111112,58.63347959789987,1358.6170100097745,1402.4052122124479
A*-GA,f4,0.0,0.0,0.0,0.0
A*-GA,hv,0.14811716591005497,0.088453085560704,0.1150882409464988,0.18114609087361114
A*-GA,hv_sub,1.0,0.0,1.0,1.0
A*-GA,delta_h_mean,0.09331309889518372,0.024081085048932777,0.08432107395811848,0.10230512383224895
A*-GA,gini_delta_h,0.3717473825094083,0.0711549042129735,0.34517770461584923,0.3983170604029674
LWC,f1,341.23333333333335,49.700185403263575,322.6749791057394,359.7916875609273
LWC,f2,2263.8021939986215,223.9184965918968,2180.1896532375595,2347.4147347596836
LWC,f3,1319.5888888888887,65.4551077965188,1295.1475499555056,1344.0302278222719
LWC,f4,0.0,0.0,0.0,0.0
LWC,hv,0.5264056668073064,0.1565106965546979,0.4679636122454974,0.5848477213691154
LWC,hv_sub,0.4862870175700399,0.1608161935971379,0.4262372639907899,0.5463367711492899
