algo_a,algo_b,mean_hv_a,mean_hv_b,wilcoxon_p_two_sided,holm_p,cohen_dz
A*-GA,AW-NSGA-II,0.1481,0.5343,1.863e-09,0.0000,-2.977
A*-GA,GA-SA,0.1481,0.555,1.304e-08,0.0000,-1.882
A*-GA,LWC,0.1481,0.5264,1.863e-09,0.0000,-2.043
A*-GA,MOEA/D,0.1481,0.7653,1.863e-09,0.0000,-4.438
A*-GA,NSGA-II-2obj,0.1481,0.2657,4.184e-04,0.0046,-0.752
A*-GA,NSGA-II-3obj,0.1481,0.5302,1.863e-09,0.0000,-2.269
A*-GA,NSGA-III,0.1481,0.551,3.725e-09,0.0000,-2.05
AW-NSGA-II,GA-SA,0.5343,0.555,3.387e-01,1.0000,-0.101
AW-NSGA-II,LWC,0.5343,0.5264,9.032e-01,1.0000,0.05
AW-NSGA-II,MOEA/D,0.5343,0.7653,2.608e-08,0.0000,-1.656
AW-NSGA-II,NSGA-II-2obj,0.5343,0.2657,3.539e-08,0.0000,1.629
AW-NSGA-II,NSGA-II-3obj,0.5343,0.5302,6.408e-01,1.0000,0.026
AW-NSGA-II,NSGA-III,0.5343,0.551,9.193e-01,1.0000,-0.08
GA-SA,LWC,0.555,0.5264,5.158e-01,1.0000,0.128
GA-SA,MOEA/D,0.555,0.7653,3.239e-06,0.0000,-1.067
GA-SA,NSGA-II-2obj,0.555,0.2657,4.657e-08,0.0000,1.44
GA-SA,NSGA-II-3obj,0.555,0.5302,5.291e-01,1.0000,0.11
GA-SA,NSGA-III,0.555,0.551,1.000e+00,1.0000,0.018
LWC,MOEA/D,0.5264,0.7653,3.148e-07,0.0000,-1.329
LWC,NSGA-II-2obj,0.5264,0.2657,3.539e-08,0.0000,1.748
LWC,NSGA-II-3obj,0.5264,0.5302,8.394e-01,1.0000,-0.023
LWC,NSGA-III,0.5264,0.551,5.158e-01,1.0000,-0.139
MOEA/D,NSGA-II-2obj,0.7653,0.2657,1.863e-09,0.0000,3.152
MOEA/D,NSGA-II-3obj,0.7653,0.5302,9.984e-07,0.0000,1.264
MOEA/D,NSGA-III,0.7653,0.551,3.148e-07,0.0000,1.254
NSGA-II-2obj,NSGA-II-3obj,0.2657,0.5302,1.024e-07,0.0000,-1.641
NSGA-II-2obj,NSGA-III,0.2657,0.551,1.863e-08,0.0000,-1.811
NSGA-II-3obj,NSGA-III,0.5302,0.551,4.161e-01,1.0000,-0.13
