seed,algo,f1,f2,f3,f4,hv,hv_sub,front_size,evals,wall_s,delta_h_mean,delta_h_max,gini_delta_h,T_end_max,cycles_max
1,AW-NSGA-II,333.6666666666667,2498.605095612057,1362.6666666666667,0.0,0.6502085804476812,0.4948775783237134,25,20000,0.823,0.0636609821643597,0.16466890365404563,0.41018781082078015,87.1253856108103,0.9260000000000007
1,NSGA-II-2obj,339.33333333333337,2479.633799473707,1419.8333333333335,0.0,0.25970495606351374,0.6576099817774624,6,20000,0.887,0.06303153907696615,0.19466806137904102,0.46952525154304703,83.29432348244129,0.9280000000000007
1,NSGA-II-3obj,304.3333333333333,2540.045719579676,1352.6666666666667,0.0,0.5907903399494279,0.6123163389154249,55,20000,0.787,0.06466590187788056,0.16136377080387632,0.4273521136988443,83.752566645161,0.8380000000000006
1,NSGA-III,296.0,2659.842999179451,1344.3333333333333,0.0,0.49113028386696356,0.2753266698237747,16,20000,0.837,0.06369927477325538,0.1684806062928692,0.42960756801676103,86.09620799078704,0.7980000000000006
1,MOEA/D,287.66666666666663,2379.426192235108,1347.6666666666667,0.0,0.9308282586258575,0.8495400661367172,91,20000,3.124,0.0630737545091151,0.1769027796348851,0.49506644029849634,85.36292345785516,0.7880000000000006
1,GA-SA,342.3333333333333,2613.431343028553,1340.5,0.0,0.11948698004909453,0.051291191857546305,1,20000,6.48,0.06089879335590041,0.20161472190003904,0.3736230517621899,87.58548238861763,0.9220000000000007
1,A*-GA,308.3333333333333,2623.360411025149,1432.1666666666665,0.0,0.16654150967510775,1.0,3,20000,1.139,0.06651071261417144,0.1826571682384791,0.4404426505186152,82.98990187977128,0.8500000000000006
1,LWC,302.3333333333333,2545.4721717635607,1353.5000000000002,0.0,0.5026672532398908,0.3044583878838074,49,20000,0.811,0.0627026604268294,0.17503886753018771,0.4792365032501653,81.59298847402316,0.8320000000000006
2,AW-NSGA-II,304.0,2515.4526918122924,1282.6666666666667,0.0,0.26008948206912164,0.14918270093620672,66,20000,0.805,0.08360712357107644,0.23537707572971633,0.35286382531669647,84.01508501417293,0.8220000000000006
2,NSGA-II-2obj,287.0,2268.3441531479634,1324.1666666666667,0.0,0.22646285433263946,1.0,1,20000,0.884,0.08548497334531824,0.21281851183510125,0.3598261407632586,81.95130626936421,0.7880000000000006
2,NSGA-II-3obj,300.33333333333337,2305.8623724368845,1294.3333333333333,0.0,0.35121857013802055,0.7134645304865642,63,20000,0.799,0.08405719334373812,0.21447452143878154,0.3398132294824914,81.92625163377903,0.8260000000000006
2,NSGA-III,316.6666666666667,2289.3336499814855,1306.3333333333333,0.0,0.395737641962436,0.2998694006766984,77,20000,0.842,0.0846940846025259,0.19556169576682758,0.33985550463893666,82.21817136919145,0.8600000000000007
