config,seed,algo,hv,wall_s,evals
MOEA/D-T10,1,MOEA/D,0.573306832,2.474,20000
MOEA/D-T10,2,MOEA/D,0.493391962,2.490,20000
MOEA/D-T10,3,MOEA/D,0.855324218,2.479,20000
MOEA/D-T10,4,MOEA/D,0.710775564,2.455,20000
MOEA/D-T10,5,MOEA/D,0.462221756,2.515,20000
MOEA/D-T10,6,MOEA/D,0.684491323,2.596,20000
MOEA/D-T10,7,MOEA/D,0.560084663,2.484,20000
MOEA/D-T10,8,MOEA/D,0.540178995,2.550,20000
MOEA/D-T10,9,MOEA/D,0.696363058,2.587,20000
MOEA/D-T10,10,MOEA/D,0.519339751,2.534,20000
MOEA/D-T10,11,MOEA/D,0.908179167,2.620,20000
MOEA/D-T10,12,MOEA/D,0.852480472,2.609,20000
MOEA/D-T10,13,MOEA/D,0.964380962,2.556,20000
MOEA/D-T10,14,MOEA/D,0.689393968,2.562,20000
MOEA/D-T10,15,MOEA/D,0.724907265,2.638,20000
MOEA/D-T10,16,MOEA/D,0.645068882,2.611,20000
MOEA/D-T10,17,MOEA/D,0.563148721,2.524,20000
MOEA/D-T10,18,MOEA/D,0.478025386,2.624,20000
MOEA/D-T10,19,MOEA/D,0.974623944,2.701,20000
MOEA/D-T10,20,MOEA/D,0.597511403,2.492,20000
MOEA/D-T10,21,MOEA/D,0.923965904,2.610,20000
MOEA/D-T10,22,MOEA/D,0.610776044,2.634,20000
MOEA/D-T10,23,MOEA/D,0.713619000,2.536,20000
MOEA/D-T10,24,MOEA/D,0.579019103,2.552,20000
MOEA/D-T10,25,MOEA/D,0.617765679,2.589,20000
MOEA/D-T10,26,MOEA/D,0.467311468,2.560,20000
MOEA/D-T10,27,MOEA/D,0.928644479,2.508,20000
MOEA/D-T10,28,MOEA/D,0.468445171,2.575,20000
MOEA/D-T10,29,MOEA/D,0.675182063,2.584,20000
MOEA/D-T10,30,MOEA/D,0.641513870,2.497,20000
