config,seed,algo,hv,wall_s,evals
NSGA-III-H6,1,NSGA-III,0.224870074,1.507,20000
NSGA-III-H6,2,NSGA-III,0.291988307,1.491,20000
NSGA-III-H6,3,NSGA-III,0.482509484,1.510,20000
NSGA-III-H6,4,NSGA-III,0.729625021,1.526,20000
NSGA-III-H6,5,NSGA-III,0.235847244,1.468,20000
NSGA-III-H6,6,NSGA-III,0.388230344,1.548,20000
NSGA-III-H6,7,NSGA-III,0.402243493,1.516,20000
NSGA-III-H6,8,NSGA-III,0.581480636,1.506,20000
NSGA-III-H6,9,NSGA-III,0.407834707,1.503,20000
NSGA-III-H6,10,NSGA-III,0.307542732,1.494,20000
NSGA-III-H6,11,NSGA-III,0.247990963,1.488,20000
NSGA-III-H6,12,NSGA-III,0.668499520,1.490,20000
NSGA-III-H6,13,NSGA-III,0.524634353,1.508,20000
NSGA-III-H6,14,NSGA-III,0.345626722,1.502,20000
NSGA-III-H6,15,NSGA-III,0.847661949,1.499,20000
NSGA-III-H6,16,NSGA-III,0.202402300,1.510,20000
NSGA-III-H6,17,NSGA-III,0.670768983,1.492,20000
NSGA-III-H6,18,NSGA-III,0.719548105,1.501,20000
NSGA-III-H6,19,NSGA-III,0.445916818,1.470,20000
NSGA-III-H6,20,NSGA-III,0.588510475,1.464,20000
NSGA-III-H6,21,NSGA-III,0.312720659,1.457,20000
NSGA-III-H6,22,NSGA-III,0.658135809,1.445,20000
NSGA-III-H6,23,NSGA-III,0.329600411,1.437,20000
NSGA-III-H6,24,NSGA-III,0.512508757,1.467,20000
NSGA-III-H6,25,NSGA-III,0.864924146,1.451,20000
NSGA-III-H6,26,NSGA-III,0.572506137,1.460,20000
NSGA-III-H6,27,NSGA-III,0.248141040,1.447,20000
NSGA-III-H6,28,NSGA-III,0.816588756,1.440,20000
NSGA-III-H6,29,NSGA-III,0.372480066,1.449,20000
NSGA-III-H6,30,NSGA-III,0.456809284,1.442,20000
