config,algo,seed,hv,wall_s
MOEA/D|MOEAD_T|10,MOEA/D,1,0.5733068315237968,2.474
MOEA/D|MOEAD_T|10,MOEA/D,2,0.49339196234951543,2.49
MOEA/D|MOEAD_T|10,MOEA/D,3,0.8553242180834907,2.479
MOEA/D|MOEAD_T|10,MOEA/D,4,0.7107755642814786,2.455
MOEA/D|MOEAD_T|10,MOEA/D,5,0.4622217561034595,2.515
MOEA/D|MOEAD_T|10,MOEA/D,6,0.6844913226820122,2.596
MOEA/D|MOEAD_T|10,MOEA/D,7,0.5600846625538326,2.484
MOEA/D|MOEAD_T|10,MOEA/D,8,0.5401789945757801,2.55
MOEA/D|MOEAD_T|10,MOEA/D,9,0.6963630580805611,2.587
MOEA/D|MOEAD_T|10,MOEA/D,10,0.5193397509341426,2.534
MOEA/D|MOEAD_T|10,MOEA/D,11,0.9081791672685111,2.62
MOEA/D|MOEAD_T|10,MOEA/D,12,0.852480471507808,2.609
MOEA/D|MOEAD_T|10,MOEA/D,13,0.9643809624684112,2.556
MOEA/D|MOEAD_T|10,MOEA/D,14,0.6893939675085974,2.562
MOEA/D|MOEAD_T|10,MOEA/D,15,0.7249072652120144,2.638
MOEA/D|MOEAD_T|10,MOEA/D,16,0.6450688819984293,2.611
MOEA/D|MOEAD_T|10,MOEA/D,17,0.5631487209219501,2.524
MOEA/D|MOEAD_T|10,MOEA/D,18,0.4780253861191151,2.624
MOEA/D|MOEAD_T|10,MOEA/D,19,0.9746239435090716,2.701
MOEA/D|MOEAD_T|10,MOEA/D,20,0.597511403353828,2.492
MOEA/D|MOEAD_T|10,MOEA/D,21,0.9239659041048289,2.61
MOEA/D|MOEAD_T|10,MOEA/D,22,0.6107760443456062,2.634
MOEA/D|MOEAD_T|10,MOEA/D,23,0.713618999777589,2.536
MOEA/D|MOEAD_T|10,MOEA/D,24,0.5790191028032763,2.552
MOEA/D|MOEAD_T|10,MOEA/D,25,0.6177656794298106,2.589
MOEA/D|MOEAD_T|10,MOEA/D,26,0.4673114683083592,2.56
MOEA/D|MOEAD_T|10,MOEA/D,27,0.9286444794364934,2.508
MOEA/D|MOEAD_T|10,MOEA/D,28,0.4684451710842556,2.575
MOEA/D|MOEAD_T|10,MOEA/D,29,0.6751820628704173,2.584
MOEA/D|MOEAD_T|10,MOEA/D,30,0.6415138696051471,2.497
MOEA/D|MOEAD_T|30,MOEA/D,1,0.9170219206559382,4.975
MOEA/D|MOEAD_T|30,MOEA/D,2,0.7378122974577688,4.907
MOEA/D|MOEAD_T|30,MOEA/D,3,0.7879176719764212,4.995
MOEA/D|MOEAD_T|30,MOEA/D,4,0.8835657002836241,4.921
MOEA/D|MOEAD_T|30,MOEA/D,5,0.6702778422520435,5.029
MOEA/D|MOEAD_T|30,MOEA/D,6,0.5504896170032564,4.954
MOEA/D|MOEAD_T|30,MOEA/D,7,0.7500597046744024,4.886
MOEA/D|MOEAD_T|30,MOEA/D,8,1.1631552955504434,4.99
MOEA/D|MOEAD_T|30,MOEA/D,9,0.7661183678704817,4.904
MOEA/D|MOEAD_T|30,MOEA/D,10,0.838032889745307,5.017
MOEA/D|MOEAD_T|30,MOEA/D,11,1.2160885988161316,4.899
MOEA/D|MOEAD_T|30,MOEA/D,12,0.6669517200102715,4.944
MOEA/D|MOEAD_T|30,MOEA/D,13,0.8320355315873551,4.951
MOEA/D|MOEAD_T|30,MOEA/D,14,0.6903333086085063,4.898
MOEA/D|MOEAD_T|30,MOEA/D,15,0.8548485315744452,4.979
MOEA/D|MOEAD_T|30,MOEA/D,16,0.9080706739128523,4.866
MOEA/D|MOEAD_T|30,MOEA/D,17,0.8385995245217448,4.997
MOEA/D|MOEAD_T|30,MOEA/D,18,0.7312981249136209,4.898
MOEA/D|MOEAD_T|30,MOEA/D,19,0.8434855697919097,4.955
MOEA/D|MOEAD_T|30,MOEA/D,20,0.5806596164945634,4.973
MOEA/D|MOEAD_T|30,MOEA/D,21,1.203761998939125,4.922
MOEA/D|MOEAD_T|30,MOEA/D,22,0.5559928815177664,5.022
MOEA/D|MOEAD_T|30,MOEA/D,23,0.9830122624675031,4.884
MOEA/D|MOEAD_T|30,MOEA/D,24,1.0416952085982238,4.979
MOEA/D|MOEAD_T|30,MOEA/D,25,0.9848850545644562,4.91
MOEA/D|MOEAD_T|30,MOEA/D,26,0.6461454556266139,4.95
MOEA/D|MOEAD_T|30,MOEA/D,27,0.7397166568923896,4.958
MOEA/D|MOEAD_T|30,MOEA/D,28,1.3013007872348483,4.903
MOEA/D|MOEAD_T|30,MOEA/D,29,0.8122650745821025,4.964
MOEA/D|MOEAD_T|30,MOEA/D,30,0.5308353108205687,4.878
NSGA-III|NSGA3_H|4,NSGA-III,1,0.4493473317763456,1.426
NSGA-III|NSGA3_H|4,NSGA-III,2,0.204947043045833,1.427
NSGA-III|NSGA3_H|4,NSGA-III,3,0.4271739247603263,1.42
NSGA-III|NSGA3_H|4,NSGA-III,4,0.47154010649893585,1.38
NSGA-III|NSGA3_H|4,NSGA-III,5,0.3356319566111707,1.336
NSGA-III|NSGA3_H|4,NSGA-III,6,0.4148331174975125,1.433
NSGA-III|NSGA3_H|4,NSGA-III,7,0.38568182059462464,1.422
NSGA-III|NSGA3_H|4,NSGA-III,8,0.5974903027339953,1.426
NSGA-III|NSGA3_H|4,NSGA-III,9,0.5049721346713337,1.435
NSGA-III|NSGA3_H|4,NSGA-III,10,0.42927118321016555,1.406
NSGA-III|NSGA3_H|4,NSGA-III,11,0.6634420548684357,1.354
NSGA-III|NSGA3_H|4,NSGA-III,12,0.49347107737081447,1.41
NSGA-III|NSGA3_H|4,NSGA-III,13,0.5212178316197976,1.449
NSGA-III|NSGA3_H|4,NSGA-III,14,0.3440717785906098,1.429
NSGA-III|NSGA3_H|4,NSGA-III,15,0.7681548709192302,1.421
NSGA-III|NSGA3_H|4,NSGA-III,16,0.3315023774506012,1.391
NSGA-III|NSGA3_H|4,NSGA-III,17,0.5327517475522994,1.33
NSGA-III|NSGA3_H|4,NSGA-III,18,0.41206703165557884,1.4
NSGA-III|NSGA3_H|4,NSGA-III,19,0.5306160540196772,1.428
