scenario,strategy,metric,mean,std,n
congestion,EHCO,deg_pct,45.40493221777564,30.53942060813204,150
congestion,EHCO,response_ms,645.5834174825487,175.40760622695478,150
congestion,EHCO,event_fired_rate,1.0,0.0,150
congestion,EHCO,replan_applied_rate,0.68,0.0,150
congestion,A*-GA,deg_pct,59.02684932581264,26.7543125706173,150
congestion,A*-GA,event_fired_rate,1.0,0.0,150
congestion,A*-GA,replan_applied_rate,0.0,0.0,150
fault,EHCO,deg_pct,4.130828740025863,16.37802424631277,150
fault,EHCO,response_ms,1349.2301211110973,1113.5963834199706,150
fault,EHCO,event_fired_rate,1.0,0.0,150
fault,EHCO,replan_applied_rate,0.6,0.0,150
fault,A*-GA,deg_pct,46.3113956055161,41.27548737800181,150
fault,A*-GA,event_fired_rate,1.0,0.0,150
fault,A*-GA,replan_applied_rate,0.0,0.0,150
urgent,EHCO,deg_pct,43.79501829528418,24.977222943823715,150
urgent,EHCO,response_ms,85.9740946666534,3.554407608055224,150
urgent,EHCO,event_fired_rate,1.0,0.0,150
urgent,EHCO,replan_applied_rate,1.0,0.0,150
urgent,A*-GA,deg_pct,92.85124214611103,22.50412596181842,150
urgent,A*-GA,event_fired_rate,1.0,0.0,150
urgent,A*-GA,replan_applied_rate,0.0,0.0,150
congestion,noFLC,deg_pct,46.82213166938428,31.617956051169756,150
congestion,noFLC,response_ms,118.73442797199955,26.20001855751442,150
congestion,noFLC,event_fired_rate,1.0,0.0,150
congestion,noFLC,replan_applied_rate,0.56,0.0,150
congestion,noAW,deg_pct,47.84395853806976,32.027098596416714,150
congestion,noAW,response_ms,122.14400283677773,28.461375915039095,150
congestion,noAW,event_fired_rate,1.0,0.0,150
congestion,noAW,replan_applied_rate,0.5866666666666667,0.0,150
fault,noFLC,deg_pct,5.029388663038445,16.57942141435678,150
fault,noFLC,response_ms,478.1511366666867,40.043066897633146,150
fault,noFLC,event_fired_rate,1.0,0.0,150
fault,noFLC,replan_applied_rate,0.6,0.0,150
fault,noAW,deg_pct,6.631755747722395,16.362885916137788,150
fault,noAW,response_ms,478.6041836955717,53.53553199231601,150
fault,noAW,event_fired_rate,1.0,0.0,150
fault,noAW,replan_applied_rate,0.6133333333333333,0.0,150
urgent,noFLC,deg_pct,43.62338416104864,24.91004311343338,150
urgent,noFLC,response_ms,85.34960533341898,4.608792955075139,150
urgent,noFLC,event_fired_rate,1.0,0.0,150
urgent,noFLC,replan_applied_rate,1.0,0.0,150
urgent,noAW,deg_pct,47.08892436579258,23.367264362014986,150
urgent,noAW,response_ms,87.92243000004721,4.698909789136306,150
urgent,noAW,event_fired_rate,1.0,0.0,150
urgent,noAW,replan_applied_rate,1.0,0.0,150
