scenario,strategy,metric,mean,std,n
congestion,EHCO,deg_pct,44.885940908018405,29.833827109626643,150
congestion,EHCO,response_ms,118.112769,25.036452,95
congestion,EHCO,event_fired_rate,1.0,0.0,150
congestion,EHCO,replan_applied_rate,0.6333333333333333,0.0,150
congestion,A*-GA,deg_pct,59.02684932581264,26.7543125706173,150
congestion,A*-GA,event_fired_rate,1.0,0.0,150
congestion,A*-GA,replan_applied_rate,0.0,0.0,150
fault,EHCO,deg_pct,3.837339153589862,14.569860659308828,150
fault,EHCO,response_ms,514.887393,37.217628,90
fault,EHCO,event_fired_rate,1.0,0.0,150
fault,EHCO,replan_applied_rate,0.6,0.0,150
fault,EHCO,detection_rate,1.0,0.0,150
fault,EHCO,false_alarm_rate,0.0,0.0,150
fault,EHCO,f1_score,1.0,0.0,150
fault,EHCO,warn_t_mean,286.8666666666667,137.29816995151754,150
fault,A*-GA,deg_pct,46.3113956055161,41.27548737800181,150
fault,A*-GA,event_fired_rate,1.0,0.0,150
fault,A*-GA,replan_applied_rate,0.0,0.0,150
fault,A*-GA,detection_rate,1.0,0.0,150
fault,A*-GA,false_alarm_rate,0.0,0.0,150
fault,A*-GA,f1_score,1.0,0.0,150
fault,A*-GA,warn_t_mean,289.50666666666666,138.96152461881232,150
urgent,EHCO,deg_pct,43.558080336312706,25.672709795924106,150
urgent,EHCO,response_ms,97.007557,6.134313,150
urgent,EHCO,event_fired_rate,1.0,0.0,150
urgent,EHCO,replan_applied_rate,1.0,0.0,150
urgent,A*-GA,deg_pct,92.85124214611103,22.50412596181842,150
urgent,A*-GA,event_fired_rate,1.0,0.0,150
urgent,A*-GA,replan_applied_rate,0.0,0.0,150
