scenario,strategy,metric,mean,std,n
congestion,EHCO,deg_pct,47.97334268609165,30.896103841775492,150
congestion,EHCO,response_ms,790.4991275361787,136.86205229121228,150
congestion,EHCO,event_fired_rate,1.0,0.0,150
congestion,EHCO,replan_applied_rate,0.6466666666666666,0.0,150
congestion,A*-GA,deg_pct,59.98005198436486,28.192849760554154,150
congestion,A*-GA,event_fired_rate,1.0,0.0,150
congestion,A*-GA,replan_applied_rate,0.0,0.0,150
fault,EHCO,deg_pct,7.036693717391475,16.805060588889376,150
fault,EHCO,response_ms,2661.2495802197213,1175.9207390714694,150
fault,EHCO,event_fired_rate,1.0,0.0,150
fault,EHCO,replan_applied_rate,0.6066666666666667,0.0,150
fault,A*-GA,deg_pct,43.62709729697444,39.48265281205145,150
fault,A*-GA,event_fired_rate,1.0,0.0,150
fault,A*-GA,replan_applied_rate,0.0,0.0,150
urgent,EHCO,deg_pct,44.30851738565173,24.989762411288808,150
urgent,EHCO,response_ms,111.50748266656592,12.244526054061211,150
urgent,EHCO,event_fired_rate,1.0,0.0,150
urgent,EHCO,replan_applied_rate,1.0,0.0,150
urgent,A*-GA,deg_pct,91.2325511290927,22.108708795912612,150
urgent,A*-GA,event_fired_rate,1.0,0.0,150
urgent,A*-GA,replan_applied_rate,0.0,0.0,150
congestion,noFLC,deg_pct,51.00830860912711,31.48202569846297,150
congestion,noFLC,response_ms,121.9818550723795,22.01633527207654,150
congestion,noFLC,event_fired_rate,1.0,0.0,150
congestion,noFLC,replan_applied_rate,0.6,0.0,150
congestion,noAW,deg_pct,43.24664260481971,35.168036138473056,150
congestion,noAW,response_ms,124.6299575539511,23.30877361878169,150
congestion,noAW,event_fired_rate,1.0,0.0,150
congestion,noAW,replan_applied_rate,0.66,0.0,150
fault,noFLC,deg_pct,7.745351990462017,16.177526949947687,150
fault,noFLC,response_ms,509.0787296699041,43.75890307194517,150
fault,noFLC,event_fired_rate,1.0,0.0,150
fault,noFLC,replan_applied_rate,0.6066666666666667,0.0,150
fault,noFLC,detection_rate,1.0,0.0,150
fault,noFLC,false_alarm_rate,0.0,0.0,150
fault,noFLC,f1_score,1.0,0.0,150
fault,noFLC,warn_t_mean,287.00666666666666,137.70508788866536,150
fault,noAW,deg_pct,4.324664483447011,17.73572998350301,150
fault,noAW,response_ms,518.0051184783144,42.63675939074222,150
fault,noAW,event_fired_rate,1.0,0.0,150
fault,noAW,replan_applied_rate,0.6133333333333333,0.0,150
fault,noAW,detection_rate,1.0,0.0,150
fault,noAW,false_alarm_rate,0.0,0.0,150
fault,noAW,f1_score,1.0,0.0,150
fault,noAW,warn_t_mean,287.02666666666664,139.18540320494958,150
urgent,noFLC,deg_pct,45.17454322274024,25.13584357309312,150
urgent,noFLC,response_ms,96.19815000003048,4.772868541883226,150
urgent,noFLC,event_fired_rate,1.0,0.0,150
urgent,noFLC,replan_applied_rate,1.0,0.0,150
urgent,noAW,deg_pct,39.49185828920845,24.816831638482732,150
urgent,noAW,response_ms,98.17260799980431,4.853740825085155,150
urgent,noAW,event_fired_rate,1.0,0.0,150
urgent,noAW,replan_applied_rate,1.0,0.0,150
