scenario,strategy,seed,instance,t_ev,f1_base,f1_event,deg_pct,timeout,response_ms,replan_evals,warn_t,warn_agv,n_warned,n_agv,event_fired,replan_applied,maint_enter
congestion,EHCO,31,0,150.0,270.0,428.0,58.51851851851851,0,794.0096000020276,4000.0,None,None,0,10,1,1,
congestion,A*-GA,31,0,150.0,285.0,475.0,66.66666666666666,0,None,None,None,None,0,10,1,0,
congestion,EHCO,32,0,150.0,292.0,547.0,87.32876712328768,0,876.7296999976679,4000.0,None,None,0,10,1,0,
congestion,A*-GA,32,0,150.0,301.0,540.0,79.40199335548172,0,None,None,None,None,0,10,1,0,
congestion,EHCO,33,0,150.0,328.0,620.0,89.02439024390245,0,818.7469999975292,4000.0,None,None,0,10,1,1,
congestion,A*-GA,33,0,150.0,305.0,618.0,102.62295081967213,0,None,None,None,None,0,10,1,0,
congestion,EHCO,34,0,150.0,307.0,592.0,92.83387622149837,0,864.2362999999023,4000.0,None,None,0,10,1,0,
congestion,A*-GA,34,0,150.0,320.0,585.0,82.8125,0,None,None,None,None,0,10,1,0,
congestion,EHCO,35,0,150.0,351.0,566.0,61.25356125356125,0,801.5479000023333,4000.0,None,None,0,10,1,1,
congestion,A*-GA,35,0,150.0,299.0,574.0,91.9732441471572,0,None,None,None,None,0,10,1,0,
congestion,EHCO,36,0,150.0,366.0,485.0,32.51366120218579,0,827.7423999970779,4000.0,None,None,0,10,1,1,
congestion,A*-GA,36,0,150.0,313.0,663.0,111.82108626198084,0,None,None,None,None,0,10,1,0,
congestion,EHCO,37,0,150.0,339.0,529.0,56.04719764011799,0,807.5451999975485,4000.0,None,None,0,10,1,1,
congestion,A*-GA,37,0,150.0,291.0,531.0,82.4742268041237,0,None,None,None,None,0,10,1,0,
congestion,EHCO,38,0,150.0,322.0,609.0,89.13043478260869,0,1006.7756999997073,4000.0,None,None,0,10,1,0,
congestion,A*-GA,38,0,150.0,334.0,697.0,108.68263473053892,0,None,None,None,None,0,10,1,0,
congestion,EHCO,39,0,150.0,314.0,574.0,82.80254777070064,0,942.8055000025779,4000.0,None,None,0,10,1,1,
congestion,A*-GA,39,0,150.0,316.0,572.0,81.0126582278481,0,None,None,None,None,0,10,1,0,
congestion,EHCO,40,0,150.0,270.0,467.0,72.96296296296296,0,825.9767999988981,4000.0,None,None,0,10,1,1,
congestion,A*-GA,40,0,150.0,304.0,582.0,91.44736842105263,0,None,None,None,None,0,10,1,0,
congestion,EHCO,41,0,150.0,397.0,579.0,45.843828715365234,0,827.5333999990835,4000.0,None,None,0,10,1,0,
congestion,A*-GA,41,0,150.0,291.0,550.0,89.00343642611683,0,None,None,None,None,0,10,1,0,
congestion,EHCO,42,0,150.0,371.0,583.0,57.14285714285714,0,799.7821999997541,4000.0,None,None,0,10,1,0,
congestion,A*-GA,42,0,150.0,302.0,626.0,107.28476821192052,0,None,None,None,None,0,10,1,0,
congestion,EHCO,43,0,150.0,291.0,460.0,58.075601374570454,0,809.2975999970804,4000.0,None,None,0,10,1,1,
congestion,A*-GA,43,0,150.0,280.0,536.0,91.42857142857143,0,None,None,None,None,0,10,1,0,
congestion,EHCO,44,0,150.0,305.0,768.0,151.80327868852459,0,885.5962999987241,4000.0,None,None,0,10,1,1,
congestion,A*-GA,44,0,150.0,308.0,617.0,100.32467532467533,0,None,None,None,None,0,10,1,0,
congestion,EHCO,45,0,150.0,342.0,569.0,66.37426900584795,0,811.2443999998504,4000.0,None,None,0,10,1,1,
congestion,A*-GA,45,0,150.0,304.0,554.0,82.23684210526315,0,None,None,None,None,0,10,1,0,
congestion,EHCO,46,0,150.0,300.0,576.0,92.0,0,835.9658999979729,4000.0,None,None,0,10,1,0,
congestion,A*-GA,46,0,150.0,297.0,597.0,101.01010101010101,0,None,None,None,None,0,10,1,0,
congestion,EHCO,47,0,150.0,312.0,696.0,123.07692307692308,0,888.2230999988678,4000.0,None,None,0,10,1,1,
congestion,A*-GA,47,0,150.0,313.0,640.0,104.47284345047922,0,None,None,None,None,0,10,1,0,
congestion,EHCO,48,0,150.0,315.0,558.0,77.14285714285715,0,806.2533000011172,4000.0,None,None,0,10,1,1,
congestion,A*-GA,48,0,150.0,308.0,580.0,88.31168831168831,0,None,None,None,None,0,10,1,0,
congestion,EHCO,49,0,150.0,310.0,533.0,71.93548387096774,0,800.0733999979275,4000.0,None,None,0,10,1,1,
congestion,A*-GA,49,0,150.0,302.0,556.0,84.10596026490066,0,None,None,None,None,0,10,1,0,
congestion,EHCO,50,0,150.0,348.0,602.0,72.98850574712644,0,855.9507000027224,4000.0,None,None,0,10,1,1,
congestion,A*-GA,50,0,150.0,299.0,539.0,80.2675585284281,0,None,None,None,None,0,10,1,0,
congestion,EHCO,51,0,150.0,282.0,558.0,97.87234042553192,0,807.7619000032428,4000.0,None,None,0,10,1,1,
congestion,A*-GA,51,0,150.0,293.0,600.0,104.77815699658703,0,None,None,None,None,0,10,1,0,
congestion,EHCO,52,0,150.0,324.0,514.0,58.64197530864198,0,788.9863000018522,4000.0,None,None,0,10,1,1,
congestion,A*-GA,52,0,150.0,301.0,549.0,82.39202657807309,0,None,None,None,None,0,10,1,0,
congestion,EHCO,53,0,150.0,396.0,559.0,41.16161616161616,0,782.1693000005325,4000.0,None,None,0,10,1,1,
congestion,A*-GA,53,0,150.0,290.0,528.0,82.06896551724138,0,None,None,None,None,0,10,1,0,
congestion,EHCO,54,0,150.0,352.0,806.0,128.97727272727272,0,799.7738999983994,4000.0,None,None,0,10,1,1,
congestion,A*-GA,54,0,150.0,323.0,681.0,110.83591331269349,0,None,None,None,None,0,10,1,0,
congestion,EHCO,55,0,150.0,359.0,654.0,82.17270194986072,0,831.4456999978574,4000.0,None,None,0,10,1,1,
congestion,A*-GA,55,0,150.0,292.0,557.0,90.75342465753424,0,None,None,None,None,0,10,1,0,
congestion,EHCO,56,0,150.0,342.0,541.0,58.187134502923975,0,800.2684999992198,4000.0,None,None,0,10,1,1,
congestion,A*-GA,56,0,150.0,296.0,488.0,64.86486486486487,0,None,None,None,None,0,10,1,0,
congestion,EHCO,57,0,150.0,277.0,533.0,92.4187725631769,0,709.5632999989903,4000.0,None,None,0,10,1,0,
congestion,A*-GA,57,0,150.0,287.0,552.0,92.33449477351915,0,None,None,None,None,0,10,1,0,
congestion,EHCO,58,0,150.0,307.0,573.0,86.64495114006515,0,800.6894999998622,4000.0,None,None,0,10,1,0,
congestion,A*-GA,58,0,150.0,318.0,578.0,81.76100628930818,0,None,None,None,None,0,10,1,0,
congestion,EHCO,59,0,150.0,292.0,506.0,73.28767123287672,0,626.0082999979204,4000.0,None,None,0,10,1,1,
congestion,A*-GA,59,0,150.0,298.0,599.0,101.00671140939596,0,None,None,None,None,0,10,1,0,
congestion,EHCO,60,0,150.0,353.0,586.0,66.0056657223796,0,758.7108999978227,4000.0,None,None,0,10,1,1,
congestion,A*-GA,60,0,150.0,297.0,502.0,69.02356902356902,0,None,None,None,None,0,10,1,0,
