scenario,strategy,metric,mean,std,n
congestion,EHCO,deg_pct,47.97334268609165,30.896103841775492,150
congestion,EHCO,response_ms,790.4991275361787,136.86205229121228,150
congestion,EHCO,event_fired_rate,1.0,0.0,150
congestion,EHCO,replan_applied_rate,0.6466666666666666,0.0,150
congestion,A*-GA,deg_pct,59.98005198436486,28.192849760554154,150
congestion,A*-GA,event_fired_rate,1.0,0.0,150
congestion,A*-GA,replan_applied_rate,0.0,0.0,150
fault,EHCO,deg_pct,7.036693717391475,16.805060588889376,150
fault,EHCO,response_ms,2661.2495802197213,1175.9207390714694,150
fault,EHCO,event_fired_rate,1.0,0.0,150
fault,EHCO,replan_applied_rate,0.6066666666666667,0.0,150
fault,EHCO,detection_rate,1.0,0.0,150
fault,EHCO,false_alarm_rate,0.0,0.0,150
fault,EHCO,f1_score,1.0,0.0,150
fault,EHCO,warn_t_mean,287.00666666666666,137.70508788866536,150
fault,A*-GA,deg_pct,43.62709729697444,39.48265281205145,150
fault,A*-GA,event_fired_rate,1.0,0.0,150
fault,A*-GA,replan_applied_rate,0.0,0.0,150
fault,A*-GA,detection_rate,1.0,0.0,150
fault,A*-GA,false_alarm_rate,0.0,0.0,150
fault,A*-GA,f1_score,1.0,0.0,150
fault,A*-GA,warn_t_mean,289.46666666666664,138.1071788183486,150
urgent,EHCO,deg_pct,44.30851738565173,24.989762411288808,150
urgent,EHCO,response_ms,111.50748266656592,12.244526054061211,150
urgent,EHCO,event_fired_rate,1.0,0.0,150
urgent,EHCO,replan_applied_rate,1.0,0.0,150
urgent,A*-GA,deg_pct,91.2325511290927,22.108708795912612,150
urgent,A*-GA,event_fired_rate,1.0,0.0,150
urgent,A*-GA,replan_applied_rate,0.0,0.0,150
