seed,strategy,t,completed_pct,h_fault
31,EHCO,1.0,0.0,0.7671867865101591
31,EHCO,3.0,0.0,0.7752254134933226
31,EHCO,5.0,0.0,0.7828594425114844
31,EHCO,7.0,0.0,0.7901062152952744
31,EHCO,9.0,0.0,0.7969823689752152
31,EHCO,11.0,0.0,0.8035038641244757
31,EHCO,13.0,0.0,0.8096860116948776
31,EHCO,15.0,0.0,0.815543498889684
31,EHCO,17.0,0.0,0.8210785820365814
31,EHCO,19.0,0.0,0.8261810997339513
31,EHCO,21.0,0.0,0.8308715764591297
31,EHCO,23.0,0.0,0.835169672759122
31,EHCO,25.0,0.0,0.8391402540213316
31,EHCO,27.0,0.0,0.842934567471014
31,EHCO,29.0,0.0,0.8465599500128586
31,EHCO,31.0,2.0,0.8500117660216913
31,EHCO,33.0,2.0,0.8532632056741283
31,EHCO,35.0,2.0,0.8563231977842919
31,EHCO,37.0,2.0,0.8592003032368016
31,EHCO,39.0,2.0,0.8619027297123665
31,EHCO,41.0,4.0,0.8644383458308719
31,EHCO,43.0,8.0,0.8668262032118225
31,EHCO,45.0,8.0,0.8689699634755966
31,EHCO,47.0,10.0,0.8708369356459407
31,EHCO,49.0,10.0,0.8724411572864771
31,EHCO,51.0,10.0,0.8737960627221979
31,EHCO,53.0,14.000000000000002,0.8749145075729301
31,EHCO,55.0,14.000000000000002,0.8758087923100033
31,EHCO,57.0,16.0,0.8764906848746761
31,EHCO,59.0,16.0,0.8769714423953597
31,EHCO,61.0,18.0,0.8772618320392261
31,EHCO,63.0,18.0,0.8773721510323801
31,EHCO,65.0,18.0,0.8773122458814376
31,EHCO,67.0,20.0,0.8770915308280558
31,EHCO,69.0,20.0,0.8767190055667202
31,EHCO,71.0,20.0,0.8762032722549034
31,EHCO,73.0,20.0,0.8755525518435632
31,EHCO,75.0,20.0,0.8747746997548465
31,EHCO,77.0,22.0,0.8738772209328088
31,EHCO,79.0,22.0,0.8729954681062684
31,EHCO,81.0,22.0,0.8721714025455358
31,EHCO,83.0,24.0,0.8714025059863364
31,EHCO,85.0,26.0,0.8706603275488869
31,EHCO,87.0,26.0,0.8699353764992491
31,EHCO,89.0,26.0,0.869227167862723
31,EHCO,91.0,26.0,0.8685352325355561
31,EHCO,93.0,28.000000000000004,0.867859116714469
31,EHCO,95.0,28.000000000000004,0.8671983813476992
31,EHCO,97.0,28.000000000000004,0.8665526016067312
31,EHCO,99.0,28.000000000000004,0.865921366377919
31,EHCO,101.0,30.0,0.8653042777732315
31,EHCO,103.0,30.0,0.8647094747957815
31,EHCO,105.0,34.0,0.8640332653235431
31,EHCO,107.0,36.0,0.8632387219547301
31,EHCO,109.0,36.0,0.8623328756111821
31,EHCO,111.0,36.0,0.8613224419112865
31,EHCO,113.0,36.0,0.8602138341918429
31,EHCO,115.0,38.0,0.8590131760082994
31,EHCO,117.0,38.0,0.8577263131339969
31,EHCO,119.0,40.0,0.8563588250782542
31,EHCO,121.0,42.0,0.8549160361423408
31,EHCO,123.0,42.0,0.8534030260316352
31,EHCO,125.0,42.0,0.8518246400415477
31,EHCO,127.0,44.0,0.8501854988340906
31,EHCO,129.0,44.0,0.8484900078213182
31,EHCO,131.0,44.0,0.8467829471258351
31,EHCO,133.0,44.0,0.8451859003277422
31,EHCO,135.0,44.0,0.8436941594983189
31,EHCO,137.0,46.0,0.8422953530473094
31,EHCO,139.0,48.0,0.8409625386437192
31,EHCO,141.0,48.0,0.8396930008218653
31,EHCO,143.0,50.0,0.8384841320422196
31,EHCO,145.0,50.0,0.8373334284420304
31,EHCO,147.0,50.0,0.8362384857528163
31,EHCO,149.0,50.0,0.8351969953781855
31,EHCO,151.0,50.0,0.8342067406256879
31,EHCO,153.0,50.0,0.8332732760556594
31,EHCO,155.0,50.0,0.832295219185903
31,EHCO,157.0,52.0,0.8312359155906015
31,EHCO,159.0,52.0,0.8301005239939604
31,EHCO,161.0,56.00000000000001,0.8288939681596124
31,EHCO,163.0,56.00000000000001,0.8276209466466518
31,EHCO,165.0,57.99999999999999,0.8262859421740407
31,EHCO,167.0,57.99999999999999,0.8248932306088965
31,EHCO,169.0,57.99999999999999,0.8234866049339362
31,EHCO,171.0,57.99999999999999,0.8221850538256588
31,EHCO,173.0,60.0,0.8209839874711876
31,EHCO,175.0,62.0,0.8198711485983889
31,EHCO,177.0,62.0,0.8188197055364136
31,EHCO,179.0,64.0,0.8178270499561157
31,EHCO,181.0,64.0,0.8168906780600917
31,EHCO,183.0,64.0,0.8160081864575307
31,EHCO,185.0,66.0,0.8151772682011612
31,EHCO,187.0,68.0,0.8143957089799355
31,EHCO,189.0,70.0,0.8136613834613373
31,EHCO,191.0,70.0,0.8129549678065848
31,EHCO,193.0,70.0,0.8121647883004346
31,EHCO,195.0,70.0,0.8112959678825837
31,EHCO,197.0,70.0,0.8103533981595742
31,EHCO,199.0,70.0,0.8093417489817716
31,EHCO,201.0,70.0,0.8082546884392265
