alpha,metric,mean,std,n
0.1,f1,555.3,138.83925902547628,30
0.3,f1,555.3,138.83925902547628,30
0.5,f1,555.3,138.83925902547628,30
0.8,f1,555.3,138.83925902547628,30
1.0,f1,555.3,138.83925902547628,30
0.1,f2_full,4358.088707067046,842.1000273355133,30
0.3,f2_full,4358.088707067046,842.1000273355133,30
0.5,f2_full,4358.088707067046,842.1000273355133,30
0.8,f2_full,4358.088707067046,842.1000273355133,30
1.0,f2_full,4358.088707067046,842.1000273355133,30
0.1,share_low,0.26999999999999996,0.1295882072114429,30
0.3,share_low,0.26999999999999996,0.1295882072114429,30
0.5,share_low,0.26999999999999996,0.1295882072114429,30
0.8,share_low,0.26999999999999996,0.1295882072114429,30
1.0,share_low,0.26999999999999996,0.1295882072114429,30
0.1,gini_delta_h,0.41210247859335636,0.07053428910702973,30
0.3,gini_delta_h,0.41210247859335636,0.07053428910702973,30
0.5,gini_delta_h,0.41210247859335636,0.07053428910702973,30
0.8,gini_delta_h,0.41210247859335636,0.07053428910702973,30
1.0,gini_delta_h,0.41210247859335636,0.07053428910702973,30
0.1,delta_h_low_mean,-0.2140298504739053,0.07754006641559005,30
0.3,delta_h_low_mean,-0.2140298504739053,0.07754006641559005,30
0.5,delta_h_low_mean,-0.2140298504739053,0.07754006641559005,30
0.8,delta_h_low_mean,-0.2140298504739053,0.07754006641559005,30
1.0,delta_h_low_mean,-0.2140298504739053,0.07754006641559005,30
0.1,delta_h_max,0.21665126845265936,0.05191066448275416,30
0.3,delta_h_max,0.21665126845265936,0.05191066448275416,30
0.5,delta_h_max,0.21665126845265936,0.05191066448275416,30
0.8,delta_h_max,0.21665126845265936,0.05191066448275416,30
1.0,delta_h_max,0.21665126845265936,0.05191066448275416,30
0.1,h_end_min_lowgrp,0.45421248252084784,0.18342085083425338,30
0.3,h_end_min_lowgrp,0.45421248252084784,0.18342085083425338,30
0.5,h_end_min_lowgrp,0.45421248252084784,0.18342085083425338,30
0.8,h_end_min_lowgrp,0.45421248252084784,0.18342085083425338,30
1.0,h_end_min_lowgrp,0.45421248252084784,0.18342085083425338,30
0.1,f4_own,8.827041274710178,9.863790392067054,30
0.3,f4_own,26.481123824130528,29.591371176201157,30
0.5,f4_own,44.13520637355089,49.318951960335276,30
0.8,f4_own,70.61633019768142,78.91032313653643,30
1.0,f4_own,88.27041274710179,98.63790392067055,30
