alpha,metric,vs_arm,mean_full,mean_ref,p,full_lt_ref
0.1,share_low,hard,0.26999999999999996,0.0,1.679483202276532e-06,0
0.1,gini_delta_h,hard,0.41210247859335636,0.6414897178035337,1.862645149230957e-09,1
0.1,f1,hard,555.3,561.8777777777777,0.6959385836534113,0
0.1,share_low,nohealth,0.26999999999999996,0.5073333333333333,2.209838442979407e-06,1
0.1,gini_delta_h,nohealth,0.41210247859335636,0.34558350633690343,2.6885420083999634e-05,0
0.1,f1,nohealth,555.3,334.3444444444444,3.855675458908081e-07,0
0.3,share_low,hard,0.26999999999999996,0.0,1.679483202276532e-06,0
0.3,gini_delta_h,hard,0.41210247859335636,0.6414897178035337,1.862645149230957e-09,1
0.3,f1,hard,555.3,561.8777777777777,0.6959385836534113,0
0.3,share_low,nohealth,0.26999999999999996,0.5073333333333333,2.209838442979407e-06,1
0.3,gini_delta_h,nohealth,0.41210247859335636,0.34558350633690343,2.6885420083999634e-05,0
0.3,f1,nohealth,555.3,334.3444444444444,3.855675458908081e-07,0
0.5,share_low,hard,0.26999999999999996,0.0,1.679483202276532e-06,0
0.5,gini_delta_h,hard,0.41210247859335636,0.6414897178035337,1.862645149230957e-09,1
0.5,f1,hard,555.3,561.8777777777777,0.6959385836534113,0
0.5,share_low,nohealth,0.26999999999999996,0.5073333333333333,2.209838442979407e-06,1
0.5,gini_delta_h,nohealth,0.41210247859335636,0.34558350633690343,2.6885420083999634e-05,0
0.5,f1,nohealth,555.3,334.3444444444444,3.855675458908081e-07,0
0.8,share_low,hard,0.26999999999999996,0.0,1.679483202276532e-06,0
0.8,gini_delta_h,hard,0.41210247859335636,0.6414897178035337,1.862645149230957e-09,1
0.8,f1,hard,555.3,561.8777777777777,0.6959385836534113,0
0.8,share_low,nohealth,0.26999999999999996,0.5073333333333333,2.209838442979407e-06,1
0.8,gini_delta_h,nohealth,0.41210247859335636,0.34558350633690343,2.6885420083999634e-05,0
0.8,f1,nohealth,555.3,334.3444444444444,3.855675458908081e-07,0
1.0,share_low,hard,0.26999999999999996,0.0,1.679483202276532e-06,0
1.0,gini_delta_h,hard,0.41210247859335636,0.6414897178035337,1.862645149230957e-09,1
1.0,f1,hard,555.3,561.8777777777777,0.6959385836534113,0
1.0,share_low,nohealth,0.26999999999999996,0.5073333333333333,2.209838442979407e-06,1
1.0,gini_delta_h,nohealth,0.41210247859335636,0.34558350633690343,2.6885420083999634e-05,0
1.0,f1,nohealth,555.3,334.3444444444444,3.855675458908081e-07,0
