algo,budget_ms,mean,std,n
AW-NSGA-II,100,0.000911462236647618,0.0038507586378894207,60
MOEA/D,100,9.380345919400922e-05,0.0007265984705500898,60
AW-NSGA-II,200,0.0423700722410142,0.04805563941747383,60
MOEA/D,200,0.004513826230832287,0.008935037723249023,60
AW-NSGA-II,500,0.2870207329183971,0.1101599459660255,60
MOEA/D,500,0.14102999480447784,0.08590246928041863,60
AW-NSGA-II,1000,0.4962823484335207,0.13340203720456462,60
MOEA/D,1000,0.3724061461638117,0.12905781762834603,60
AW-NSGA-II,2000,0.4962823484335207,0.13340203720456462,60
MOEA/D,2000,0.6162614393470709,0.140481356484556,60
