seed,algo,budget_ms,bsf_hv
1,AW-NSGA-II,100,0.0
1,AW-NSGA-II,200,0.04702596013195819
1,AW-NSGA-II,500,0.4311810440102076
1,AW-NSGA-II,1000,0.6502085804476812
1,AW-NSGA-II,2000,0.6502085804476812
1,MOEA/D,100,0.0
1,MOEA/D,200,0.004791574122841058
1,MOEA/D,500,0.338625504193631
1,MOEA/D,1000,0.6370886038062277
1,MOEA/D,2000,0.853123104798202
2,AW-NSGA-II,100,0.0
2,AW-NSGA-II,200,0.011461696479837335
2,AW-NSGA-II,500,0.17551156543669558
2,AW-NSGA-II,1000,0.26008948206912164
2,AW-NSGA-II,2000,0.26008948206912164
2,MOEA/D,100,0.0
2,MOEA/D,200,0.0
2,MOEA/D,500,0.21038482578223378
2,MOEA/D,1000,0.4416474957267877
2,MOEA/D,2000,0.7824742833471159
3,AW-NSGA-II,100,0.0
3,AW-NSGA-II,200,0.032206715783276135
3,AW-NSGA-II,500,0.2644216495036018
3,AW-NSGA-II,1000,0.4224347035053846
3,AW-NSGA-II,2000,0.4224347035053846
3,MOEA/D,100,0.0
3,MOEA/D,200,0.0
3,MOEA/D,500,0.03610772382196806
3,MOEA/D,1000,0.15410843522607898
3,MOEA/D,2000,0.4619068573561829
4,AW-NSGA-II,100,0.0
4,AW-NSGA-II,200,0.0026142935831260515
4,AW-NSGA-II,500,0.15390164634655706
4,AW-NSGA-II,1000,0.4164806347323032
4,AW-NSGA-II,2000,0.4164806347323032
4,MOEA/D,100,0.0
4,MOEA/D,200,0.0
4,MOEA/D,500,0.14498204659575156
4,MOEA/D,1000,0.28909547220387255
4,MOEA/D,2000,0.4516215576856414
5,AW-NSGA-II,100,0.0
5,AW-NSGA-II,200,0.037082829073479456
5,AW-NSGA-II,500,0.31088505539636946
5,AW-NSGA-II,1000,0.45715835777386765
5,AW-NSGA-II,2000,0.45715835777386765
5,MOEA/D,100,0.0
5,MOEA/D,200,0.0
5,MOEA/D,500,0.21158697810624916
5,MOEA/D,1000,0.47476200136723734
5,MOEA/D,2000,0.6805494432669784
6,AW-NSGA-II,100,0.0
6,AW-NSGA-II,200,0.0
6,AW-NSGA-II,500,0.08242900732072113
6,AW-NSGA-II,1000,0.34112351025875554
6,AW-NSGA-II,2000,0.34112351025875554
6,MOEA/D,100,0.0
6,MOEA/D,200,0.0
6,MOEA/D,500,0.1376741100254099
6,MOEA/D,1000,0.4191670154508716
6,MOEA/D,2000,0.678194595750441
7,AW-NSGA-II,100,0.0
7,AW-NSGA-II,200,0.0
7,AW-NSGA-II,500,0.1539817957755951
7,AW-NSGA-II,1000,0.370806773991725
7,AW-NSGA-II,2000,0.370806773991725
7,MOEA/D,100,0.0
7,MOEA/D,200,0.0
7,MOEA/D,500,0.09796990981994165
7,MOEA/D,1000,0.16393553488410575
7,MOEA/D,2000,0.7784757164221869
8,AW-NSGA-II,100,0.0005710692101156981
8,AW-NSGA-II,200,0.040487270184709725
8,AW-NSGA-II,500,0.2135749530012836
8,AW-NSGA-II,1000,0.2942050611541953
8,AW-NSGA-II,2000,0.2942050611541953
8,MOEA/D,100,0.0
8,MOEA/D,200,0.0
8,MOEA/D,500,0.09239707794932012
8,MOEA/D,1000,0.32437070642021953
8,MOEA/D,2000,0.7099824848836758
9,AW-NSGA-II,100,0.0
9,AW-NSGA-II,200,0.0
9,AW-NSGA-II,500,0.12312568072931947
9,AW-NSGA-II,1000,0.3995344193605211
9,AW-NSGA-II,2000,0.3995344193605211
9,MOEA/D,100,0.0
9,MOEA/D,200,0.0
9,MOEA/D,500,0.11433759516469333
9,MOEA/D,1000,0.26263748609472626
9,MOEA/D,2000,0.5635525707392808
10,AW-NSGA-II,100,0.0
10,AW-NSGA-II,200,0.0005302746752038736
10,AW-NSGA-II,500,0.15348995930483228
10,AW-NSGA-II,1000,0.3081348409676504
10,AW-NSGA-II,2000,0.3081348409676504
10,MOEA/D,100,0.0
10,MOEA/D,200,0.0
10,MOEA/D,500,0.0803180593698376
10,MOEA/D,1000,0.35661389348289374
10,MOEA/D,2000,0.4044322477143826
11,AW-NSGA-II,100,0.0
11,AW-NSGA-II,200,0.009246812209796968
11,AW-NSGA-II,500,0.2948493595294692
11,AW-NSGA-II,1000,0.5900093243866569
11,AW-NSGA-II,2000,0.5900093243866569
11,MOEA/D,100,0.005628207551640553
11,MOEA/D,200,0.024788454175618535
11,MOEA/D,500,0.43888183393654523
11,MOEA/D,1000,0.6014170368966593
11,MOEA/D,2000,0.8316834133026689
12,AW-NSGA-II,100,0.002099465153549988
12,AW-NSGA-II,200,0.1539423525288897
12,AW-NSGA-II,500,0.3937240689564825
12,AW-NSGA-II,1000,0.522363524682598
12,AW-NSGA-II,2000,0.522363524682598
12,MOEA/D,100,0.0
12,MOEA/D,200,0.0
12,MOEA/D,500,0.08018281802736296
12,MOEA/D,1000,0.6157900254872606
12,MOEA/D,2000,0.883880911482025
13,AW-NSGA-II,100,0.022727779197408156
13,AW-NSGA-II,200,0.1890917725470406
13,AW-NSGA-II,500,0.5784504717422279
13,AW-NSGA-II,1000,0.7831195337978527
13,AW-NSGA-II,2000,0.7831195337978527
13,MOEA/D,100,0.0
13,MOEA/D,200,0.0
13,MOEA/D,500,0.09138523286335522
13,MOEA/D,1000,0.3789526272265267
13,MOEA/D,2000,0.7815144338300942
14,AW-NSGA-II,100,0.0
14,AW-NSGA-II,200,0.01846433165091188
14,AW-NSGA-II,500,0.40380574954239373
14,AW-NSGA-II,1000,0.6446970437232379
14,AW-NSGA-II,2000,0.6446970437232379
14,MOEA/D,100,0.0
14,MOEA/D,200,0.0
14,MOEA/D,500,0.060627831286258566
14,MOEA/D,1000,0.2041547573198522
14,MOEA/D,2000,0.610700720370006
15,AW-NSGA-II,100,0.0
15,AW-NSGA-II,200,0.02618058593137977
15,AW-NSGA-II,500,0.22367607983878274
15,AW-NSGA-II,1000,0.3855573321473113
15,AW-NSGA-II,2000,0.3855573321473113
15,MOEA/D,100,0.0
15,MOEA/D,200,0.0
15,MOEA/D,500,0.1261803166059149
15,MOEA/D,1000,0.38143129797114983
15,MOEA/D,2000,0.7299577434138921
16,AW-NSGA-II,100,0.0
16,AW-NSGA-II,200,0.008551669720634413
16,AW-NSGA-II,500,0.25423332410092336
16,AW-NSGA-II,1000,0.501610801993163
16,AW-NSGA-II,2000,0.501610801993163
16,MOEA/D,100,0.0
16,MOEA/D,200,0.005793051804543948
16,MOEA/D,500,0.13237068063387764
16,MOEA/D,1000,0.5190559941795166
16,MOEA/D,2000,0.8239368052596683
17,AW-NSGA-II,100,0.0
17,AW-NSGA-II,200,0.0464616160747298
17,AW-NSGA-II,500,0.5210932089585945
17,AW-NSGA-II,1000,0.668788578806393
17,AW-NSGA-II,2000,0.668788578806393
17,MOEA/D,100,0.0
17,MOEA/D,200,0.0
17,MOEA/D,500,0.15100781237239946
17,MOEA/D,1000,0.4058655026227801
17,MOEA/D,2000,0.5770285446621797
18,AW-NSGA-II,100,0.0
18,AW-NSGA-II,200,0.017689678740381895
18,AW-NSGA-II,500,0.3292238563236991
18,AW-NSGA-II,1000,0.5900244127598455
18,AW-NSGA-II,2000,0.5900244127598455
18,MOEA/D,100,0.0
18,MOEA/D,200,0.0
18,MOEA/D,500,0.1518781047110575
18,MOEA/D,1000,0.42974895692385556
18,MOEA/D,2000,0.6918114303952912
19,AW-NSGA-II,100,0.0
19,AW-NSGA-II,200,0.0037962688693286193
19,AW-NSGA-II,500,0.37580549938978103
19,AW-NSGA-II,1000,0.5825045451143831
19,AW-NSGA-II,2000,0.5825045451143831
19,MOEA/D,100,0.0
19,MOEA/D,200,0.006791687840353738
19,MOEA/D,500,0.19129275646769023
19,MOEA/D,1000,0.5649112754350404
19,MOEA/D,2000,0.7485987697913881
20,AW-NSGA-II,100,0.0
20,AW-NSGA-II,200,0.005566620184607895
20,AW-NSGA-II,500,0.09215337844974786
20,AW-NSGA-II,1000,0.19596310553486898
20,AW-NSGA-II,2000,0.19596310553486898
20,MOEA/D,100,0.0
20,MOEA/D,200,0.0
20,MOEA/D,500,0.1353565341110605
20,MOEA/D,1000,0.29250710405700114
20,MOEA/D,2000,0.5356958930969331
21,AW-NSGA-II,100,0.0
21,AW-NSGA-II,200,0.0006725682881687845
21,AW-NSGA-II,500,0.22750391832888212
21,AW-NSGA-II,1000,0.5132748382174406
21,AW-NSGA-II,2000,0.5132748382174406
21,MOEA/D,100,0.0
21,MOEA/D,200,0.0
21,MOEA/D,500,0.045664547341859346
21,MOEA/D,1000,0.2401510447351614
21,MOEA/D,2000,0.38064934139362977
22,AW-NSGA-II,100,0.0
22,AW-NSGA-II,200,0.0
22,AW-NSGA-II,500,0.1396383938724893
22,AW-NSGA-II,1000,0.30884974597516035
22,AW-NSGA-II,2000,0.30884974597516035
22,MOEA/D,100,0.0
22,MOEA/D,200,0.0
22,MOEA/D,500,0.12946929039081514
22,MOEA/D,1000,0.3091768514227631
22,MOEA/D,2000,0.592181369952342
23,AW-NSGA-II,100,0.0
23,AW-NSGA-II,200,0.02452606621016178
23,AW-NSGA-II,500,0.19531233105497653
23,AW-NSGA-II,1000,0.3161259482716233
23,AW-NSGA-II,2000,0.3161259482716233
23,MOEA/D,100,0.0
23,MOEA/D,200,0.0027785934550475615
23,MOEA/D,500,0.3244399967945839
23,MOEA/D,1000,0.6362222240857242
23,MOEA/D,2000,0.7627604290376574
24,AW-NSGA-II,100,0.0
24,AW-NSGA-II,200,0.08554695522168515
24,AW-NSGA-II,500,0.3424699613131136
24,AW-NSGA-II,1000,0.589161632170691
24,AW-NSGA-II,2000,0.589161632170691
24,MOEA/D,100,0.0
24,MOEA/D,200,0.019159055826721727
24,MOEA/D,500,0.35371346521935987
24,MOEA/D,1000,0.6323210860333386
24,MOEA/D,2000,0.7661496521912995
25,AW-NSGA-II,100,0.0
25,AW-NSGA-II,200,0.047220958576161785
25,AW-NSGA-II,500,0.348860599183666
25,AW-NSGA-II,1000,0.5286825521431486
25,AW-NSGA-II,2000,0.5286825521431486
25,MOEA/D,100,0.0
25,MOEA/D,200,0.0
25,MOEA/D,500,0.015501178989021928
25,MOEA/D,1000,0.4195792344770456
25,MOEA/D,2000,0.6679839369266029
26,AW-NSGA-II,100,0.0
26,AW-NSGA-II,200,0.002339135557002112
26,AW-NSGA-II,500,0.09313629244139994
26,AW-NSGA-II,1000,0.35332598337541
26,AW-NSGA-II,2000,0.35332598337541
26,MOEA/D,100,0.0
26,MOEA/D,200,0.0
26,MOEA/D,500,0.21513182103474254
26,MOEA/D,1000,0.368369319867053
26,MOEA/D,2000,0.530169545658738
27,AW-NSGA-II,100,0.0
27,AW-NSGA-II,200,0.022799897069316732
27,AW-NSGA-II,500,0.2770409665413707
27,AW-NSGA-II,1000,0.38842165005101137
27,AW-NSGA-II,2000,0.38842165005101137
27,MOEA/D,100,0.0
27,MOEA/D,200,0.020476309898276365
27,MOEA/D,500,0.18973257470745036
27,MOEA/D,1000,0.31780929126993285
27,MOEA/D,2000,0.5274844764087961
28,AW-NSGA-II,100,0.0
28,AW-NSGA-II,200,0.08800592725072959
28,AW-NSGA-II,500,0.3256051760970268
