seed,algo,metric,t_ms,final_hv
1,AW-NSGA-II,t50,447.10639999993873,0.6502085804476812
1,AW-NSGA-II,t90,749.8334000001705,0.6502085804476812
1,AW-NSGA-II,t99,829.4398999996702,0.6502085804476812
1,MOEA/D,t50,699.9955999999656,0.9308465601459484
1,MOEA/D,t90,1937.9258999997546,0.9308465601459484
1,MOEA/D,t99,2747.1914999996443,0.9308465601459484
2,AW-NSGA-II,t50,447.56990000041696,0.26008948206912164
2,AW-NSGA-II,t90,697.2421000000395,0.26008948206912164
2,AW-NSGA-II,t99,836.1494999999195,0.26008948206912164
2,MOEA/D,t50,1086.486799999875,0.895536591679964
2,MOEA/D,t90,2096.269399999983,0.895536591679964
2,MOEA/D,t99,2694.7386000001643,0.895536591679964
3,AW-NSGA-II,t50,449.098099999901,0.4224347035053846
3,AW-NSGA-II,t90,796.8257000002268,0.4224347035053846
3,AW-NSGA-II,t99,827.0791000004465,0.4224347035053846
3,MOEA/D,t50,1734.700399999383,0.60839422921773
3,MOEA/D,t90,2641.8942999998762,0.60839422921773
3,MOEA/D,t99,2943.936799999392,0.60839422921773
4,AW-NSGA-II,t50,599.9634999998307,0.4164806347323032
4,AW-NSGA-II,t90,797.7145000004384,0.4164806347323032
4,AW-NSGA-II,t99,797.7145000004384,0.4164806347323032
4,MOEA/D,t50,835.4921999998624,0.5027262755352173
4,MOEA/D,t90,2043.6322999994445,0.5027262755352173
4,MOEA/D,t99,2937.381099999584,0.5027262755352173
5,AW-NSGA-II,t50,447.4793999997928,0.45715835777386765
5,AW-NSGA-II,t90,746.9199999995908,0.45715835777386765
5,AW-NSGA-II,t99,836.813699999766,0.45715835777386765
5,MOEA/D,t50,899.5975000007093,0.7667328366884997
5,MOEA/D,t90,2192.9479000000356,0.7667328366884997
5,MOEA/D,t99,3087.2151000003214,0.7667328366884997
6,AW-NSGA-II,t50,597.2763999998278,0.34112351025875554
6,AW-NSGA-II,t90,796.560299999328,0.34112351025875554
6,AW-NSGA-II,t99,825.3555999999662,0.34112351025875554
6,MOEA/D,t50,1090.79279999969,0.8898684897875173
6,MOEA/D,t90,2786.6186999999627,0.8898684897875173
6,MOEA/D,t99,3049.0092000000004,0.8898684897875173
7,AW-NSGA-II,t50,647.4471000001358,0.370806773991725
7,AW-NSGA-II,t90,748.7827000004472,0.370806773991725
7,AW-NSGA-II,t99,798.3715000000302,0.370806773991725
7,MOEA/D,t50,1691.4145000000644,0.9078763660186617
7,MOEA/D,t90,2148.408600000039,0.9078763660186617
7,MOEA/D,t99,3099.944799999321,0.9078763660186617
8,AW-NSGA-II,t50,346.8794999998863,0.2942050611541953
8,AW-NSGA-II,t90,748.3201000004556,0.2942050611541953
8,AW-NSGA-II,t99,819.8573999998189,0.2942050611541953
8,MOEA/D,t50,1141.3125999997646,0.8588786826610456
8,MOEA/D,t90,2134.1537999996945,0.8588786826610456
8,MOEA/D,t99,2694.7166999998444,0.8588786826610456
9,AW-NSGA-II,t50,648.7028000001374,0.3995344193605211
9,AW-NSGA-II,t90,798.0557000000772,0.3995344193605211
9,AW-NSGA-II,t99,798.0557000000772,0.3995344193605211
9,MOEA/D,t50,1388.5075000007419,0.6735358385336085
9,MOEA/D,t90,2194.520100000773,0.6735358385336085
9,MOEA/D,t99,2949.0954000002603,0.6735358385336085
10,AW-NSGA-II,t50,548.0276000007507,0.3081348409676504
10,AW-NSGA-II,t90,797.1993000001021,0.3081348409676504
10,AW-NSGA-II,t99,822.6400000003196,0.3081348409676504
10,MOEA/D,t50,891.4927999994688,0.602259706284014
10,MOEA/D,t90,3049.6492000002036,0.602259706284014
10,MOEA/D,t99,3148.435299999619,0.602259706284014
11,AW-NSGA-II,t50,549.0176000002975,0.5900093243866569
11,AW-NSGA-II,t90,796.2287000000288,0.5900093243866569
11,AW-NSGA-II,t99,829.4905000002473,0.5900093243866569
11,MOEA/D,t50,635.5567999999039,0.9377120133744312
11,MOEA/D,t90,2296.681599999829,0.9377120133744312
11,MOEA/D,t99,2641.8312000005244,0.9377120133744312
12,AW-NSGA-II,t50,346.52009999990696,0.522363524682598
12,AW-NSGA-II,t90,699.1499000005206,0.522363524682598
12,AW-NSGA-II,t99,846.457200000259,0.522363524682598
12,MOEA/D,t50,693.1378999997833,0.9471955791046605
12,MOEA/D,t90,1692.6425999999992,0.9471955791046605
12,MOEA/D,t99,2899.3381999998746,0.9471955791046605
13,AW-NSGA-II,t50,347.1843000006629,0.7831195337978527
13,AW-NSGA-II,t90,749.1509999999835,0.7831195337978527
13,AW-NSGA-II,t99,846.4647000000696,0.7831195337978527
13,MOEA/D,t50,1085.4976999999053,0.8416818200231013
13,MOEA/D,t90,1741.5606000004118,0.8416818200231013
13,MOEA/D,t99,2597.466400000485,0.8416818200231013
14,AW-NSGA-II,t50,449.4918000000325,0.6446970437232379
14,AW-NSGA-II,t90,699.5419000004404,0.6446970437232379
14,AW-NSGA-II,t99,846.6128999998546,0.6446970437232379
14,MOEA/D,t50,1248.4905999999683,0.675922156131131
14,MOEA/D,t90,1948.358200000257,0.675922156131131
14,MOEA/D,t99,3195.5355999998574,0.675922156131131
15,AW-NSGA-II,t50,496.2928999993892,0.3855573321473113
15,AW-NSGA-II,t90,746.6375999993033,0.3855573321473113
15,AW-NSGA-II,t99,869.4657999994888,0.3855573321473113
15,MOEA/D,t50,1047.8229000000283,0.7732148380947031
15,MOEA/D,t90,1892.927900000359,0.7732148380947031
15,MOEA/D,t99,3037.1345000003203,0.7732148380947031
16,AW-NSGA-II,t50,499.57059999997,0.501610801993163
16,AW-NSGA-II,t90,749.4704000000638,0.501610801993163
16,AW-NSGA-II,t99,836.1250999996628,0.501610801993163
16,MOEA/D,t50,946.4183999998568,0.9291239665316593
16,MOEA/D,t90,2042.8239000002577,0.9291239665316593
16,MOEA/D,t99,2840.4757999996946,0.9291239665316593
17,AW-NSGA-II,t50,347.478300000148,0.668788578806393
17,AW-NSGA-II,t90,696.832099999483,0.668788578806393
17,AW-NSGA-II,t99,828.2076999994388,0.668788578806393
17,MOEA/D,t50,838.0073999996966,0.6108540735129937
17,MOEA/D,t90,1794.6398000003683,0.6108540735129937
17,MOEA/D,t99,2789.403400000083,0.6108540735129937
