seed,t_cross_ms,aw_final,moead_final,moead_exceeds_aw_2s
1,1100.0,0.6502085804476812,0.9308465601459484,1
2,400.0,0.26008948206912164,0.895536591679964,1
3,1900.0,0.4224347035053846,0.60839422921773,1
4,400.0,0.4164806347323032,0.5027262755352173,1
5,950.0,0.45715835777386765,0.7667328366884997,1
6,250.0,0.34112351025875554,0.8898684897875173,1
7,250.0,0.370806773991725,0.9078763660186617,1
8,900.0,0.2942050611541953,0.8588786826610456,1
9,200.0,0.3995344193605211,0.6735358385336085,1
10,900.0,0.3081348409676504,0.602259706284014,1
11,50.0,0.5900093243866569,0.9377120133744312,1
12,700.0,0.522363524682598,0.9471955791046605,1
13,inf,0.7831195337978527,0.8416818200231013,0
14,inf,0.6446970437232379,0.675922156131131,0
15,1000.0,0.3855573321473113,0.7732148380947031,1
16,100.0,0.501610801993163,0.9291239665316593,1
17,inf,0.668788578806393,0.6108540735129937,0
18,1850.0,0.5900244127598455,0.9631042606732485,1
19,150.0,0.5825045451143831,0.8508378516096926,1
20,400.0,0.19596310553486898,0.6563782083485111,1
21,inf,0.5132748382174406,0.5153174943383576,0
22,200.0,0.30884974597516035,0.76690776389499,1
23,450.0,0.3161259482716233,0.9363650578582665,1
24,250.0,0.589161632170691,0.7983950532284729,1
25,1500.0,0.5286825521431486,0.8264388286068153,1
26,250.0,0.35332598337541,0.6003977801796243,1
27,1200.0,0.38842165005101137,0.7079868049136113,1
28,1750.0,0.542175301307881,0.8160326225098694,1
29,1300.0,0.6074484971332277,0.9752493496961531,1
30,500.0,0.34678138712361467,0.9758032834800955,1
31,inf,0.5117283599428452,0.556551046740533,0
32,inf,0.4868392855311664,0.6424434310301739,0
33,inf,0.6096568974051342,0.7911814164676683,0
34,1800.0,0.7126220277819729,0.7746991548112812,1
35,inf,0.47217123668662686,0.5439663655660902,0
36,150.0,0.6128403444745736,0.6699235005976398,1
37,inf,0.640088490645757,0.6490241911240484,0
38,1250.0,0.5562981448600967,0.8310367998501036,1
39,900.0,0.37575319057366285,0.8113441842010662,1
40,350.0,0.3609582565444518,0.5196258330128234,1
41,1950.0,0.5211847198108746,0.7453354224549363,1
42,1650.0,0.4530070109915757,0.807316382709921,1
43,inf,0.6466520357079519,0.848126587219446,0
44,1850.0,0.5284810356504215,0.9262127087217431,1
45,inf,0.8337835280891658,0.7558435889623585,0
46,1500.0,0.352708905876683,0.8184487832934778,1
47,1450.0,0.5377020838373127,0.8480436746183878,1
48,inf,0.5454175831375988,0.6736906317218488,0
49,inf,0.606195041902349,0.5600459087507793,0
50,1350.0,0.520837333698481,0.7242091194310207,1
51,1300.0,0.5465843664122938,0.6527481049692212,1
52,1300.0,0.5157076358762791,0.6987403305102052,1
53,1450.0,0.5119088133384432,0.738408230311101,1
54,100.0,0.43526909002537045,0.8729800003737294,1
55,1300.0,0.32132782684783623,0.7080895745106601,1
56,200.0,0.6774273822848477,0.7701398162228185,1
57,750.0,0.6310570373530843,0.8137611718751459,1
58,550.0,0.3394051927464302,0.7884259434613856,1
59,inf,0.5307236157493338,0.6791881479739612,0
60,1400.0,0.5035423292518975,0.900184271737162,1
