seed,algo,d_obj,d_hv_final
1,AW-NSGA-II,0.0,0.0
1,MOEA/D,0.0,1.8301520090857615e-05
2,AW-NSGA-II,0.0,0.0
2,MOEA/D,0.0,0.0
3,AW-NSGA-II,0.0,0.0
3,MOEA/D,0.0,0.0
4,AW-NSGA-II,0.0,0.0
4,MOEA/D,0.0,0.005943580615815014
5,AW-NSGA-II,0.0,0.0
5,MOEA/D,0.0,0.0
6,AW-NSGA-II,0.0,0.0
6,MOEA/D,0.0,0.0
7,AW-NSGA-II,0.0,0.0
7,MOEA/D,0.0,0.0
8,AW-NSGA-II,0.0,0.0
8,MOEA/D,0.0,0.0
9,AW-NSGA-II,0.0,0.0
9,MOEA/D,0.0,0.0003003791598052974
10,AW-NSGA-II,0.0,0.0
10,MOEA/D,0.0,0.0
11,AW-NSGA-II,0.0,0.0
11,MOEA/D,0.0,0.0
12,AW-NSGA-II,0.0,0.0
12,MOEA/D,0.0,0.0
13,AW-NSGA-II,0.0,0.0
13,MOEA/D,0.0,0.0
14,AW-NSGA-II,0.0,0.0
14,MOEA/D,0.0,0.0
15,AW-NSGA-II,0.0,0.0
15,MOEA/D,0.0,0.0
16,AW-NSGA-II,0.0,0.0
16,MOEA/D,0.0,0.0
17,AW-NSGA-II,0.0,0.0
17,MOEA/D,0.0,0.009891304461244643
18,AW-NSGA-II,0.0,0.0
18,MOEA/D,0.0,0.0
19,AW-NSGA-II,0.0,0.0
19,MOEA/D,0.0,0.0006678028620947796
20,AW-NSGA-II,0.0,0.0
20,MOEA/D,0.0,0.0
21,AW-NSGA-II,0.0,0.0
21,MOEA/D,0.0,1.188192813983413e-05
22,AW-NSGA-II,0.0,0.0
22,MOEA/D,0.0,0.0
23,AW-NSGA-II,0.0,0.0
23,MOEA/D,0.0,0.0
24,AW-NSGA-II,0.0,0.0
24,MOEA/D,0.0,0.007801538740649372
25,AW-NSGA-II,0.0,0.0
25,MOEA/D,0.0,0.021454600708542326
26,AW-NSGA-II,0.0,0.0
26,MOEA/D,0.0,0.0
27,AW-NSGA-II,0.0,0.0
27,MOEA/D,0.0,0.0
28,AW-NSGA-II,0.0,0.0
28,MOEA/D,0.0,0.0
29,AW-NSGA-II,0.0,0.0
29,MOEA/D,0.0,1.019450507022679e-05
30,AW-NSGA-II,0.0,0.0
30,MOEA/D,0.0,0.0
31,AW-NSGA-II,0.0,0.0
31,MOEA/D,0.0,0.0
32,AW-NSGA-II,0.0,0.0
32,MOEA/D,0.0,0.0
33,AW-NSGA-II,0.0,0.0
33,MOEA/D,0.0,0.0
34,AW-NSGA-II,0.0,0.0
34,MOEA/D,0.0,0.0
35,AW-NSGA-II,0.0,0.0
35,MOEA/D,0.0,0.0
36,AW-NSGA-II,0.0,0.0
36,MOEA/D,0.0,0.0
37,AW-NSGA-II,0.0,0.0
37,MOEA/D,0.0,0.016957699493546308
38,AW-NSGA-II,0.0,0.0
38,MOEA/D,0.0,0.0
39,AW-NSGA-II,0.0,0.0
39,MOEA/D,0.0,0.0
40,AW-NSGA-II,0.0,0.0
40,MOEA/D,0.0,0.00014623901712917942
41,AW-NSGA-II,0.0,0.0
41,MOEA/D,0.0,0.0
42,AW-NSGA-II,0.0,0.0
42,MOEA/D,0.0,0.0
43,AW-NSGA-II,0.0,0.0
43,MOEA/D,0.0,0.0
44,AW-NSGA-II,0.0,0.0
44,MOEA/D,0.0,0.004837930519653089
45,AW-NSGA-II,0.0,0.0
45,MOEA/D,0.0,0.018657914162381495
46,AW-NSGA-II,0.0,0.0
46,MOEA/D,0.0,0.0
47,AW-NSGA-II,0.0,0.0
47,MOEA/D,0.0,0.006670864481044703
48,AW-NSGA-II,0.0,0.0
48,MOEA/D,0.0,0.0
49,AW-NSGA-II,0.0,0.0
49,MOEA/D,0.0,0.0
50,AW-NSGA-II,0.0,0.0
50,MOEA/D,0.0,0.0020745087947176
51,AW-NSGA-II,0.0,0.0
51,MOEA/D,0.0,0.0
52,AW-NSGA-II,0.0,0.0
52,MOEA/D,0.0,0.0
53,AW-NSGA-II,0.0,0.0
53,MOEA/D,0.0,0.03206767718302028
54,AW-NSGA-II,0.0,0.0
54,MOEA/D,0.0,0.0
55,AW-NSGA-II,0.0,0.0
55,MOEA/D,0.0,0.0
56,AW-NSGA-II,0.0,0.0
56,MOEA/D,0.0,0.0
57,AW-NSGA-II,0.0,0.0
57,MOEA/D,0.0,0.0
58,AW-NSGA-II,0.0,0.0
58,MOEA/D,0.0,0.0
59,AW-NSGA-II,0.0,0.0
59,MOEA/D,0.0,0.004511486573347545
60,AW-NSGA-II,0.0,0.0
60,MOEA/D,0.0,0.0
