seed,algo,t_ms,hv_now,bsf_hv
1,AW-NSGA-II,49.529,0.0,0.0
1,AW-NSGA-II,94.488,0.0,0.0
1,AW-NSGA-II,148.84,0.004781009974094033,0.004781009974094033
1,AW-NSGA-II,197.885,0.04702596013195819,0.04702596013195819
1,AW-NSGA-II,246.588,0.08972990954984864,0.08972990954984864
1,AW-NSGA-II,299.095,0.11293776012308926,0.11293776012308926
1,AW-NSGA-II,347.149,0.20257705319301256,0.20257705319301256
1,AW-NSGA-II,398.445,0.27656056838585646,0.27656056838585646
1,AW-NSGA-II,447.106,0.3447354368631002,0.3447354368631002
1,AW-NSGA-II,497.042,0.4311810440102076,0.4311810440102076
1,AW-NSGA-II,549.71,0.5178374413118854,0.5178374413118854
1,AW-NSGA-II,596.444,0.5222342978602277,0.5222342978602277
1,AW-NSGA-II,648.023,0.5394771830703893,0.5394771830703893
1,AW-NSGA-II,698.407,0.5698682295591618,0.5698682295591618
1,AW-NSGA-II,749.833,0.6378930238667229,0.6378930238667229
1,AW-NSGA-II,799.837,0.6410584436699343,0.6410584436699343
1,AW-NSGA-II,829.44,0.6502085804476812,0.6502085804476812
1,MOEA/D,47.687,0.0,0.0
1,MOEA/D,93.88,0.0,0.0
1,MOEA/D,143.704,0.0,0.0
1,MOEA/D,190.312,0.004791574122841058,0.004791574122841058
1,MOEA/D,237.941,0.02030352995008261,0.02030352995008261
1,MOEA/D,285.573,0.025061611745737043,0.025061611745737043
1,MOEA/D,348.253,0.049525937532015396,0.049525937532015396
1,MOEA/D,397.121,0.14795869733898345,0.14795869733898345
1,MOEA/D,445.567,0.19861624890050666,0.19861624890050666
1,MOEA/D,492.359,0.338625504193631,0.338625504193631
1,MOEA/D,540.556,0.35116637301774023,0.35116637301774023
1,MOEA/D,588.118,0.38939321428007995,0.38939321428007995
1,MOEA/D,636.656,0.4275704645874637,0.4275704645874637
1,MOEA/D,699.996,0.5151390655370498,0.5151390655370498
1,MOEA/D,747.367,0.5368722284429446,0.5368722284429446
1,MOEA/D,795.151,0.5368722284429446,0.5368722284429446
1,MOEA/D,843.267,0.5821136158631527,0.5821136158631527
1,MOEA/D,891.546,0.5968394636971581,0.5968394636971581
1,MOEA/D,940.437,0.6318726240434156,0.6318726240434156
1,MOEA/D,986.669,0.6370886038062277,0.6370886038062277
1,MOEA/D,1034.628,0.6373790093734463,0.6373790093734463
1,MOEA/D,1099.836,0.6559947178897285,0.6559947178897285
1,MOEA/D,1145.459,0.6671461908860536,0.6671461908860536
1,MOEA/D,1191.496,0.6784158931304145,0.6784158931304145
1,MOEA/D,1236.847,0.6995327757195506,0.6995327757195506
1,MOEA/D,1298.69,0.7095734653336846,0.7095734653336846
1,MOEA/D,1346.1,0.7185973440922906,0.7185973440922906
1,MOEA/D,1392.959,0.7195406483282325,0.7195406483282325
1,MOEA/D,1441.67,0.7330640620764323,0.7330640620764323
1,MOEA/D,1490.144,0.7486816834687293,0.7486816834687293
1,MOEA/D,1535.772,0.7486816834687293,0.7486816834687293
1,MOEA/D,1599.146,0.7713032983975753,0.7713032983975753
1,MOEA/D,1645.461,0.773127180039521,0.773127180039521
1,MOEA/D,1691.602,0.7746826784227138,0.7746826784227138
1,MOEA/D,1737.288,0.778434881911158,0.778434881911158
1,MOEA/D,1797.638,0.8060560156063509,0.8060560156063509
1,MOEA/D,1845.18,0.8278904692960531,0.8278904692960531
1,MOEA/D,1892.577,0.8254642506869321,0.8278904692960531
1,MOEA/D,1937.926,0.8507060612566117,0.8507060612566117
1,MOEA/D,1985.385,0.853123104798202,0.853123104798202
1,MOEA/D,2047.673,0.8480572223770442,0.853123104798202
1,MOEA/D,2093.844,0.8506357515756434,0.853123104798202
1,MOEA/D,2140.905,0.8661507156598542,0.8661507156598542
1,MOEA/D,2186.978,0.8941980371187899,0.8941980371187899
1,MOEA/D,2249.831,0.8941980371187899,0.8941980371187899
1,MOEA/D,2296.855,0.9062438621767326,0.9062438621767326
1,MOEA/D,2342.944,0.910698134281372,0.910698134281372
1,MOEA/D,2390.557,0.9154053670981355,0.9154053670981355
1,MOEA/D,2438.13,0.9151355784588715,0.9154053670981355
1,MOEA/D,2499.236,0.9144685265996599,0.9154053670981355
1,MOEA/D,2545.017,0.9165199655645935,0.9165199655645935
1,MOEA/D,2591.9,0.9165202325329693,0.9165202325329693
1,MOEA/D,2638.588,0.9170814278375914,0.9170814278375914
1,MOEA/D,2685.703,0.9157359714607739,0.9170814278375914
1,MOEA/D,2747.191,0.9289000281649379,0.9289000281649379
1,MOEA/D,2793.879,0.9291638565927749,0.9291638565927749
1,MOEA/D,2841.619,0.9297221924448842,0.9297221924448842
1,MOEA/D,2888.973,0.9297404939649749,0.9297404939649749
1,MOEA/D,2935.336,0.9307720121359928,0.9307720121359928
1,MOEA/D,2998.182,0.9308465601459484,0.9308465601459484
1,MOEA/D,3044.165,0.9308465601459484,0.9308465601459484
1,MOEA/D,3089.548,0.9308465601459484,0.9308465601459484
1,MOEA/D,3121.173,0.9308282586258575,0.9308465601459484
2,AW-NSGA-II,48.669,0.0,0.0
2,AW-NSGA-II,96.357,0.0,0.0
2,AW-NSGA-II,146.676,0.008366301985553534,0.008366301985553534
2,AW-NSGA-II,196.227,0.011461696479837335,0.011461696479837335
2,AW-NSGA-II,246.738,0.05773635219166412,0.05773635219166412
2,AW-NSGA-II,299.866,0.06384320857215961,0.06384320857215961
2,AW-NSGA-II,347.416,0.07422945138617887,0.07422945138617887
2,AW-NSGA-II,397.448,0.10642779423022555,0.10642779423022555
2,AW-NSGA-II,447.57,0.15015524324672525,0.15015524324672525
2,AW-NSGA-II,498.706,0.17551156543669558,0.17551156543669558
2,AW-NSGA-II,548.992,0.19164923444152393,0.19164923444152393
2,AW-NSGA-II,596.091,0.2159912234216308,0.2159912234216308
2,AW-NSGA-II,648.619,0.2287461252179317,0.2287461252179317
2,AW-NSGA-II,697.242,0.23714462304676234,0.23714462304676234
2,AW-NSGA-II,749.3,0.25085872167625667,0.25085872167625667
2,AW-NSGA-II,799.952,0.25667417193201114,0.25667417193201114
2,AW-NSGA-II,836.149,0.26008948206912164,0.26008948206912164
2,MOEA/D,33.734,0.0,0.0
2,MOEA/D,84.117,0.0,0.0
2,MOEA/D,149.18,0.0,0.0
2,MOEA/D,199.785,0.0,0.0
2,MOEA/D,248.729,0.010471547418393786,0.010471547418393786
2,MOEA/D,284.16,0.04140985298937268,0.04140985298937268
2,MOEA/D,348.92,0.07183041314319039,0.07183041314319039
2,MOEA/D,397.173,0.11307204065693585,0.11307204065693585
2,MOEA/D,445.542,0.18235566030415104,0.18235566030415104
2,MOEA/D,493.228,0.21038482578223378,0.21038482578223378
2,MOEA/D,541.089,0.21942672291194873,0.21942672291194873
2,MOEA/D,588.862,0.2845292402929521,0.2845292402929521
2,MOEA/D,637.493,0.3100232121560194,0.3100232121560194
2,MOEA/D,687.034,0.382661163316815,0.382661163316815
2,MOEA/D,735.461,0.40047225041168555,0.40047225041168555
2,MOEA/D,799.872,0.42146995911521434,0.42146995911521434
2,MOEA/D,849.359,0.42555576288553976,0.42555576288553976
2,MOEA/D,883.356,0.4256154082175554,0.4256154082175554
2,MOEA/D,936.223,0.44048448367196597,0.44048448367196597
2,MOEA/D,985.542,0.4416474957267877,0.4416474957267877
2,MOEA/D,1040.903,0.439279750558382,0.4416474957267877
2,MOEA/D,1086.487,0.4712723502400066,0.4712723502400066
