scenario,strategy,metric,mean,std,n
congestion,A*-GA,deg_pct,59.02684932581264,26.7543125706173,150
congestion,A*-GA,timeout_rate,0.0,0.0,150
congestion,A*-GA,deg_pct_completed,59.02684932581264,26.7543125706173,150
congestion,EHCO,deg_pct,45.40493221777564,30.53942060813204,150
congestion,EHCO,timeout_rate,0.0,0.0,150
congestion,EHCO,deg_pct_completed,45.40493221777564,30.53942060813204,150
congestion,EHCO,response_ms,645.5834174825487,175.40760622695478,143
congestion,agnostic,deg_pct,45.00131303011504,31.669884071437096,150
congestion,agnostic,timeout_rate,0.0,0.0,150
congestion,agnostic,deg_pct_completed,45.00131303011504,31.669884071437096,150
congestion,agnostic,response_ms,841.600055943946,180.5016823340793,143
fault,A*-GA,deg_pct,46.3113956055161,41.27548737800181,150
fault,A*-GA,timeout_rate,0.0,0.0,150
fault,A*-GA,deg_pct_completed,46.3113956055161,41.27548737800181,150
fault,EHCO,deg_pct,4.130828740025863,16.37802424631277,150
fault,EHCO,timeout_rate,0.0,0.0,150
fault,EHCO,deg_pct_completed,4.130828740025863,16.37802424631277,150
fault,EHCO,response_ms,1349.2301211110973,1113.5963834199706,90
fault,agnostic,deg_pct,22.01250547115353,37.68996281734877,150
fault,agnostic,timeout_rate,0.0,0.0,150
fault,agnostic,deg_pct_completed,22.01250547115353,37.68996281734877,150
fault,agnostic,response_ms,2504.2021722220347,1345.9578173680698,90
fault,agnostic-excl,deg_pct,1.9473182271431626,16.104085367787732,150
fault,agnostic-excl,timeout_rate,0.0,0.0,150
fault,agnostic-excl,deg_pct_completed,1.9473182271431626,16.104085367787732,150
fault,agnostic-excl,response_ms,2450.1413177776058,1339.6302618500265,90
urgent,A*-GA,deg_pct,92.85124214611103,22.50412596181842,150
urgent,A*-GA,timeout_rate,0.0,0.0,150
urgent,A*-GA,deg_pct_completed,92.85124214611103,22.50412596181842,150
urgent,EHCO,deg_pct,43.79501829528418,24.977222943823715,150
urgent,EHCO,timeout_rate,0.0,0.0,150
urgent,EHCO,deg_pct_completed,43.79501829528418,24.977222943823715,150
urgent,EHCO,response_ms,85.9740946666534,3.554407608055224,150
urgent,agnostic,deg_pct,36.53467769056453,24.125483989631476,150
urgent,agnostic,timeout_rate,0.0,0.0,150
urgent,agnostic,deg_pct_completed,36.53467769056453,24.125483989631476,150
urgent,agnostic,response_ms,96.89379733337167,9.81647896247495,150
