scenario,strategy,seed,instance,t_ev,f1_base,f1_event,deg_pct,timeout,response_ms,replan_evals,warn_t,warn_agv,n_warned,n_agv,event_fired,replan_applied,maint_enter
congestion,agnostic,1,0,150.0,316.0,563.0,78.16455696202532,0,941.2862999997742,4000,None,None,0,10,1,0,
congestion,agnostic,2,0,150.0,325.0,483.0,48.61538461538461,0,788.0093000021589,4000,None,None,0,10,1,1,
congestion,agnostic,3,0,150.0,307.0,633.0,106.18892508143323,0,848.063399997045,4000,None,None,0,10,1,0,
congestion,agnostic,4,0,150.0,394.0,652.0,65.48223350253807,0,1041.489699997328,4000,None,None,0,10,1,1,
congestion,agnostic,5,0,150.0,334.0,591.0,76.94610778443113,0,866.6969000005338,4000,None,None,0,10,1,0,
congestion,agnostic,6,0,150.0,297.0,456.0,53.535353535353536,0,805.5677999982436,4000,None,None,0,10,1,1,
congestion,agnostic,7,0,150.0,355.0,640.0,80.28169014084507,0,789.3775000011374,4000,None,None,0,10,1,1,
congestion,agnostic,8,0,150.0,350.0,635.0,81.42857142857143,0,873.1114999973215,4000,None,None,0,10,1,0,
congestion,agnostic,9,0,150.0,373.0,743.0,99.19571045576407,0,810.0723000025027,4000,None,None,0,10,1,1,
congestion,agnostic,10,0,150.0,284.0,489.0,72.1830985915493,0,835.7164000008197,4000,None,None,0,10,1,1,
congestion,agnostic,11,0,150.0,321.0,721.0,124.61059190031152,0,852.9844000004232,4000,None,None,0,10,1,1,
congestion,agnostic,12,0,150.0,313.0,529.0,69.00958466453673,0,802.7476000024762,4000,None,None,0,10,1,1,
congestion,agnostic,13,0,150.0,312.0,595.0,90.7051282051282,0,895.6238999999186,4000,None,None,0,10,1,0,
congestion,agnostic,14,0,150.0,280.0,490.0,75.0,0,926.5957999996317,4000,None,None,0,10,1,1,
congestion,agnostic,15,0,150.0,369.0,614.0,66.39566395663957,0,1063.058200001251,4000,None,None,0,10,1,1,
congestion,agnostic,16,0,150.0,300.0,626.0,108.66666666666667,0,814.5566999992297,4000,None,None,0,10,1,0,
congestion,agnostic,17,0,150.0,391.0,515.0,31.713554987212277,0,780.7695999981661,4000,None,None,0,10,1,1,
congestion,agnostic,18,0,150.0,428.0,633.0,47.89719626168225,0,899.842599999829,4000,None,None,0,10,1,1,
congestion,agnostic,19,0,150.0,308.0,605.0,96.42857142857143,0,839.4914999989851,4000,None,None,0,10,1,0,
congestion,agnostic,20,0,150.0,399.0,605.0,51.62907268170426,0,814.9690999998711,4000,None,None,0,10,1,1,
congestion,agnostic,21,0,150.0,337.0,544.0,61.42433234421365,0,513.2585999999719,4000,None,None,0,10,1,1,
congestion,agnostic,22,0,150.0,344.0,677.0,96.80232558139535,0,888.0490999981703,4000,None,None,0,10,1,1,
congestion,agnostic,23,0,150.0,357.0,804.0,125.21008403361344,0,864.447799998743,4000,None,None,0,10,1,1,
congestion,agnostic,24,0,150.0,275.0,483.0,75.63636363636364,0,796.1294999986421,4000,None,None,0,10,1,0,
congestion,agnostic,25,0,150.0,356.0,404.0,13.48314606741573,0,792.4913999995624,4000,None,None,0,10,1,1,
congestion,agnostic,26,0,150.0,285.0,428.0,50.175438596491226,0,748.2976999999664,4000,None,None,0,10,1,1,
congestion,agnostic,27,0,150.0,473.0,696.0,47.14587737843552,0,901.7701000011584,4000,None,None,0,10,1,1,
congestion,agnostic,28,0,150.0,335.0,752.0,124.47761194029852,0,978.8647000023047,4000,None,None,0,10,1,1,
congestion,agnostic,29,0,150.0,348.0,651.0,87.06896551724138,0,995.5544000004011,4000,None,None,0,10,1,1,
congestion,agnostic,30,0,150.0,302.0,450.0,49.00662251655629,0,716.4025000020047,4000,None,None,0,10,1,1,
congestion,agnostic,1,1,201.83628993137137,316.0,564.0,78.48101265822784,0,539.9994999970659,4000,None,None,0,10,1,1,
congestion,agnostic,2,1,201.83628993137137,325.0,562.0,72.92307692307692,0,1233.329099999537,4000,None,None,0,10,1,1,
congestion,agnostic,3,1,201.83628993137137,307.0,643.0,109.44625407166124,0,756.7432000032568,4000,None,None,0,10,1,1,
congestion,agnostic,4,1,201.83628993137137,394.0,557.0,41.370558375634516,0,697.6431000002776,4000,None,None,0,10,1,1,
congestion,agnostic,5,1,201.83628993137137,334.0,429.0,28.443113772455092,0,773.9146999992954,4000,None,None,0,10,1,1,
congestion,agnostic,6,1,201.83628993137137,297.0,520.0,75.08417508417509,0,681.7723999993177,4000,None,None,0,10,1,0,
congestion,agnostic,7,1,201.83628993137137,355.0,629.0,77.1830985915493,0,753.032799999346,4000,None,None,0,10,1,1,
congestion,agnostic,8,1,201.83628993137137,350.0,412.0,17.71428571428571,0,958.2306000011158,4000,None,None,0,10,1,1,
congestion,agnostic,9,1,201.83628993137137,373.0,555.0,48.793565683646115,0,972.4482000019634,4000,None,None,0,10,1,1,
congestion,agnostic,10,1,201.83628993137137,284.0,524.0,84.50704225352112,0,744.8798999976134,4000,None,None,0,10,1,1,
congestion,agnostic,11,1,201.83628993137137,321.0,567.0,76.63551401869158,0,723.1539999993402,4000,None,None,0,10,1,1,
congestion,agnostic,12,1,201.83628993137137,313.0,606.0,93.61022364217251,0,902.9908000011346,4000,None,None,0,10,1,1,
congestion,agnostic,13,1,201.83628993137137,312.0,524.0,67.94871794871796,0,896.1342000002332,4000,None,None,0,10,1,0,
congestion,agnostic,14,1,201.83628993137137,280.0,620.0,121.42857142857142,0,788.4346999999252,4000,None,None,0,10,1,1,
congestion,agnostic,15,1,201.83628993137137,369.0,537.0,45.52845528455284,0,920.7220999996935,4000,None,None,0,10,1,1,
congestion,agnostic,16,1,201.83628993137137,300.0,581.0,93.66666666666667,0,755.5613999975321,4000,None,None,0,10,1,1,
congestion,agnostic,17,1,201.83628993137137,391.0,401.0,2.557544757033248,0,580.0885999997263,4000,None,None,0,10,1,1,
congestion,agnostic,18,1,201.83628993137137,428.0,440.0,2.803738317757009,0,824.7603999989224,4000,None,None,0,10,1,1,
congestion,agnostic,19,1,201.83628993137137,308.0,482.0,56.493506493506494,0,827.8639999989537,4000,None,None,0,10,1,1,
congestion,agnostic,20,1,201.83628993137137,399.0,475.0,19.047619047619047,0,852.9589999998279,4000,None,None,0,10,1,1,
congestion,agnostic,21,1,201.83628993137137,337.0,572.0,69.73293768545994,0,764.5006000020658,4000,None,None,0,10,1,1,
congestion,agnostic,22,1,201.83628993137137,344.0,581.0,68.8953488372093,0,936.8347999989055,4000,None,None,0,10,1,1,
congestion,agnostic,23,1,201.83628993137137,357.0,657.0,84.03361344537815,0,906.3544999989972,4000,None,None,0,10,1,0,
congestion,agnostic,24,1,201.83628993137137,275.0,519.0,88.72727272727273,0,928.5500999976648,4000,None,None,0,10,1,1,
congestion,agnostic,25,1,201.83628993137137,356.0,465.0,30.61797752808989,0,868.3795999968424,4000,None,None,0,10,1,1,
congestion,agnostic,26,1,201.83628993137137,285.0,479.0,68.0701754385965,0,828.1182999999146,4000,None,None,0,10,1,1,
congestion,agnostic,27,1,201.83628993137137,473.0,604.0,27.695560253699792,0,800.3477000020212,4000,None,None,0,10,1,1,
congestion,agnostic,28,1,201.83628993137137,335.0,502.0,49.850746268656714,0,825.8560999965994,4000,None,None,0,10,1,1,
congestion,agnostic,29,1,201.83628993137137,348.0,585.0,68.10344827586206,0,736.3487000002351,4000,None,None,0,10,1,1,
congestion,agnostic,30,1,201.83628993137137,302.0,561.0,85.76158940397352,0,752.8247000009287,4000,None,None,0,10,1,1,
congestion,agnostic,1,2,256.47811996135704,316.0,385.0,21.835443037974684,0,343.083799998567,4000,None,None,0,10,1,1,
congestion,agnostic,2,2,256.47811996135704,325.0,364.0,12.0,0,714.3070000020089,4000,None,None,0,10,1,1,
congestion,agnostic,3,2,256.47811996135704,307.0,356.0,15.960912052117262,0,378.79090000205906,4000,None,None,0,10,1,1,
congestion,agnostic,4,2,256.47811996135704,394.0,416.0,5.583756345177665,0,370.1099999998405,4000,None,None,0,10,1,1,
congestion,agnostic,5,2,256.47811996135704,334.0,414.0,23.952095808383234,0,708.1026999985625,4000,None,None,0,10,1,1,
congestion,agnostic,6,2,256.47811996135704,297.0,317.0,6.7340067340067336,0,351.2494999995397,4000,None,None,0,10,1,1,
congestion,agnostic,7,2,256.47811996135704,355.0,391.0,10.140845070422536,0,685.7597999987775,4000,None,None,0,10,1,1,
congestion,agnostic,8,2,256.47811996135704,350.0,377.0,7.7142857142857135,0,668.1548999986262,4000,None,None,0,10,1,1,
congestion,agnostic,9,2,256.47811996135704,373.0,396.0,6.166219839142091,0,676.3462000017171,4000,None,None,0,10,1,1,
congestion,agnostic,10,2,256.47811996135704,284.0,325.0,14.43661971830986,0,,,None,None,0,10,1,0,
congestion,agnostic,11,2,256.47811996135704,321.0,437.0,36.13707165109034,0,,,None,None,0,10,1,0,
congestion,agnostic,12,2,256.47811996135704,313.0,373.0,19.169329073482427,0,,,None,None,0,10,1,0,
congestion,agnostic,13,2,256.47811996135704,312.0,384.0,23.076923076923077,0,353.53959999702056,4000,None,None,0,10,1,1,
