seed,severity,t_inj,distractor,distractor_hit,fault_agv,fault_type,detected,faulty_ever,false_pos,distractor_warned,warn_t,latency_s,base_distractor_warned,base_n_warned,f1_base,f1_event,deg_pct,timeout,maint_enter,n_warned
1,105.0,155.54677075111826,6,0,5,thermal,0,0,0,0,None,,0,0,316.0,316.0,0.0,0,None,0
2,105.0,193.120844657911,2,0,5,thermal,0,0,0,0,None,,0,0,325.0,325.0,0.0,0,None,0
3,105.0,185.8768136711957,1,0,0,thermal,0,0,0,0,None,,0,0,307.0,307.0,0.0,0,None,0
4,105.0,113.08284053572515,8,1,8,thermal,0,0,0,0,None,,0,0,394.0,586.0,48.73096446700508,0,None,0
5,105.0,154.8905664193652,6,0,8,thermal,0,0,0,0,None,,0,0,334.0,350.0,4.790419161676647,0,None,0
6,105.0,185.08864129444243,8,1,8,thermal,0,0,0,0,None,,0,0,297.0,297.0,0.0,0,None,0
7,105.0,191.869604315151,5,0,1,thermal,0,0,0,0,None,,0,0,355.0,355.0,0.0,0,None,0
8,105.0,79.81826900987826,2,0,4,thermal,0,0,0,0,None,,0,0,350.0,350.0,0.0,0,None,0
9,105.0,119.75551507723077,4,0,3,thermal,0,0,0,0,None,,0,0,373.0,373.0,0.0,0,None,0
10,105.0,74.50504541067986,1,0,2,thermal,0,0,0,0,None,,0,0,284.0,284.0,0.0,0,None,0
11,105.0,68.70486104173833,5,0,4,thermal,0,0,0,0,None,,0,0,321.0,321.0,0.0,0,None,0
12,105.0,94.06166347237628,6,0,7,thermal,0,0,0,0,None,,0,0,313.0,313.0,0.0,0,None,0
13,105.0,71.2789120621924,7,0,9,thermal,0,0,0,0,None,,0,0,312.0,324.0,3.8461538461538463,0,None,0
14,105.0,78.59243090870162,9,0,0,thermal,0,0,0,0,None,,0,0,280.0,290.0,3.571428571428571,0,None,0
15,105.0,106.78484860352222,0,0,5,thermal,0,0,0,0,None,,0,0,369.0,369.0,0.0,0,None,0
16,105.0,153.31221394264537,8,0,7,thermal,0,0,0,0,None,,0,0,300.0,300.0,0.0,0,None,0
17,105.0,112.99555962424333,4,0,1,thermal,0,0,0,0,None,,0,0,391.0,391.0,0.0,0,None,0
18,105.0,105.59004456158598,3,0,5,thermal,0,0,0,0,None,,0,0,428.0,745.0,74.06542056074767,0,None,0
19,105.0,63.29074296900886,1,0,4,thermal,0,0,0,0,None,,0,0,308.0,308.0,0.0,0,None,0
20,105.0,129.23430510384588,8,0,0,thermal,0,0,0,0,None,,0,0,399.0,399.0,0.0,0,None,0
21,105.0,117.59945309682203,4,0,0,thermal,0,0,0,0,None,,0,0,337.0,337.0,0.0,0,None,0
22,105.0,146.05307118028128,0,0,8,thermal,0,0,0,0,None,,0,0,344.0,344.0,0.0,0,None,0
23,105.0,113.02813101069721,0,0,7,thermal,0,0,0,0,None,,0,0,357.0,357.0,0.0,0,None,0
24,105.0,118.33905982641127,3,0,6,thermal,0,0,0,0,None,,0,0,275.0,275.0,0.0,0,None,0
25,105.0,147.5290805674759,8,0,1,thermal,0,0,0,0,None,,0,0,356.0,356.0,0.0,0,None,0
26,105.0,151.22338466665016,9,0,4,thermal,0,0,0,0,None,,0,0,285.0,285.0,0.0,0,None,0
27,105.0,108.89440278946503,7,0,6,thermal,0,0,0,0,None,,0,0,473.0,473.0,0.0,0,None,0
28,105.0,70.31683949673422,2,0,4,thermal,0,0,0,0,None,,0,0,335.0,388.0,15.82089552238806,0,None,0
29,105.0,182.49538483598198,6,0,9,thermal,0,0,0,0,None,,0,0,348.0,348.0,0.0,0,None,0
30,105.0,61.746167360012564,5,0,7,thermal,0,0,0,0,None,,0,0,302.0,319.0,5.629139072847682,0,None,0
1,109.0,155.54677075111826,6,0,5,thermal,0,0,0,0,None,,0,0,316.0,316.0,0.0,0,None,0
2,109.0,193.120844657911,2,0,5,thermal,0,0,0,0,None,,0,0,325.0,325.0,0.0,0,None,0
3,109.0,185.8768136711957,1,0,0,thermal,0,0,0,0,None,,0,0,307.0,307.0,0.0,0,None,0
4,109.0,113.08284053572515,8,1,8,thermal,0,0,0,0,None,,0,0,394.0,774.0,96.44670050761421,0,None,0
5,109.0,154.8905664193652,6,0,8,thermal,0,0,0,0,None,,0,0,334.0,377.0,12.874251497005988,0,None,0
6,109.0,185.08864129444243,8,1,8,thermal,0,0,0,0,None,,0,0,297.0,297.0,0.0,0,None,0
7,109.0,191.869604315151,5,0,1,thermal,0,0,0,0,None,,0,0,355.0,355.0,0.0,0,None,0
8,109.0,79.81826900987826,2,0,4,thermal,0,0,0,0,None,,0,0,350.0,350.0,0.0,0,None,0
9,109.0,119.75551507723077,4,0,3,thermal,0,0,0,0,None,,0,0,373.0,373.0,0.0,0,None,0
10,109.0,74.50504541067986,1,0,2,thermal,0,0,0,0,None,,0,0,284.0,284.0,0.0,0,None,0
11,109.0,68.70486104173833,5,0,4,thermal,0,0,0,0,None,,0,0,321.0,321.0,0.0,0,None,0
12,109.0,94.06166347237628,6,0,7,thermal,0,0,0,0,None,,0,0,313.0,313.0,0.0,0,None,0
13,109.0,71.2789120621924,7,0,9,thermal,0,0,0,0,None,,0,0,312.0,371.0,18.91025641025641,0,None,0
14,109.0,78.59243090870162,9,0,0,thermal,0,0,0,0,None,,0,0,280.0,311.0,11.071428571428571,0,None,0
15,109.0,106.78484860352222,0,0,5,thermal,0,0,0,0,None,,0,0,369.0,369.0,0.0,0,None,0
16,109.0,153.31221394264537,8,0,7,thermal,0,0,0,0,None,,0,0,300.0,300.0,0.0,0,None,0
17,109.0,112.99555962424333,4,0,1,thermal,0,0,0,0,None,,0,0,391.0,391.0,0.0,0,None,0
18,109.0,105.59004456158598,3,0,5,thermal,0,0,0,0,None,,0,0,428.0,939.0,119.39252336448598,0,None,0
19,109.0,63.29074296900886,1,0,4,thermal,0,0,0,0,None,,0,0,308.0,332.0,7.792207792207792,0,None,0
20,109.0,129.23430510384588,8,0,0,thermal,0,0,0,0,None,,0,0,399.0,399.0,0.0,0,None,0
21,109.0,117.59945309682203,4,0,0,thermal,0,0,0,0,None,,0,0,337.0,337.0,0.0,0,None,0
22,109.0,146.05307118028128,0,0,8,thermal,0,0,0,0,None,,0,0,344.0,344.0,0.0,0,None,0
23,109.0,113.02813101069721,0,0,7,thermal,0,0,0,0,None,,0,0,357.0,357.0,0.0,0,None,0
24,109.0,118.33905982641127,3,0,6,thermal,0,0,0,0,None,,0,0,275.0,275.0,0.0,0,None,0
25,109.0,147.5290805674759,8,0,1,thermal,0,0,0,0,None,,0,0,356.0,356.0,0.0,0,None,0
26,109.0,151.22338466665016,9,0,4,thermal,0,0,0,0,None,,0,0,285.0,285.0,0.0,0,None,0
27,109.0,108.89440278946503,7,0,6,thermal,0,0,0,0,None,,0,0,473.0,473.0,0.0,0,None,0
28,109.0,70.31683949673422,2,0,4,thermal,0,0,0,0,None,,0,0,335.0,501.0,49.55223880597015,0,None,0
29,109.0,182.49538483598198,6,0,9,thermal,0,0,0,0,None,,0,0,348.0,348.0,0.0,0,None,0
30,109.0,61.746167360012564,5,0,7,thermal,0,0,0,0,None,,0,0,302.0,372.0,23.178807947019866,0,None,0
1,111.0,155.54677075111826,6,0,5,thermal,1,1,0,0,757.0,601.4532292488817,0,0,316.0,316.0,0.0,0,None,1
2,111.0,193.120844657911,2,0,5,thermal,1,1,0,0,797.0,603.879155342089,0,0,325.0,325.0,0.0,0,None,1
3,111.0,185.8768136711957,1,0,0,thermal,1,1,0,0,757.0,571.1231863288043,0,0,307.0,310.0,0.9771986970684038,0,None,1
4,111.0,113.08284053572515,8,1,8,thermal,1,1,0,0,718.0,604.9171594642748,0,0,394.0,832.0,111.16751269035532,0,None,1
5,111.0,154.8905664193652,6,0,8,thermal,1,1,0,0,750.0,595.1094335806348,0,0,334.0,409.0,22.45508982035928,0,None,1
6,111.0,185.08864129444243,8,1,8,thermal,1,1,0,0,762.0,576.9113587055576,0,0,297.0,297.0,0.0,0,None,1
7,111.0,191.869604315151,5,0,1,thermal,1,1,0,0,783.0,591.130395684849,0,0,355.0,355.0,0.0,0,None,1
8,111.0,79.81826900987826,2,0,4,thermal,1,1,0,0,742.0,662.1817309901218,0,0,350.0,350.0,0.0,0,None,1
9,111.0,119.75551507723077,4,0,3,thermal,1,1,0,0,740.0,620.2444849227693,0,0,373.0,373.0,0.0,0,None,1
10,111.0,74.50504541067986,1,0,2,thermal,1,1,0,0,724.0,649.4949545893202,0,0,284.0,284.0,0.0,0,None,1
11,111.0,68.70486104173833,5,0,4,thermal,1,1,0,0,715.0,646.2951389582616,0,0,321.0,321.0,0.0,0,None,1
12,111.0,94.06166347237628,6,0,7,thermal,1,1,0,0,716.0,621.9383365276237,0,0,313.0,313.0,0.0,0,None,1
13,111.0,71.2789120621924,7,0,9,thermal,1,1,0,0,706.0,634.7210879378076,0,0,312.0,430.0,37.82051282051282,0,None,1
14,111.0,78.59243090870162,9,0,0,thermal,1,1,0,0,717.0,638.4075690912983,0,0,280.0,331.0,18.21428571428571,0,None,1
15,111.0,106.78484860352222,0,0,5,thermal,1,1,0,0,761.0,654.2151513964777,0,0,369.0,369.0,0.0,0,None,1
16,111.0,153.31221394264537,8,0,7,thermal,1,1,0,0,764.0,610.6877860573546,0,0,300.0,300.0,0.0,0,None,1
17,111.0,112.99555962424333,4,0,1,thermal,1,1,0,0,736.0,623.0044403757566,0,0,391.0,391.0,0.0,0,None,1
18,111.0,105.59004456158598,3,0,5,thermal,1,1,0,0,711.0,605.409955438414,0,0,428.0,762.0,78.03738317757009,0,None,1
19,111.0,63.29074296900886,1,0,4,thermal,1,1,0,0,705.0,641.7092570309911,0,0,308.0,376.0,22.07792207792208,0,None,1
20,111.0,129.23430510384588,8,0,0,thermal,1,1,0,0,757.0,627.7656948961542,0,0,399.0,399.0,0.0,0,None,1
21,111.0,117.59945309682203,4,0,0,thermal,1,1,0,0,728.0,610.400546903178,0,0,337.0,337.0,0.0,0,None,1
22,111.0,146.05307118028128,0,0,8,thermal,1,1,0,0,745.0,598.9469288197188,0,0,344.0,344.0,0.0,0,None,1
23,111.0,113.02813101069721,0,0,7,thermal,1,1,0,0,738.0,624.9718689893028,0,0,357.0,357.0,0.0,0,None,1
24,111.0,118.33905982641127,3,0,6,thermal,1,1,0,0,750.0,631.6609401735888,0,0,275.0,275.0,0.0,0,None,1
25,111.0,147.5290805674759,8,0,1,thermal,1,1,0,0,761.0,613.4709194325242,0,0,356.0,356.0,0.0,0,None,1
26,111.0,151.22338466665016,9,0,4,thermal,1,1,0,0,751.0,599.7766153333498,0,0,285.0,285.0,0.0,0,None,1
27,111.0,108.89440278946503,7,0,6,thermal,1,1,0,0,733.0,624.1055972105349,0,0,473.0,473.0,0.0,0,None,1
28,111.0,70.31683949673422,2,0,4,thermal,1,1,0,0,703.0,632.6831605032658,0,0,335.0,554.0,65.3731343283582,0,None,1
29,111.0,182.49538483598198,6,0,9,thermal,1,1,0,0,790.0,607.504615164018,0,0,348.0,348.0,0.0,0,None,1
30,111.0,61.746167360012564,5,0,7,thermal,1,1,0,0,700.0,638.2538326399874,0,0,302.0,436.0,44.370860927152314,0,None,1
1,113.0,155.54677075111826,6,0,5,thermal,1,1,0,0,578.0,422.4532292488817,0,0,316.0,316.0,0.0,0,None,1
2,113.0,193.120844657911,2,0,5,thermal,1,1,0,0,608.0,414.879155342089,0,0,325.0,325.0,0.0,0,None,1
3,113.0,185.8768136711957,1,0,0,thermal,1,1,0,0,579.0,393.1231863288043,0,0,307.0,317.0,3.257328990228013,0,None,1
4,113.0,113.08284053572515,8,1,8,thermal,1,1,0,0,550.0,436.91715946427485,0,0,394.0,877.0,122.58883248730965,0,None,1
5,113.0,154.8905664193652,6,0,8,thermal,1,1,0,0,575.0,420.1094335806348,0,0,334.0,453.0,35.62874251497006,0,None,1
6,113.0,185.08864129444243,8,1,8,thermal,1,1,0,0,578.0,392.9113587055576,0,0,297.0,297.0,0.0,0,None,1
7,113.0,191.869604315151,5,0,1,thermal,1,1,0,0,601.0,409.13039568484896,0,0,355.0,355.0,0.0,0,None,1
8,113.0,79.81826900987826,2,0,4,thermal,1,1,0,0,530.0,450.18173099012176,0,0,350.0,350.0,0.0,0,None,1
9,113.0,119.75551507723077,4,0,3,thermal,1,1,0,0,553.0,433.24448492276923,0,0,373.0,373.0,0.0,0,None,1
10,113.0,74.50504541067986,1,0,2,thermal,1,1,0,0,532.0,457.4949545893202,0,0,284.0,284.0,0.0,0,None,1
11,113.0,68.70486104173833,5,0,4,thermal,1,1,0,0,527.0,458.29513895826165,0,0,321.0,321.0,0.0,0,None,1
12,113.0,94.06166347237628,6,0,7,thermal,1,1,0,0,528.0,433.93833652762373,0,0,313.0,313.0,0.0,0,None,1
13,113.0,71.2789120621924,7,0,9,thermal,1,1,0,0,526.0,454.7210879378076,0,0,312.0,479.0,53.52564102564102,0,None,1
14,113.0,78.59243090870162,9,0,0,thermal,1,1,0,0,534.0,455.4075690912984,0,0,280.0,372.0,32.857142857142854,0,None,1
15,113.0,106.78484860352222,0,0,5,thermal,1,1,0,0,555.0,448.2151513964778,0,0,369.0,369.0,0.0,0,None,1
16,113.0,153.31221394264537,8,0,7,thermal,1,1,0,0,574.0,420.68778605735463,0,0,300.0,300.0,0.0,0,None,1
17,113.0,112.99555962424333,4,0,1,thermal,1,1,0,0,545.0,432.00444037575664,0,0,391.0,391.0,0.0,0,None,1
18,113.0,105.59004456158598,3,0,5,thermal,1,1,0,0,542.0,436.40995543841404,0,0,428.0,762.0,78.03738317757009,0,None,1
19,113.0,63.29074296900886,1,0,4,thermal,1,1,0,0,521.0,457.7092570309911,0,0,308.0,424.0,37.66233766233766,0,None,1
20,113.0,129.23430510384588,8,0,0,thermal,1,1,0,0,567.0,437.7656948961541,0,0,399.0,399.0,0.0,0,None,1
21,113.0,117.59945309682203,4,0,0,thermal,1,1,0,0,546.0,428.400546903178,0,0,337.0,337.0,0.0,0,None,1
22,113.0,146.05307118028128,0,0,8,thermal,1,1,0,0,559.0,412.9469288197187,0,0,344.0,344.0,0.0,0,None,1
23,113.0,113.02813101069721,0,0,7,thermal,1,1,0,0,545.0,431.9718689893028,0,0,357.0,357.0,0.0,0,None,1
24,113.0,118.33905982641127,3,0,6,thermal,1,1,0,0,560.0,441.66094017358876,0,0,275.0,275.0,0.0,0,None,1
25,113.0,147.5290805674759,8,0,1,thermal,1,1,0,0,572.0,424.4709194325241,0,0,356.0,356.0,0.0,0,None,1
26,113.0,151.22338466665016,9,0,4,thermal,1,1,0,0,568.0,416.7766153333498,0,0,285.0,285.0,0.0,0,None,1
27,113.0,108.89440278946503,7,0,6,thermal,1,1,0,0,550.0,441.10559721053494,0,0,473.0,473.0,0.0,0,None,1
28,113.0,70.31683949673422,2,0,4,thermal,1,1,0,0,527.0,456.68316050326575,0,0,335.0,607.0,81.19402985074626,0,None,1
29,113.0,182.49538483598198,6,0,9,thermal,1,1,0,0,597.0,414.504615164018,0,0,348.0,348.0,0.0,0,None,1
30,113.0,61.746167360012564,5,0,7,thermal,1,1,0,0,519.0,457.2538326399874,0,0,302.0,481.0,59.27152317880795,0,None,1
1,117.0,155.54677075111826,6,0,5,thermal,1,1,0,0,473.0,317.4532292488817,0,0,316.0,351.0,11.075949367088606,0,None,1
2,117.0,193.120844657911,2,0,5,thermal,1,1,0,0,502.0,308.879155342089,0,0,325.0,325.0,0.0,0,None,1
3,117.0,185.8768136711957,1,0,0,thermal,1,1,0,0,476.0,290.1231863288043,0,0,307.0,340.0,10.749185667752444,0,None,1
4,117.0,113.08284053572515,8,1,8,thermal,1,1,0,0,446.0,332.91715946427485,0,0,394.0,531.0,34.77157360406091,0,None,1
5,117.0,154.8905664193652,6,0,8,thermal,1,1,0,0,471.0,316.1094335806348,0,0,334.0,515.0,54.191616766467064,0,None,1
6,117.0,185.08864129444243,8,1,8,thermal,1,1,0,0,475.0,289.9113587055576,0,0,297.0,297.0,0.0,0,None,1
7,117.0,191.869604315151,5,0,1,thermal,1,1,0,0,496.0,304.13039568484896,0,0,355.0,355.0,0.0,0,None,1
8,117.0,79.81826900987826,2,0,4,thermal,1,1,0,0,419.0,339.18173099012176,0,0,350.0,350.0,0.0,0,None,1
9,117.0,119.75551507723077,4,0,3,thermal,1,1,0,0,447.0,327.24448492276923,0,0,373.0,373.0,0.0,0,None,1
10,117.0,74.50504541067986,1,0,2,thermal,1,1,0,0,424.0,349.4949545893202,0,0,284.0,284.0,0.0,0,None,1
11,117.0,68.70486104173833,5,0,4,thermal,1,1,0,0,419.0,350.29513895826165,0,0,321.0,355.0,10.59190031152648,0,None,1
12,117.0,94.06166347237628,6,0,7,thermal,1,1,0,0,421.0,326.93833652762373,0,0,313.0,313.0,0.0,0,None,1
13,117.0,71.2789120621924,7,0,9,thermal,1,1,0,0,419.0,347.7210879378076,0,0,312.0,547.0,75.32051282051282,0,None,1
14,117.0,78.59243090870162,9,0,0,thermal,1,1,0,0,427.0,348.4075690912984,0,0,280.0,444.0,58.57142857142858,0,None,1
15,117.0,106.78484860352222,0,0,5,thermal,1,1,0,0,446.0,339.2151513964778,0,0,369.0,369.0,0.0,0,None,1
16,117.0,153.31221394264537,8,0,7,thermal,1,1,0,0,468.0,314.68778605735463,0,0,300.0,300.0,0.0,0,None,1
17,117.0,112.99555962424333,4,0,1,thermal,1,1,0,0,438.0,325.00444037575664,0,0,391.0,391.0,0.0,0,None,1
18,117.0,105.59004456158598,3,0,5,thermal,1,1,0,0,437.0,331.40995543841404,0,0,428.0,553.0,29.205607476635514,0,None,1
19,117.0,63.29074296900886,1,0,4,thermal,1,1,0,0,415.0,351.7092570309911,0,0,308.0,495.0,60.71428571428571,0,None,1
20,117.0,129.23430510384588,8,0,0,thermal,1,1,0,0,460.0,330.7656948961541,0,0,399.0,399.0,0.0,0,None,1
21,117.0,117.59945309682203,4,0,0,thermal,1,1,0,0,441.0,323.400546903178,0,0,337.0,405.0,20.178041543026705,0,None,1
22,117.0,146.05307118028128,0,0,8,thermal,1,1,0,0,454.0,307.9469288197187,0,0,344.0,344.0,0.0,0,None,1
23,117.0,113.02813101069721,0,0,7,thermal,1,1,0,0,438.0,324.9718689893028,0,0,357.0,357.0,0.0,0,None,1
24,117.0,118.33905982641127,3,0,6,thermal,1,1,0,0,452.0,333.66094017358876,0,0,275.0,275.0,0.0,0,None,1
25,117.0,147.5290805674759,8,0,1,thermal,1,1,0,0,466.0,318.4709194325241,0,0,356.0,356.0,0.0,0,None,1
26,117.0,151.22338466665016,9,0,4,thermal,1,1,0,0,463.0,311.7766153333498,0,0,285.0,289.0,1.4035087719298245,0,None,1
27,117.0,108.89440278946503,7,0,6,thermal,1,1,0,0,443.0,334.10559721053494,0,0,473.0,473.0,0.0,0,None,1
28,117.0,70.31683949673422,2,0,4,thermal,1,1,0,0,421.0,350.68316050326575,0,0,335.0,468.0,39.701492537313435,0,None,1
29,117.0,182.49538483598198,6,0,9,thermal,1,1,0,0,491.0,308.504615164018,0,0,348.0,348.0,0.0,0,None,1
30,117.0,61.746167360012564,5,0,7,thermal,1,1,0,0,412.0,350.2538326399874,0,0,302.0,551.0,82.45033112582782,0,None,1
1,121.0,155.54677075111826,6,0,5,thermal,1,1,0,0,424.0,268.4532292488817,0,0,316.0,396.0,25.31645569620253,0,None,1
2,121.0,193.120844657911,2,0,5,thermal,1,1,0,0,453.0,259.879155342089,0,0,325.0,325.0,0.0,0,None,1
3,121.0,185.8768136711957,1,0,0,thermal,1,1,0,0,429.0,243.1231863288043,0,0,307.0,384.0,25.0814332247557,0,None,1
4,121.0,113.08284053572515,8,1,8,thermal,1,1,0,0,396.0,282.91715946427485,0,0,394.0,581.0,47.46192893401015,0,None,1
5,121.0,154.8905664193652,6,0,8,thermal,1,1,0,0,422.0,267.1094335806348,0,0,334.0,561.0,67.96407185628742,0,None,1
6,121.0,185.08864129444243,8,1,8,thermal,1,1,0,0,427.0,241.91135870555757,0,0,297.0,297.0,0.0,0,None,1
7,121.0,191.869604315151,5,0,1,thermal,1,1,0,0,448.0,256.13039568484896,0,0,355.0,355.0,0.0,0,None,1
8,121.0,79.81826900987826,2,0,4,thermal,1,1,0,0,367.0,287.18173099012176,0,0,350.0,350.0,0.0,0,None,1
9,121.0,119.75551507723077,4,0,3,thermal,1,1,0,0,397.0,277.24448492276923,0,0,373.0,373.0,0.0,0,None,1
10,121.0,74.50504541067986,1,0,2,thermal,1,1,0,0,372.0,297.4949545893202,0,0,284.0,305.0,7.394366197183098,0,None,1
