scenario,strategy_a,strategy_b,metric,mean_a,mean_b,n,wilcoxon_p,cohen_dz
congestion,EHCO,moead-cl,deg_pct,45.40493221777564,39.63102210852683,150,1.5790892090749507e-05,-0.3025917164558269
congestion,EHCO,moead-cl,f1_event,488.74666666666667,467.3,150,1.2529134071821761e-05,-0.3186955467706551
congestion,A*-GA,moead-cl,deg_pct,59.02684932581264,39.63102210852683,150,1.7571947142745256e-14,-0.7430271130534766
congestion,A*-GA,moead-cl,f1_event,481.58,467.3,150,0.0013128355204957206,-0.21434991466390596
congestion,noFLC,moead-cl,deg_pct,46.82213166938428,39.63102210852683,150,1.1514648390622074e-08,-0.4241121787586441
congestion,noFLC,moead-cl,f1_event,492.6,467.3,150,1.3690862478424765e-08,-0.4342140294550858
congestion,EHCO,moead-full,deg_pct,45.40493221777564,57.33563413459803,150,3.110376034165168e-06,0.42900462935985884
congestion,EHCO,moead-full,f1_event,488.74666666666667,457.35333333333335,150,3.3747221355126e-05,-0.3479900340929266
congestion,A*-GA,moead-full,deg_pct,59.02684932581264,57.33563413459803,150,0.09039721201162433,-0.08133365429334273
congestion,A*-GA,moead-full,f1_event,481.58,457.35333333333335,150,1.998560048478227e-06,-0.3856541656446103
congestion,noFLC,moead-full,deg_pct,46.82213166938428,57.33563413459803,150,2.356671157663994e-05,0.3865551215397012
congestion,noFLC,moead-full,f1_event,492.6,457.35333333333335,150,3.1104846781881454e-07,-0.4366215600866673
fault,EHCO,moead-cl,deg_pct,4.130828740025863,3.634976738163233,150,0.4177884823158944,-0.08663233753537242
fault,EHCO,moead-cl,f1_event,349.64,347.93333333333334,150,0.43179382480323325,-0.08964467147388405
fault,A*-GA,moead-cl,deg_pct,46.3113956055161,3.634976738163233,150,2.258565760770413e-16,-0.8802567576600421
fault,A*-GA,moead-cl,f1_event,443.4,347.93333333333334,150,1.962420312137487e-10,-0.6384781166738964
fault,noFLC,moead-cl,deg_pct,5.029388663038445,3.634976738163233,150,0.03626626436740727,-0.19461373743628543
fault,noFLC,moead-cl,f1_event,352.47333333333336,347.93333333333334,150,0.037643552367356774,-0.19316096311496803
fault,EHCO,moead-full,deg_pct,4.130828740025863,11.997966722934319,150,2.0447147607783122e-07,0.39140440676943744
fault,EHCO,moead-full,f1_event,349.64,325.42,150,1.437475369706845e-05,-0.38091409918739255
fault,A*-GA,moead-full,deg_pct,46.3113956055161,11.997966722934319,150,1.2668897642584558e-16,-0.8674912130967367
fault,A*-GA,moead-full,f1_event,443.4,325.42,150,2.1530884137547943e-19,-0.9665357102242957
fault,noFLC,moead-full,deg_pct,5.029388663038445,11.997966722934319,150,1.8779556775798348e-06,0.346626520501358
fault,noFLC,moead-full,f1_event,352.47333333333336,325.42,150,1.6342855630042737e-07,-0.4296903379400385
urgent,EHCO,moead-cl,deg_pct,43.79501829528418,41.78044280740982,150,0.0014154006272984031,-0.27293188913313965
urgent,EHCO,moead-cl,f1_event,479.74,472.88,150,0.0014928982089055022,-0.2641504624979437
urgent,A*-GA,moead-cl,deg_pct,92.85124214611103,41.78044280740982,150,2.2996057560669792e-26,-2.557283921109071
urgent,A*-GA,moead-cl,f1_event,583.0333333333333,472.88,150,2.258205236773741e-26,-3.2345175943975493
urgent,noFLC,moead-cl,deg_pct,43.62338416104864,41.78044280740982,150,0.0003599428327146285,-0.25058671757589673
urgent,noFLC,moead-cl,f1_event,479.08666666666664,472.88,150,0.0003718654329705456,-0.24443865299337297
urgent,EHCO,moead-full,deg_pct,43.79501829528418,66.00943219093101,150,4.357023237607727e-24,1.0977136709899575
urgent,EHCO,moead-full,f1_event,479.74,480.58666666666664,150,0.1571365732294698,0.026858129490257444
urgent,A*-GA,moead-full,deg_pct,92.85124214611103,66.00943219093101,150,4.545401037288717e-26,-2.2226960272984977
urgent,A*-GA,moead-full,f1_event,583.0333333333333,480.58666666666664,150,2.2510838651580993e-26,-3.1890765272611796
urgent,noFLC,moead-full,deg_pct,43.62338416104864,66.00943219093101,150,2.2655217475420116e-24,1.0994498674059239
urgent,noFLC,moead-full,f1_event,479.08666666666664,480.58666666666664,150,0.14281151815803864,0.04742756051752559
