scenario,strategy,metric,mean,std,n
congestion,A*-GA,deg_pct,59.98005198436486,28.192849760554154,150
congestion,A*-GA,f1_event,483.86,89.38770316162098,150
congestion,EHCO,deg_pct,47.97334268609165,30.896103841775492,150
congestion,EHCO,f1_event,476.88,96.05450913326356,150
congestion,EHCO,response_ms,790.4991275361787,136.86205229121228,138
congestion,moead-cl,deg_pct,44.94669187221237,32.59648895169178,150
congestion,moead-cl,f1_event,466.8,99.58362982367665,150
congestion,moead-cl,response_ms,557.096185507296,14.249383490543764,138
congestion,moead-full,deg_pct,53.892751743919874,32.08192508505187,150
congestion,moead-full,f1_event,446.50666666666666,97.7558077140916,150
congestion,moead-full,response_ms,555.2294897635703,14.791075674785525,127
congestion,noFLC,deg_pct,51.00830860912711,31.48202569846297,150
congestion,noFLC,f1_event,487.42,100.78845345074647,150
congestion,noFLC,response_ms,121.9818550723795,22.01633527207654,138
fault,A*-GA,deg_pct,43.62709729697444,39.48265281205145,150
fault,A*-GA,f1_event,435.22,125.19991369510501,150
fault,EHCO,deg_pct,7.036693717391475,16.805060588889376,150
fault,EHCO,f1_event,346.17333333333335,63.30927036103427,150
fault,EHCO,response_ms,2661.2495802197213,1175.9207390714694,91
fault,moead-cl,deg_pct,5.984014850175192,16.337333462336996,150
fault,moead-cl,f1_event,342.76,62.20281613858387,150
fault,moead-cl,response_ms,2810.729424175776,32.02863463787319,91
fault,moead-full,deg_pct,10.25130582015281,10.815502866966265,150
fault,moead-full,f1_event,319.6333333333333,36.82197634340737,150
fault,moead-full,response_ms,2802.543240449523,31.864251365413242,89
fault,noFLC,deg_pct,7.745351990462017,16.177526949947687,150
fault,noFLC,f1_event,348.67333333333335,62.59022981271877,150
fault,noFLC,response_ms,509.0787296699041,43.75890307194517,91
urgent,A*-GA,deg_pct,91.2325511290927,22.108708795912612,150
urgent,A*-GA,f1_event,577.3133333333334,64.82740499571726,150
urgent,EHCO,deg_pct,44.30851738565173,24.989762411288808,150
urgent,EHCO,f1_event,462.81333333333333,60.61689430117942,150
urgent,EHCO,response_ms,111.50748266656592,12.244526054061211,150
urgent,moead-cl,deg_pct,42.05003367452835,24.090225607259562,150
urgent,moead-cl,f1_event,455.62,57.86859332971324,150
urgent,moead-cl,response_ms,545.1960366667481,9.944031715004709,150
urgent,moead-full,deg_pct,57.50276795363563,21.257093577644333,150
urgent,moead-full,f1_event,455.58,58.95172293990985,150
urgent,moead-full,response_ms,545.449437999899,10.023456269447149,150
urgent,noFLC,deg_pct,45.17454322274024,25.13584357309312,150
urgent,noFLC,f1_event,465.38,58.49254756638122,150
urgent,noFLC,response_ms,96.19815000003048,4.772868541883226,150
