scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,EHCO,1,0,150.0,180.0,220.0,thermal,6,0.7,316.0,579.0,83.22784810126582,0,53,53,100.0,3,119.13899999854038,603.0913999966288,28000,438.0,6,None,1,0.598140663887087,10
compound,A*-GA,1,0,150.0,180.0,220.0,thermal,6,0.7,313.0,1023.0,226.8370607028754,0,53,53,100.0,0,,0.0,0,449.0,6,None,1,0.5586642521539796,10
compound,noFLC,1,0,150.0,180.0,220.0,thermal,6,0.7,316.0,1251.0,295.88607594936707,0,53,53,100.0,3,115.98049999884097,601.4466999986325,28000,438.0,6,None,1,0.5582879221679485,10
compound,moead-cl,1,0,150.0,180.0,220.0,thermal,6,0.7,316.0,774.0,144.9367088607595,0,53,53,100.0,3,553.2679000025382,3884.784600002604,28000,443.0,3,636.0,1,0.5982766860322513,10
compound,EHCO,2,0,150.0,180.0,220.0,thermal,6,0.7,325.0,664.0,104.3076923076923,0,53,53,100.0,3,120.46959999861429,599.3520999982138,28000,438.0,3,598.0,1,0.5981815087133148,10
compound,A*-GA,2,0,150.0,180.0,220.0,thermal,6,0.7,304.0,1390.0,357.2368421052631,0,53,53,100.0,0,,0.0,0,460.0,6,None,1,0.558262703806001,10
compound,noFLC,2,0,150.0,180.0,220.0,thermal,6,0.7,325.0,682.0,109.84615384615384,0,53,53,100.0,3,113.03939999925205,584.8757999992813,28000,438.0,3,598.0,1,0.5981815087133148,10
compound,moead-cl,2,0,150.0,180.0,220.0,thermal,6,0.7,325.0,554.0,70.46153846153847,0,53,53,100.0,2,556.6566999987117,1106.0919999981706,8000,431.0,2,520.0,1,0.5980594059284532,10
compound,EHCO,3,0,150.0,180.0,220.0,thermal,6,0.7,307.0,646.0,110.42345276872965,0,53,53,100.0,3,118.23139999978594,467.43689999493654,28000,450.0,6,None,1,0.598132294914977,10
compound,A*-GA,3,0,150.0,180.0,220.0,thermal,6,0.7,304.0,1267.0,316.7763157894737,0,53,53,100.0,0,,0.0,0,438.0,3,None,1,0.5583838009510351,10
compound,noFLC,3,0,150.0,180.0,220.0,thermal,6,0.7,307.0,719.0,134.20195439739413,0,53,53,100.0,3,116.61160000221571,615.3191000012157,28000,437.0,0,673.0,1,0.58365634341213,10
compound,moead-cl,3,0,150.0,180.0,220.0,thermal,6,0.7,307.0,773.0,151.7915309446254,0,53,53,100.0,3,548.4361999988323,3828.2791999990877,28000,450.0,6,None,1,0.5613394065527494,10
compound,EHCO,4,0,150.0,180.0,220.0,thermal,6,0.7,394.0,695.0,76.39593908629442,0,53,53,100.0,2,120.15919999976177,234.02559999885852,8000,454.0,6,640.0,1,0.5980370546605371,10
compound,A*-GA,4,0,150.0,180.0,220.0,thermal,6,0.7,302.0,1121.0,271.1920529801325,0,53,53,100.0,0,,0.0,0,453.0,4,None,1,0.5583457197566359,10
compound,noFLC,4,0,150.0,180.0,220.0,thermal,6,0.7,394.0,751.0,90.60913705583756,0,53,53,100.0,3,116.09569999927771,453.5513999981049,28000,445.0,8,None,1,0.5616406396650815,10
compound,moead-cl,4,0,150.0,180.0,220.0,thermal,6,0.7,394.0,672.0,70.55837563451777,0,53,53,100.0,3,550.0544000024092,3813.4848000045167,28000,454.0,6,593.0,1,0.5847594065119485,10
compound,EHCO,5,0,150.0,180.0,220.0,thermal,6,0.7,334.0,826.0,147.30538922155688,0,53,53,100.0,3,130.48720000006142,624.0500000021711,28000,448.0,7,583.0,1,0.5811938057298501,10
compound,A*-GA,5,0,150.0,180.0,220.0,thermal,6,0.7,318.0,1088.0,242.13836477987422,0,53,53,100.0,0,,0.0,0,446.0,2,None,1,0.5585564219961094,10
