strategy_a,strategy_b,metric,mean_a,mean_b,n,wilcoxon_p,cohen_dz
EHCO,A*-GA,deg_pct,104.18579881840203,281.85265055000025,150,2.455159239750588e-25,1.1919895145783366
EHCO,A*-GA,f1_event,668.3533333333334,1156.0,150,1.3699754014073564e-24,1.0947989694478444
EHCO,A*-GA,n_replans,2.7866666666666666,0.0,150,7.934891445830841e-30,-6.779658112640621
EHCO,A*-GA,min_h,0.4964702510837098,0.47090745231280634,150,1.97913678546843e-24,-1.015503507796544
EHCO,noFLC,deg_pct,104.18579881840203,112.71332843647627,150,0.041966099796921875,0.15935439533484422
EHCO,noFLC,f1_event,668.3533333333334,693.9066666666666,150,0.04196343215386636,0.14841218802234216
EHCO,noFLC,n_replans,2.7866666666666666,2.78,150,0.7962534147376392,-0.02101613148793672
EHCO,noFLC,min_h,0.4964702510837098,0.4941419983371776,150,0.15797695484644492,-0.1010154691490163
EHCO,moead-cl,deg_pct,104.18579881840203,97.57378028492992,150,0.034659715438288934,-0.1340290407689952
EHCO,moead-cl,f1_event,668.3533333333334,643.1666666666666,150,0.03465744351744879,-0.15318127744668075
EHCO,moead-cl,n_replans,2.7866666666666666,2.74,150,0.10829365589900902,-0.13182233200968002
EHCO,moead-cl,min_h,0.4964702510837098,0.4962411183805396,150,0.8955074509514579,-0.009947531278925325
