scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,EHCO,31,0,150.0,180.0,220.0,thermal,6,0.7,270.0,495.0,83.33333333333334,0,53,53,100.0,3,132.02109999838285,546.7895999972825,28000,436.0,1,None,1,0.5981017756965719,10
compound,A*-GA,31,0,150.0,180.0,220.0,thermal,6,0.7,285.0,907.0,218.24561403508773,0,53,53,100.0,0,,0.0,0,447.0,1,None,1,0.5591811091002958,10
compound,noFLC,31,0,150.0,180.0,220.0,thermal,6,0.7,270.0,603.0,123.33333333333334,0,53,53,100.0,3,130.92239999969024,540.6646000010369,28000,436.0,1,504.0,1,0.5981017756965719,10
compound,moead-cl,31,0,150.0,180.0,220.0,thermal,6,0.7,270.0,503.0,86.29629629629629,0,53,53,100.0,3,554.1028000006918,3943.8355999991472,28000,436.0,1,None,1,0.5981017756965719,10
compound,EHCO,32,0,150.0,180.0,220.0,thermal,6,0.7,292.0,677.0,131.84931506849315,0,53,53,100.0,2,130.05859999975655,249.5560999996087,8000,449.0,3,None,1,0.5646425302821312,10
compound,A*-GA,32,0,150.0,180.0,220.0,thermal,6,0.7,301.0,1197.0,297.6744186046512,0,53,53,100.0,0,,0.0,0,443.0,1,None,1,0.5583028168786703,10
compound,noFLC,32,0,150.0,180.0,220.0,thermal,6,0.7,292.0,819.0,180.4794520547945,0,53,53,100.0,3,124.43079999866313,648.0980999949679,28000,449.0,3,None,1,0.5601810725382917,10
compound,moead-cl,32,0,150.0,180.0,220.0,thermal,6,0.7,292.0,677.0,131.84931506849315,0,53,53,100.0,3,551.7544000031194,3909.569700001157,28000,449.0,3,None,1,0.5646425302821312,10
compound,EHCO,33,0,150.0,180.0,220.0,thermal,6,0.7,328.0,649.0,97.86585365853658,0,53,53,100.0,3,122.44900000223424,677.0001000004413,28000,441.0,7,None,1,0.5688109113834404,10
compound,A*-GA,33,0,150.0,180.0,220.0,thermal,6,0.7,305.0,2725.0,793.4426229508197,1,52,53,98.11320754716981,0,,0.0,0,445.0,1,None,1,0.5575325929902221,10
compound,noFLC,33,0,150.0,180.0,220.0,thermal,6,0.7,328.0,826.0,151.82926829268294,0,53,53,100.0,3,131.61770000078832,704.84370000122,28000,441.0,7,None,1,0.5602125735291421,10
compound,moead-cl,33,0,150.0,180.0,220.0,thermal,6,0.7,328.0,652.0,98.78048780487805,0,53,53,100.0,3,550.3410999990592,3958.6153000018385,28000,441.0,7,None,1,0.5981657268639053,10
compound,EHCO,34,0,150.0,180.0,220.0,thermal,6,0.7,307.0,776.0,152.76872964169382,0,53,53,100.0,3,131.237699999474,704.3316000017512,28000,442.0,6,769.0,1,0.57795074965269,10
compound,A*-GA,34,0,150.0,180.0,220.0,thermal,6,0.7,320.0,1583.0,394.6875,0,53,53,100.0,0,,0.0,0,449.0,1,None,1,0.558205189884278,10
compound,noFLC,34,0,150.0,180.0,220.0,thermal,6,0.7,307.0,816.0,165.79804560260587,0,53,53,100.0,3,127.00309999854653,699.3570999984513,28000,450.0,4,712.0,1,0.5903636106963557,10
compound,moead-cl,34,0,150.0,180.0,220.0,thermal,6,0.7,307.0,732.0,138.43648208469054,0,53,53,100.0,3,595.251399998233,3984.313500001008,28000,450.0,4,712.0,1,0.5903636106963557,10
compound,EHCO,35,0,150.0,180.0,220.0,thermal,6,0.7,351.0,685.0,95.15669515669516,0,53,53,100.0,3,127.53410000004806,772.3609999993641,28000,425.0,4,660.0,1,0.5677169995608939,10
compound,A*-GA,35,0,150.0,180.0,220.0,thermal,6,0.7,299.0,895.0,199.33110367892976,0,53,53,100.0,0,,0.0,0,434.0,9,None,1,0.5591586512203591,10
compound,noFLC,35,0,150.0,180.0,220.0,thermal,6,0.7,351.0,712.0,102.84900284900284,0,53,53,100.0,3,121.94069999895873,661.2959000012779,28000,425.0,4,509.0,1,0.5929708481399946,10
compound,moead-cl,35,0,150.0,180.0,220.0,thermal,6,0.7,351.0,1041.0,196.58119658119656,0,53,53,100.0,3,555.7048999980907,3949.36499999676,28000,425.0,4,None,1,0.5586482373245583,10
compound,EHCO,36,0,150.0,180.0,220.0,thermal,6,0.7,366.0,687.0,87.70491803278688,0,53,53,100.0,3,128.98570000106702,549.4780000008177,28000,431.0,1,None,1,0.5634844981235605,10
compound,A*-GA,36,0,150.0,180.0,220.0,thermal,6,0.7,313.0,1480.0,372.84345047923324,0,53,53,100.0,0,,0.0,0,454.0,2,None,1,0.5581887183391667,10
compound,noFLC,36,0,150.0,180.0,220.0,thermal,6,0.7,366.0,1465.0,300.27322404371586,0,53,53,100.0,3,128.7497000012081,557.8110000024026,28000,430.0,8,None,1,0.5582746941902244,10
compound,moead-cl,36,0,150.0,180.0,220.0,thermal,6,0.7,366.0,565.0,54.37158469945356,0,53,53,100.0,2,580.3226000025461,1142.6550000032876,8000,431.0,1,None,1,0.5981412021121646,10
compound,EHCO,37,0,150.0,180.0,220.0,thermal,6,0.7,339.0,1113.0,228.31858407079645,0,53,53,100.0,3,127.68019999930402,540.0991000024078,28000,436.0,7,None,1,0.5585307561775541,10
compound,A*-GA,37,0,150.0,180.0,220.0,thermal,6,0.7,291.0,779.0,167.6975945017182,0,53,53,100.0,0,,0.0,0,464.0,3,None,1,0.5613364280999382,10
compound,noFLC,37,0,150.0,180.0,220.0,thermal,6,0.7,339.0,502.0,48.08259587020649,0,53,53,100.0,2,127.55950000064331,240.7905000000028,8000,441.0,1,None,1,0.5899809585388368,10
compound,moead-cl,37,0,150.0,180.0,220.0,thermal,6,0.7,339.0,656.0,93.5103244837758,0,53,53,100.0,3,548.9925000001676,3871.146299999964,28000,436.0,7,None,1,0.5650979726702633,10
compound,EHCO,38,0,150.0,180.0,220.0,thermal,6,0.7,322.0,747.0,131.98757763975155,0,53,53,100.0,3,132.927100003144,683.7132000036945,28000,451.0,1,None,1,0.5621613432929922,10
compound,A*-GA,38,0,150.0,180.0,220.0,thermal,6,0.7,334.0,1401.0,319.4610778443114,0,53,53,100.0,0,,0.0,0,450.0,3,None,1,0.5581104715915607,10
compound,noFLC,38,0,150.0,180.0,220.0,thermal,6,0.7,322.0,1244.0,286.3354037267081,0,53,53,100.0,3,139.3114999991667,710.3395000012824,28000,451.0,1,None,1,0.5583348498949429,10
compound,moead-cl,38,0,150.0,180.0,220.0,thermal,6,0.7,322.0,880.0,173.29192546583852,0,53,53,100.0,3,555.0940000030096,3900.0931000045966,28000,451.0,1,None,1,0.5595456283694655,10
compound,EHCO,39,0,150.0,180.0,220.0,thermal,6,0.7,314.0,819.0,160.828025477707,0,53,53,100.0,3,129.49569999909727,680.3078000011737,28000,449.0,9,723.0,1,0.5736517372577195,10
compound,A*-GA,39,0,150.0,180.0,220.0,thermal,6,0.7,316.0,1322.0,318.3544303797469,0,53,53,100.0,0,,0.0,0,427.0,6,None,1,0.5582126840684657,10
compound,noFLC,39,0,150.0,180.0,220.0,thermal,6,0.7,314.0,912.0,190.44585987261146,0,53,53,100.0,3,129.6887999997125,686.1755000027188,28000,440.0,0,None,1,0.5592000566230985,10
compound,moead-cl,39,0,150.0,180.0,220.0,thermal,6,0.7,314.0,884.0,181.52866242038218,0,53,53,100.0,3,554.2888999989373,3857.339399997727,28000,449.0,9,None,1,0.5594974912981543,10
compound,EHCO,40,0,150.0,180.0,220.0,thermal,6,0.7,270.0,697.0,158.14814814814815,0,53,53,100.0,3,123.07430000146269,534.3049000002793,28000,440.0,1,464.0,1,0.5713665147005458,10
compound,A*-GA,40,0,150.0,180.0,220.0,thermal,6,0.7,304.0,1484.0,388.15789473684214,0,53,53,100.0,0,,0.0,0,442.0,2,None,1,0.5582067575918681,10
