strategy_a,strategy_b,metric,mean_a,mean_b,n,wilcoxon_p,cohen_dz
EHCO,A*-GA,deg_pct,109.4317782565928,309.21631385354243,150,6.672121470967093e-25,1.1711097519009392
EHCO,A*-GA,f1_event,675.5,1238.2533333333333,150,1.2091589911616488e-23,1.094575186487092
EHCO,A*-GA,n_replans,2.7733333333333334,0.0,150,1.192401021273607e-29,-6.601952300019871
EHCO,A*-GA,min_h,0.49951237488725025,0.4700596005864649,150,2.817779134020627e-25,-1.036526751571216
EHCO,noFLC,deg_pct,109.4317782565928,116.76768409513919,150,0.024501373506936996,0.1145585112270678
EHCO,noFLC,f1_event,675.5,697.6466666666666,150,0.027711933204839702,0.10389088474340628
EHCO,noFLC,n_replans,2.7733333333333334,2.7666666666666666,150,0.8272593465627114,-0.017760744813046944
EHCO,noFLC,min_h,0.49951237488725025,0.4973041703185271,150,0.6085298911587949,-0.09073070511999992
EHCO,moead-cl,deg_pct,109.4317782565928,92.24417221053572,150,0.0065291619774358505,-0.2612837018802782
EHCO,moead-cl,f1_event,675.5,618.0133333333333,150,0.005341816621650452,-0.26981122868311813
EHCO,moead-cl,n_replans,2.7733333333333334,2.78,150,0.7815112949987133,0.022575718705751948
EHCO,moead-cl,min_h,0.49951237488725025,0.5011898718672875,150,0.3290837704538008,0.06457081943410585
