beta,metric,mean,std,n
0.0005,deg_pct,8.986799236814498,19.23675473811354,150
0.0005,f1_event,366.00666666666666,62.364322172933825,150
0.0005,warn_t,347.23333333333335,154.10052574794864,150
0.0005,detected,1.0,0.0,150
0.0005,maint_enter,291.63157894736844,36.06557170355698,38
0.001,deg_pct,4.130828740025863,16.37802424631277,150
0.001,f1_event,349.64,54.04525570694925,150
0.001,warn_t,286.14666666666665,137.85744931303566,150
0.001,detected,1.0,0.0,150
0.001,maint_enter,240.3375,40.43746343883465,80
0.002,deg_pct,3.8860974629310414,16.425206210294267,150
0.002,f1_event,348.96666666666664,55.36437163494623,150
0.002,warn_t,254.65333333333334,135.3195069032764,150
0.002,detected,1.0,0.0,150
0.002,maint_enter,211.6551724137931,38.136178143596936,87
0.005,deg_pct,3.960723232564272,16.395126906050592,150
0.005,f1_event,349.2866666666667,55.550126908519054,150
0.005,warn_t,234.66666666666666,137.44659324816215,150
0.005,detected,1.0,0.0,150
0.005,maint_enter,172.44444444444446,35.58503381634422,90
