scenario,strategy,beta,seed,instance,t_inj,fault_type,f1_base,f1_event,deg_pct,timeout,response_ms,warn_t,lead_time,warn_agv,detected,false_pos,maint_enter,min_h,replan_applied
fault,EHCO,0.0005,1,0,200.0,thermal,316.0,411.0,30.063291139240505,0,,541.0,341.0,3,1,0,None,0.5998293388937701,0
fault,EHCO,0.0005,2,0,200.0,thermal,325.0,325.0,0.0,0,,546.0,346.0,5,1,0,None,0.5999400949042912,0
fault,EHCO,0.0005,3,0,200.0,thermal,307.0,324.0,5.537459283387622,0,,530.0,330.0,3,1,0,None,0.5997340685211063,0
fault,EHCO,0.0005,4,0,200.0,thermal,394.0,394.0,0.0,0,,545.0,345.0,7,1,0,None,0.5998772787490194,0
fault,EHCO,0.0005,5,0,200.0,thermal,334.0,334.0,0.0,0,,541.0,341.0,3,1,0,None,0.5998941934200943,0
fault,EHCO,0.0005,6,0,200.0,thermal,297.0,313.0,5.387205387205387,0,,551.0,351.0,3,1,0,None,0.5997758622614034,0
fault,EHCO,0.0005,7,0,200.0,thermal,355.0,355.0,0.0,0,,550.0,350.0,6,1,0,None,0.599773848123019,0
fault,EHCO,0.0005,8,0,200.0,thermal,350.0,350.0,0.0,0,,534.0,334.0,3,1,0,None,0.5997258514020335,0
fault,EHCO,0.0005,9,0,200.0,thermal,373.0,373.0,0.0,0,,550.0,350.0,3,1,0,None,0.599897850981432,0
fault,EHCO,0.0005,10,0,200.0,thermal,284.0,293.0,3.169014084507042,0,,543.0,343.0,3,1,0,None,0.599921708745868,0
fault,EHCO,0.0005,11,0,200.0,thermal,321.0,392.0,22.118380062305295,0,,540.0,340.0,3,1,0,None,0.5998414859835524,0
fault,EHCO,0.0005,12,0,200.0,thermal,313.0,313.0,0.0,0,,547.0,347.0,2,1,0,None,0.5999398126493225,0
fault,EHCO,0.0005,13,0,200.0,thermal,312.0,332.0,6.41025641025641,0,,541.0,341.0,3,1,0,None,0.5997574364207277,0
fault,EHCO,0.0005,14,0,200.0,thermal,280.0,280.0,0.0,0,,535.0,335.0,3,1,0,None,0.5999886969442139,0
fault,EHCO,0.0005,15,0,200.0,thermal,369.0,369.0,0.0,0,,538.0,338.0,3,1,0,None,0.5997669962691464,0
fault,EHCO,0.0005,16,0,200.0,thermal,300.0,300.0,0.0,0,,535.0,335.0,3,1,0,None,0.599848793181306,0
fault,EHCO,0.0005,17,0,200.0,thermal,391.0,391.0,0.0,0,,534.0,334.0,3,1,0,None,0.5997752276864105,0
fault,EHCO,0.0005,18,0,200.0,thermal,428.0,428.0,0.0,0,,546.0,346.0,0,1,0,None,0.5998789871153908,0
fault,EHCO,0.0005,19,0,200.0,thermal,308.0,308.0,0.0,0,,542.0,342.0,3,1,0,None,0.5998862682082905,0
fault,EHCO,0.0005,20,0,200.0,thermal,399.0,399.0,0.0,0,,546.0,346.0,3,1,0,None,0.5998672662749565,0
fault,EHCO,0.0005,21,0,200.0,thermal,337.0,337.0,0.0,0,,521.0,321.0,3,1,0,None,0.5998459842703048,0
fault,EHCO,0.0005,22,0,200.0,thermal,344.0,379.0,10.174418604651162,0,,550.0,350.0,3,1,0,None,0.5998786529259075,0
fault,EHCO,0.0005,23,0,200.0,thermal,357.0,357.0,0.0,0,,511.0,311.0,3,1,0,None,0.5997339907310315,0
fault,EHCO,0.0005,24,0,200.0,thermal,275.0,281.0,2.181818181818182,0,,530.0,330.0,3,1,0,None,0.5997303194091653,0
fault,EHCO,0.0005,25,0,200.0,thermal,356.0,356.0,0.0,0,,553.0,353.0,2,1,0,None,0.5998512672858081,0
fault,EHCO,0.0005,26,0,200.0,thermal,285.0,285.0,0.0,0,,550.0,350.0,3,1,0,None,0.5999306190989265,0
fault,EHCO,0.0005,27,0,200.0,thermal,473.0,473.0,0.0,0,,536.0,336.0,0,1,0,None,0.5998753905633369,0
fault,EHCO,0.0005,28,0,200.0,thermal,335.0,335.0,0.0,0,,534.0,334.0,3,1,0,None,0.599934284594589,0
fault,EHCO,0.0005,29,0,200.0,thermal,348.0,348.0,0.0,0,,545.0,345.0,3,1,0,None,0.5997351937587809,0
fault,EHCO,0.0005,30,0,200.0,thermal,302.0,302.0,0.0,0,,542.0,342.0,3,1,0,None,0.5997430772372485,0
fault,EHCO,0.0005,1,1,139.2060032799555,vibration,316.0,316.0,0.0,0,228.41340000013588,256.0,116.7939967200445,1,1,0,None,0.5167907837933678,1
fault,EHCO,0.0005,2,1,139.2060032799555,vibration,325.0,388.0,19.384615384615383,0,382.91109999772743,247.0,107.7939967200445,4,1,0,None,0.4353573039389615,1
fault,EHCO,0.0005,3,1,139.2060032799555,vibration,307.0,310.0,0.9771986970684038,0,224.5738000019628,267.0,127.7939967200445,5,1,0,None,0.5457611688897759,1
fault,EHCO,0.0005,4,1,139.2060032799555,vibration,394.0,326.0,-17.258883248730964,0,390.4895999985456,253.0,113.7939967200445,5,1,0,287.0,0.5180146858248142,1
fault,EHCO,0.0005,5,1,139.2060032799555,vibration,334.0,415.0,24.251497005988025,0,398.1954999981099,245.0,105.7939967200445,2,1,0,None,0.4151139745453056,1
fault,EHCO,0.0005,6,1,139.2060032799555,vibration,297.0,500.0,68.35016835016835,0,,255.0,115.7939967200445,1,1,0,None,0.3800728411519608,0
fault,EHCO,0.0005,7,1,139.2060032799555,vibration,355.0,370.0,4.225352112676056,0,239.6463999975822,254.0,114.7939967200445,7,1,0,None,0.45280969981299,1
fault,EHCO,0.0005,8,1,139.2060032799555,vibration,350.0,494.0,41.14285714285714,0,387.6606999983778,262.0,122.7939967200445,7,1,0,None,0.386373302117745,1
fault,EHCO,0.0005,9,1,139.2060032799555,vibration,373.0,334.0,-10.455764075067025,0,366.1917999997968,244.0,104.7939967200445,1,1,0,314.0,0.5037493723215386,1
fault,EHCO,0.0005,10,1,139.2060032799555,vibration,284.0,376.0,32.3943661971831,0,,260.0,120.7939967200445,5,1,0,None,0.45344192425312635,0
fault,EHCO,0.0005,11,1,139.2060032799555,vibration,321.0,419.0,30.529595015576323,0,406.8325000007462,261.0,121.7939967200445,6,1,0,375.0,0.47397741392720794,1
fault,EHCO,0.0005,12,1,139.2060032799555,vibration,313.0,369.0,17.89137380191693,0,243.49620000066352,250.0,110.7939967200445,2,1,0,None,0.45424810108158237,1
fault,EHCO,0.0005,13,1,139.2060032799555,vibration,312.0,363.0,16.346153846153847,0,367.8590000017721,256.0,116.7939967200445,7,1,0,None,0.46558265076425753,1
fault,EHCO,0.0005,14,1,139.2060032799555,vibration,280.0,387.0,38.21428571428571,0,,256.0,116.7939967200445,0,1,0,None,0.44049468391627156,0
fault,EHCO,0.0005,15,1,139.2060032799555,vibration,369.0,470.0,27.371273712737125,0,237.44100000112667,265.0,125.7939967200445,0,1,0,None,0.39741223846136503,1
fault,EHCO,0.0005,16,1,139.2060032799555,vibration,300.0,300.0,0.0,0,237.8614999979618,259.0,119.7939967200445,3,1,0,None,0.5382229613168676,1
fault,EHCO,0.0005,17,1,139.2060032799555,vibration,391.0,317.0,-18.925831202046037,0,366.9680999992124,261.0,121.7939967200445,3,1,0,310.0,0.5362792817087393,1
fault,EHCO,0.0005,18,1,139.2060032799555,vibration,428.0,382.0,-10.74766355140187,0,399.7643999973661,261.0,121.7939967200445,6,1,0,305.0,0.4823580393357216,1
fault,EHCO,0.0005,19,1,139.2060032799555,vibration,308.0,308.0,0.0,0,,254.0,114.7939967200445,6,1,0,None,0.5260232197923012,0
fault,EHCO,0.0005,20,1,139.2060032799555,vibration,399.0,343.0,-14.035087719298245,0,381.5680000006978,260.0,120.7939967200445,0,1,0,314.0,0.5180036263788599,1
fault,EHCO,0.0005,21,1,139.2060032799555,vibration,337.0,318.0,-5.637982195845697,0,235.97529999824474,262.0,122.7939967200445,1,1,0,308.0,0.5367977098330577,1
fault,EHCO,0.0005,22,1,139.2060032799555,vibration,344.0,322.0,-6.395348837209303,0,370.80210000203806,248.0,108.7939967200445,8,1,0,313.0,0.5171365619452022,1
fault,EHCO,0.0005,23,1,139.2060032799555,vibration,357.0,359.0,0.5602240896358543,0,376.3012000017625,260.0,120.7939967200445,9,1,0,351.0,0.48606170853661207,1
fault,EHCO,0.0005,24,1,139.2060032799555,vibration,275.0,354.0,28.72727272727273,0,,248.0,108.7939967200445,3,1,0,None,0.46671446634877684,0
fault,EHCO,0.0005,25,1,139.2060032799555,vibration,356.0,319.0,-10.393258426966293,0,380.0243999976374,259.0,119.7939967200445,3,1,0,None,0.5352366042133266,1
fault,EHCO,0.0005,26,1,139.2060032799555,vibration,285.0,329.0,15.43859649122807,0,234.6837000004598,258.0,118.7939967200445,8,1,0,298.0,0.5238505699185543,1
fault,EHCO,0.0005,27,1,139.2060032799555,vibration,473.0,362.0,-23.46723044397463,0,396.67130000088946,254.0,114.7939967200445,0,1,0,None,0.46366482587332186,1
fault,EHCO,0.0005,28,1,139.2060032799555,vibration,335.0,401.0,19.701492537313435,0,417.1437999975751,244.0,104.7939967200445,6,1,0,293.0,0.4347848572600754,1
fault,EHCO,0.0005,29,1,139.2060032799555,vibration,348.0,318.0,-8.620689655172415,0,237.14209999889135,254.0,114.7939967200445,1,1,0,None,0.5207085367153623,1
fault,EHCO,0.0005,30,1,139.2060032799555,vibration,302.0,302.0,0.0,0,,261.0,121.7939967200445,8,1,0,284.0,0.5462093055864199,0
fault,EHCO,0.0005,1,2,181.7052044143888,thermal,316.0,316.0,0.0,0,,512.0,330.2947955856112,8,1,0,None,0.5997857475412737,0
fault,EHCO,0.0005,2,2,181.7052044143888,thermal,325.0,325.0,0.0,0,,524.0,342.2947955856112,7,1,0,None,0.5998801316070961,0
fault,EHCO,0.0005,3,2,181.7052044143888,thermal,307.0,380.0,23.778501628664493,0,,517.0,335.2947955856112,0,1,0,None,0.5998799535606623,0
fault,EHCO,0.0005,4,2,181.7052044143888,thermal,394.0,394.0,0.0,0,,538.0,356.2947955856112,6,1,0,None,0.5997868256177016,0
fault,EHCO,0.0005,5,2,181.7052044143888,thermal,334.0,593.0,77.54491017964071,0,,512.0,330.2947955856112,2,1,0,None,0.581505805681025,0
fault,EHCO,0.0005,6,2,181.7052044143888,thermal,297.0,297.0,0.0,0,,519.0,337.2947955856112,8,1,0,None,0.5998675312283287,0
fault,EHCO,0.0005,7,2,181.7052044143888,thermal,355.0,355.0,0.0,0,,535.0,353.2947955856112,1,1,0,None,0.5999565800252864,0
fault,EHCO,0.0005,8,2,181.7052044143888,thermal,350.0,480.0,37.142857142857146,0,,527.0,345.2947955856112,6,1,0,None,0.5997533001278957,0
fault,EHCO,0.0005,9,2,181.7052044143888,thermal,373.0,373.0,0.0,0,,521.0,339.2947955856112,7,1,0,None,0.5999351029133588,0
fault,EHCO,0.0005,10,2,181.7052044143888,thermal,284.0,284.0,0.0,0,,529.0,347.2947955856112,7,1,0,None,0.5999088951947302,0
fault,EHCO,0.0005,11,2,181.7052044143888,thermal,321.0,456.0,42.05607476635514,0,,538.0,356.2947955856112,9,1,0,None,0.5999115832191978,0
fault,EHCO,0.0005,12,2,181.7052044143888,thermal,313.0,364.0,16.293929712460063,0,,533.0,351.2947955856112,5,1,0,None,0.5997704295818935,0
fault,EHCO,0.0005,13,2,181.7052044143888,thermal,312.0,380.0,21.794871794871796,0,,515.0,333.2947955856112,9,1,0,None,0.5998559853855886,0
fault,EHCO,0.0005,14,2,181.7052044143888,thermal,280.0,280.0,0.0,0,,530.0,348.2947955856112,3,1,0,None,0.5999632618500327,0
fault,EHCO,0.0005,15,2,181.7052044143888,thermal,369.0,369.0,0.0,0,,533.0,351.2947955856112,3,1,0,None,0.5997706344136737,0
fault,EHCO,0.0005,16,2,181.7052044143888,thermal,300.0,300.0,0.0,0,,527.0,345.2947955856112,2,1,0,None,0.5998587328337752,0
fault,EHCO,0.0005,17,2,181.7052044143888,thermal,391.0,391.0,0.0,0,,536.0,354.2947955856112,6,1,0,None,0.599910698602579,0
fault,EHCO,0.0005,18,2,181.7052044143888,thermal,428.0,428.0,0.0,0,,540.0,358.2947955856112,8,1,0,None,0.5999957747718071,0
fault,EHCO,0.0005,19,2,181.7052044143888,thermal,308.0,404.0,31.16883116883117,0,,521.0,339.2947955856112,7,1,0,None,0.5998872791576341,0
fault,EHCO,0.0005,20,2,181.7052044143888,thermal,399.0,452.0,13.283208020050125,0,,523.0,341.2947955856112,5,1,0,None,0.5998332695416441,0
fault,EHCO,0.0005,21,2,181.7052044143888,thermal,337.0,487.0,44.510385756676556,0,,528.0,346.2947955856112,8,1,0,None,0.5997289146106748,0
