scenario,seed,instance,f1_event_stdA,f1_event_EHCO,abs_diff,deg_diff
congestion,1,0,563.0,563.0,0.0,0.0
congestion,2,0,531.0,531.0,0.0,0.0
congestion,3,0,667.0,667.0,0.0,0.0
congestion,4,0,529.0,529.0,0.0,0.0
congestion,5,0,591.0,591.0,0.0,0.0
congestion,6,0,558.0,558.0,0.0,0.0
congestion,7,0,757.0,757.0,0.0,0.0
congestion,8,0,485.0,485.0,0.0,0.0
congestion,9,0,666.0,666.0,0.0,0.0
congestion,10,0,515.0,515.0,0.0,0.0
congestion,11,0,711.0,711.0,0.0,0.0
congestion,12,0,530.0,530.0,0.0,0.0
congestion,13,0,595.0,595.0,0.0,0.0
congestion,14,0,520.0,520.0,0.0,0.0
congestion,15,0,654.0,654.0,0.0,0.0
congestion,16,0,626.0,626.0,0.0,0.0
congestion,17,0,577.0,577.0,0.0,0.0
congestion,18,0,760.0,760.0,0.0,0.0
congestion,19,0,603.0,603.0,0.0,0.0
congestion,20,0,644.0,644.0,0.0,0.0
congestion,21,0,726.0,726.0,0.0,0.0
congestion,22,0,553.0,553.0,0.0,0.0
congestion,23,0,802.0,802.0,0.0,0.0
congestion,24,0,483.0,483.0,0.0,0.0
congestion,25,0,375.0,375.0,0.0,0.0
congestion,26,0,442.0,442.0,0.0,0.0
congestion,27,0,901.0,901.0,0.0,0.0
congestion,28,0,555.0,555.0,0.0,0.0
congestion,29,0,589.0,589.0,0.0,0.0
congestion,30,0,506.0,506.0,0.0,0.0
congestion,1,1,604.0,604.0,0.0,0.0
congestion,2,1,516.0,516.0,0.0,0.0
congestion,3,1,577.0,577.0,0.0,0.0
congestion,4,1,557.0,557.0,0.0,0.0
congestion,5,1,496.0,496.0,0.0,0.0
congestion,6,1,550.0,550.0,0.0,0.0
congestion,7,1,629.0,629.0,0.0,0.0
congestion,8,1,510.0,510.0,0.0,0.0
congestion,9,1,555.0,555.0,0.0,0.0
congestion,10,1,524.0,524.0,0.0,0.0
congestion,11,1,475.0,475.0,0.0,0.0
congestion,12,1,510.0,510.0,0.0,0.0
congestion,13,1,524.0,524.0,0.0,0.0
congestion,14,1,447.0,447.0,0.0,0.0
congestion,15,1,562.0,562.0,0.0,0.0
congestion,16,1,539.0,539.0,0.0,0.0
congestion,17,1,401.0,401.0,0.0,0.0
congestion,18,1,634.0,634.0,0.0,0.0
congestion,19,1,482.0,482.0,0.0,0.0
congestion,20,1,475.0,475.0,0.0,0.0
congestion,21,1,551.0,551.0,0.0,0.0
congestion,22,1,603.0,603.0,0.0,0.0
congestion,23,1,657.0,657.0,0.0,0.0
congestion,24,1,446.0,446.0,0.0,0.0
congestion,25,1,694.0,694.0,0.0,0.0
congestion,26,1,479.0,479.0,0.0,0.0
congestion,27,1,523.0,523.0,0.0,0.0
congestion,28,1,502.0,502.0,0.0,0.0
congestion,29,1,585.0,585.0,0.0,0.0
congestion,30,1,609.0,609.0,0.0,0.0
congestion,1,2,385.0,385.0,0.0,0.0
congestion,2,2,422.0,422.0,0.0,0.0
congestion,3,2,356.0,356.0,0.0,0.0
congestion,4,2,416.0,416.0,0.0,0.0
congestion,5,2,410.0,410.0,0.0,0.0
congestion,6,2,317.0,317.0,0.0,0.0
congestion,7,2,391.0,391.0,0.0,0.0
congestion,8,2,429.0,429.0,0.0,0.0
congestion,9,2,396.0,396.0,0.0,0.0
congestion,10,2,325.0,325.0,0.0,0.0
congestion,11,2,437.0,437.0,0.0,0.0
congestion,12,2,373.0,373.0,0.0,0.0
congestion,13,2,384.0,384.0,0.0,0.0
congestion,14,2,315.0,315.0,0.0,0.0
congestion,15,2,569.0,569.0,0.0,0.0
congestion,16,2,376.0,376.0,0.0,0.0
congestion,17,2,369.0,369.0,0.0,0.0
congestion,18,2,398.0,398.0,0.0,0.0
congestion,19,2,369.0,369.0,0.0,0.0
congestion,20,2,340.0,340.0,0.0,0.0
congestion,21,2,426.0,426.0,0.0,0.0
congestion,22,2,446.0,446.0,0.0,0.0
congestion,23,2,482.0,482.0,0.0,0.0
congestion,24,2,302.0,302.0,0.0,0.0
congestion,25,2,416.0,416.0,0.0,0.0
