scenario,strategy,seed,instance,f1_base,f1_event,deg_pct,warn_t,min_h,n_replans
congestion,stdA*,1,0,316.0,563.0,78.16455696202532,None,0.6661448197146138,1
congestion,stdA*,2,0,325.0,531.0,63.38461538461539,None,0.6744343219952916,1
congestion,stdA*,3,0,307.0,667.0,117.26384364820848,None,0.6675770056561794,1
congestion,stdA*,4,0,394.0,529.0,34.263959390862944,None,0.6790212922328284,1
congestion,stdA*,5,0,334.0,591.0,76.94610778443113,None,0.6621635413240358,1
congestion,stdA*,6,0,297.0,558.0,87.87878787878788,None,0.6580750974320898,1
congestion,stdA*,7,0,355.0,757.0,113.23943661971832,None,0.6681299997768415,1
congestion,stdA*,8,0,350.0,485.0,38.57142857142858,None,0.6564608911195424,1
congestion,stdA*,9,0,373.0,666.0,78.55227882037534,None,0.6690583325804687,1
congestion,stdA*,10,0,284.0,515.0,81.33802816901408,None,0.6590799043236996,1
congestion,stdA*,11,0,321.0,711.0,121.49532710280373,None,0.6589399922415929,1
congestion,stdA*,12,0,313.0,530.0,69.32907348242811,None,0.6552822494266362,1
congestion,stdA*,13,0,312.0,595.0,90.7051282051282,None,0.6482850203184357,1
congestion,stdA*,14,0,280.0,520.0,85.71428571428571,None,0.6713362214987582,1
congestion,stdA*,15,0,369.0,654.0,77.23577235772358,None,0.6589353925262891,1
congestion,stdA*,16,0,300.0,626.0,108.66666666666667,None,0.6515259345167616,1
congestion,stdA*,17,0,391.0,577.0,47.570332480818415,None,0.6746608937013495,1
congestion,stdA*,18,0,428.0,760.0,77.57009345794393,None,0.6523821703011562,1
congestion,stdA*,19,0,308.0,603.0,95.77922077922078,None,0.6631138840868503,1
congestion,stdA*,20,0,399.0,644.0,61.40350877192983,None,0.6750200882844323,1
congestion,stdA*,21,0,337.0,726.0,115.43026706231454,None,0.6713275309388589,1
congestion,stdA*,22,0,344.0,553.0,60.75581395348837,None,0.6672563485020254,1
congestion,stdA*,23,0,357.0,802.0,124.64985994397759,None,0.6645674828835707,1
congestion,stdA*,24,0,275.0,483.0,75.63636363636364,None,0.6580642139482316,1
congestion,stdA*,25,0,356.0,375.0,5.337078651685393,None,0.6835602754087489,1
congestion,stdA*,26,0,285.0,442.0,55.08771929824562,None,0.6894751626426349,1
