variant,seed,agv,soh,task_count,band
Full,1,0,0.9261,6,high
Full,1,1,0.8614,4,mid
Full,1,2,0.7989,5,low
Full,1,3,0.9365,5,high
Full,1,4,0.791,5,low
Full,1,5,0.836,5,mid
Full,1,6,0.7402,6,low
Full,1,7,0.8209,5,mid
Full,1,8,0.761,4,low
Full,1,9,0.7787,5,low
Full,2,0,0.8687,6,mid
Full,2,1,0.745,4,low
Full,2,2,0.8298,6,mid
Full,2,3,0.9008,4,high
Full,2,4,0.8268,6,mid
Full,2,5,0.89,4,mid
Full,2,6,0.9902,6,high
Full,2,7,0.9049,4,high
Full,2,8,0.8175,4,mid
Full,2,9,0.7562,6,low
Full,3,0,0.8174,5,mid
Full,3,1,0.855,5,mid
Full,3,2,0.8292,5,mid
Full,3,3,0.876,5,mid
Full,3,4,0.9214,5,high
Full,3,5,0.9869,5,high
Full,3,6,0.7853,5,low
Full,3,7,0.8946,5,mid
Full,3,8,0.9089,5,high
Full,3,9,0.7878,5,low
Full,4,0,0.9707,5,high
Full,4,1,0.8431,5,mid
Full,4,2,0.8291,5,mid
Full,4,3,0.9367,4,high
Full,4,4,0.9952,6,high
Full,4,5,0.8109,5,mid
Full,4,6,0.9907,4,high
Full,4,7,0.9787,5,high
Full,4,8,0.7533,6,low
Full,4,9,0.8827,5,mid
Full,5,0,0.8957,5,mid
Full,5,1,0.7704,3,low
Full,5,2,0.8305,6,mid
Full,5,3,0.9923,4,high
Full,5,4,0.9693,5,high
Full,5,5,0.9533,5,high
Full,5,6,0.8177,6,mid
Full,5,7,0.8479,5,mid
Full,5,8,0.903,6,high
Full,5,9,0.7182,5,low
Full,6,0,0.7155,5,low
Full,6,1,0.9551,5,high
Full,6,2,0.7027,5,low
Full,6,3,0.9936,5,high
Full,6,4,0.9481,4,high
Full,6,5,0.9356,5,high
Full,6,6,0.7144,6,low
Full,6,7,0.7622,4,low
Full,6,8,0.955,6,high
Full,6,9,0.8297,5,mid
Full,7,0,0.7909,4,low
Full,7,1,0.7835,5,low
Full,7,2,0.7765,6,low
Full,7,3,0.8335,5,mid
Full,7,4,0.8514,4,mid
Full,7,5,0.866,6,mid
Full,7,6,0.9987,5,high
Full,7,7,0.9378,4,high
Full,7,8,0.8867,6,mid
Full,7,9,0.9967,5,high
Full,8,0,0.7724,3,low
Full,8,1,0.7771,5,low
Full,8,2,0.7554,6,low
Full,8,3,0.7582,5,low
Full,8,4,0.9441,2,high
Full,8,5,0.8269,6,mid
Full,8,6,0.7768,6,low
Full,8,7,0.8773,7,mid
Full,8,8,0.8813,4,mid
Full,8,9,0.8941,6,mid
Full,9,0,0.8455,5,mid
Full,9,1,0.7195,5,low
Full,9,2,0.7017,4,low
Full,9,3,0.9492,4,high
Full,9,4,0.995,6,high
Full,9,5,0.9354,5,high
Full,9,6,0.7947,6,low
Full,9,7,0.9116,5,high
Full,9,8,0.7898,4,low
Full,9,9,0.9222,6,high
Full,10,0,0.9476,4,high
Full,10,1,0.8015,5,mid
Full,10,2,0.8727,5,mid
Full,10,3,0.926,7,high
Full,10,4,0.9481,5,high
Full,10,5,0.98,5,high
Full,10,6,0.7435,5,low
Full,10,7,0.9237,5,high
Full,10,8,0.7418,5,low
Full,10,9,0.972,4,high
Full,11,0,0.8107,4,mid
Full,11,1,0.8534,5,mid
Full,11,2,0.8989,4,mid
Full,11,3,0.7826,5,low
Full,11,4,0.7414,5,low
Full,11,5,0.9364,6,high
Full,11,6,0.9011,5,high
