algorithm,generation,mean,std,n
AW-NSGA-II,0,0.0,0.0,30
AW-NSGA-II,10,0.0,0.0,30
AW-NSGA-II,20,0.000301,0.001333,30
AW-NSGA-II,30,0.004612,0.013551,30
AW-NSGA-II,40,0.017577,0.027762,30
AW-NSGA-II,50,0.044259,0.056315,30
AW-NSGA-II,60,0.072817,0.072848,30
AW-NSGA-II,70,0.107393,0.089177,30
AW-NSGA-II,80,0.148225,0.108925,30
AW-NSGA-II,90,0.17912,0.120755,30
AW-NSGA-II,100,0.211678,0.125709,30
AW-NSGA-II,110,0.247532,0.133192,30
AW-NSGA-II,120,0.275958,0.129129,30
AW-NSGA-II,130,0.309254,0.135318,30
AW-NSGA-II,140,0.328895,0.140344,30
AW-NSGA-II,150,0.355855,0.138629,30
AW-NSGA-II,160,0.378212,0.140628,30
AW-NSGA-II,170,0.403538,0.137194,30
AW-NSGA-II,180,0.421526,0.137729,30
AW-NSGA-II,190,0.443706,0.1379,30
AW-NSGA-II,199,0.462635,0.142991,30
MOEA/D,0,0.0,0.0,30
MOEA/D,10,0.002494,0.006431,30
MOEA/D,20,0.047807,0.051617,30
MOEA/D,30,0.162632,0.098269,30
MOEA/D,40,0.260773,0.124551,30
MOEA/D,50,0.332641,0.135148,30
MOEA/D,60,0.394023,0.140193,30
MOEA/D,70,0.450834,0.144472,30
MOEA/D,80,0.501171,0.149965,30
MOEA/D,90,0.536394,0.147352,30
MOEA/D,100,0.586858,0.143493,30
MOEA/D,110,0.623513,0.137745,30
MOEA/D,120,0.656782,0.138049,30
MOEA/D,130,0.67878,0.142891,30
MOEA/D,140,0.703906,0.147078,30
MOEA/D,150,0.725278,0.154817,30
MOEA/D,160,0.739838,0.15673,30
MOEA/D,170,0.752311,0.155294,30
MOEA/D,180,0.770537,0.150392,30
MOEA/D,190,0.78241,0.1463,30
MOEA/D,199,0.789849,0.144654,30
NSGA-III,0,0.0,0.0,30
NSGA-III,10,0.0,0.0,30
NSGA-III,20,0.000417,0.001368,30
NSGA-III,30,0.007884,0.021228,30
NSGA-III,40,0.02282,0.032008,30
NSGA-III,50,0.056389,0.056024,30
NSGA-III,60,0.092458,0.070658,30
NSGA-III,70,0.132972,0.083172,30
NSGA-III,80,0.167938,0.090755,30
NSGA-III,90,0.207965,0.108841,30
NSGA-III,100,0.234361,0.102589,30
NSGA-III,110,0.26487,0.107144,30
NSGA-III,120,0.292214,0.109375,30
NSGA-III,130,0.317396,0.111308,30
NSGA-III,140,0.356219,0.121547,30
NSGA-III,150,0.375409,0.127855,30
NSGA-III,160,0.398688,0.132963,30
NSGA-III,170,0.427817,0.132404,30
NSGA-III,180,0.447287,0.136645,30
NSGA-III,190,0.468452,0.1393,30
NSGA-III,199,0.484596,0.140043,30
