arm,lam,metric,mean,std,n
full,0.0,delta_h_mean,-0.0458677960379301,0.054332675715976386,30
full,0.0,delta_h_max,0.21665126845265936,0.05191066448275416,30
full,0.0,gini_delta_h,0.41210247859335636,0.07053428910702973,30
full,0.0,delta_h_low_mean,-0.2140298504739053,0.07754006641559005,30
full,0.0,delta_h_high_mean,0.12229425839804511,0.04752118757256119,30
full,0.0,h_end_min_lowgrp,0.45421248252084784,0.18342085083425338,30
hard,0.0,delta_h_mean,0.07301106106825786,0.020240112166033025,30
hard,0.0,delta_h_max,0.23873871204198419,0.04231867732927076,30
hard,0.0,gini_delta_h,0.6414897178035337,0.04321327031969078,30
hard,0.0,delta_h_low_mean,0.0,0.0,30
hard,0.0,delta_h_high_mean,0.14602212213651572,0.04048022433206605,30
hard,0.0,h_end_min_lowgrp,0.34747163153753285,0.04339137955179927,30
nohealth,0.0,delta_h_mean,-0.1111883626859053,0.026205837420785204,30
nohealth,0.0,delta_h_max,0.17956152180950777,0.04593081583697621,30
nohealth,0.0,gini_delta_h,0.34558350633690343,0.06927018058818721,30
nohealth,0.0,delta_h_low_mean,-0.3113718446424655,0.03640889520109706,30
nohealth,0.0,delta_h_high_mean,0.08899511927065487,0.043207741522945736,30
nohealth,0.0,h_end_min_lowgrp,0.7397405800339844,0.011855393972617896,30
full,1.0,delta_h_mean,-0.041361274153970284,0.05269044988640699,30
full,1.0,delta_h_max,0.2179264840748342,0.05099025826509249,30
full,1.0,gini_delta_h,0.406881493865863,0.06986968283733898,30
full,1.0,delta_h_low_mean,-0.20856439739205826,0.0748973243934886,30
full,1.0,delta_h_high_mean,0.12584184908411766,0.04666521884050203,30
full,1.0,h_end_min_lowgrp,0.4513214162774174,0.178591963103631,30
hard,1.0,delta_h_mean,0.07499273288505696,0.01967739347560956,30
hard,1.0,delta_h_max,0.24016863937879027,0.04121213776127922,30
hard,1.0,gini_delta_h,0.6344987009651049,0.04191205241616137,30
hard,1.0,delta_h_low_mean,0.0,0.0,30
hard,1.0,delta_h_high_mean,0.14998546577011393,0.03935478695121912,30
hard,1.0,h_end_min_lowgrp,0.34747163153753285,0.04339137955179927,30
nohealth,1.0,delta_h_mean,-0.10379824910707294,0.025649063976397858,30
nohealth,1.0,delta_h_max,0.18082291772902667,0.04510271155242221,30
nohealth,1.0,gini_delta_h,0.3392403158295597,0.069686823533151,30
nohealth,1.0,delta_h_low_mean,-0.29963754346474125,0.03589048637768964,30
nohealth,1.0,delta_h_high_mean,0.09204104525059532,0.04242582007575447,30
nohealth,1.0,h_end_min_lowgrp,0.7264941498154175,0.01221136784139305,30
full,2.0,delta_h_mean,-0.03685475227001052,0.05106660787894117,30
full,2.0,delta_h_max,0.21920169969700923,0.05007402898764289,30
full,2.0,gini_delta_h,0.4014489250442892,0.06965777025783632,30
full,2.0,delta_h_low_mean,-0.20309894431021125,0.07232964311420184,30
full,2.0,delta_h_high_mean,0.12938943977019018,0.04581433594414285,30
full,2.0,h_end_min_lowgrp,0.44840924648588504,0.1737593914013103,30
hard,2.0,delta_h_mean,0.07697440470185606,0.01911522777095272,30
hard,2.0,delta_h_max,0.24159856671559646,0.04010924125653775,30
hard,2.0,gini_delta_h,0.6275055498519093,0.040192033614811655,30
hard,2.0,delta_h_low_mean,0.0,0.0,30
hard,2.0,delta_h_high_mean,0.1539488094037121,0.03823045554190544,30
hard,2.0,h_end_min_lowgrp,0.34747163153753285,0.04339137955179927,30
nohealth,2.0,delta_h_mean,-0.0964081355282406,0.02509758562709405,30
nohealth,2.0,delta_h_max,0.18208431364854577,0.044284224691545325,30
nohealth,2.0,gini_delta_h,0.33302989934983024,0.07008792099227638,30
nohealth,2.0,delta_h_low_mean,-0.28790324228701697,0.035387425038041646,30
nohealth,2.0,delta_h_high_mean,0.09508697123053578,0.04164777348589963,30
nohealth,2.0,h_end_min_lowgrp,0.7129661441622084,0.012906712666788393,30
