arm,lam,seed,delta_h_mean,delta_h_max,gini_delta_h,delta_h_low_mean,delta_h_high_mean,h_end_min_lowgrp,share_low
full,0.0,1,-0.1355769449412771,0.141020626644065,0.4569156808940038,-0.30170165362032236,0.030547763737768196,0.7452476019220486,0.48
hard,0.0,1,0.044087540463962446,0.18849426985825357,0.6426461120290317,0.0,0.08817508092792489,0.35233843751553295,0.0
nohealth,0.0,1,-0.13390296789781167,0.151712306246776,0.4657272976061515,-0.30448729531096136,0.03668135951533802,0.7501798980726988,0.5
full,0.0,2,-0.13781428074258856,0.184929168428269,0.33172269076478944,-0.36640751440316827,0.09077895291799117,0.7513166130942707,0.5
hard,0.0,2,0.06832056278344792,0.22851583777842388,0.632015175021583,0.0,0.13664112556689584,0.31682425077358367,0.0
nohealth,0.0,2,-0.1370014718863803,0.15400384210189855,0.3456659255581571,-0.35229835847385593,0.07829541470109543,0.7493617835816818,0.52
full,0.0,3,0.0021948621446196137,0.22728118287450683,0.3931161940121577,-0.15473362222689585,0.15912334651613508,0.3213078229153842,0.18
hard,0.0,3,0.0867917690850248,0.2514654302555809,0.6003116728199056,0.0,0.1735835381700496,0.3213078229153842,0.0
nohealth,0.0,3,-0.10993322431809038,0.2280559989731662,0.30667143027908295,-0.35483656304094274,0.13497011440476195,0.7541113467126156,0.44
full,0.0,4,-0.05033287841433474,0.2558351583109242,0.370760696454008,-0.26033696403189677,0.15967120720322728,0.36807036336773774,0.24
hard,0.0,4,0.09077383967257086,0.2604288339103431,0.5857987933527835,0.0,0.1815476793451417,0.32987043548338324,0.0
nohealth,0.0,4,-0.10307546559199914,0.2211927599952127,0.30668177574722333,-0.3505763289334439,0.14442539774944566,0.7584948416368981,0.46
full,0.0,5,0.03732547405439908,0.25436580823045796,0.5031485324639964,-0.06984450204545087,0.14449545015424903,0.3278889415819196,0.22
hard,0.0,5,0.08194431459090432,0.28928024890016546,0.6578622747869516,0.0,0.16388862918180863,0.3278889415819196,0.0
nohealth,0.0,5,-0.08674298002816175,0.19914235235764888,0.35114640166147204,-0.28861776795653976,0.11513180790021627,0.7138863539098453,0.48
full,0.0,6,-0.15254428539431325,0.07002707412507647,0.49591160664319167,-0.3322404365149761,0.027151865726349533,0.7542764289995524,0.48
hard,0.0,6,0.03516597650460943,0.14366790747874236,0.6793801349136352,0.0,0.07033195300921886,0.32863531176746946,0.0
nohealth,0.0,6,-0.15661557057219871,0.08766893227649686,0.47665776263236803,-0.3307538888511661,0.01752274770676867,0.737699703478487,0.48
full,0.0,7,0.01583735530594771,0.2926028011835272,0.29549328409542386,-0.22728964023377712,0.25896435084567254,0.3601785217252042,0.14
hard,0.0,7,0.13596866966507198,0.2973997694427686,0.524102020805546,0.0,0.27193733933014397,0.30940883840000394,0.0
nohealth,0.0,7,-0.0751092348236864,0.2431757026371305,0.17037164345884648,-0.366307039089997,0.21608856944262422,0.7295991266801546,0.52
full,0.0,8,-0.03139195839946374,0.20666492571325445,0.4813371352291551,-0.14668510148090377,0.0839011846819763,0.32032786237925137,0.26
hard,0.0,8,0.05064202513305065,0.22790339958080696,0.690952833980625,0.0,0.1012840502661013,0.32032786237925137,0.0
nohealth,0.0,8,-0.12179449869548373,0.16858045641274422,0.4727610729096321,-0.28712857163410177,0.04353957424313439,0.7406196701887712,0.54
full,0.0,9,-0.03371909675182885,0.19597818198247652,0.49395648511527135,-0.15633607804202168,0.08889788453836397,0.37073366093323484,0.18
hard,0.0,9,0.051469119452565826,0.19611238219002447,0.6682358329421492,0.0,0.10293823890513165,0.37073366093323484,0.0
nohealth,0.0,9,-0.11779748130711001,0.14231746790342514,0.3679185288837563,-0.287791408586435,0.052196445972214976,0.7404239126935387,0.48
full,0.0,10,-0.0286974975402478,0.23724305483378372,0.31213587597712666,-0.22673217825542577,0.16933718317493016,0.3390643909447751,0.22
hard,0.0,10,0.0918415029226007,0.25711000587237764,0.5883241794164094,0.0,0.1836830058452014,0.3390643909447751,0.0
nohealth,0.0,10,-0.09556702871092618,0.15233421291318583,0.3184005079892529,-0.302065524060972,0.11093146663911964,0.7373187714461974,0.52
full,0.0,11,-0.08391612150459891,0.24976286112656843,0.3187244383907897,-0.27945528331612834,0.11162304030693053,0.718383135437231,0.2
hard,0.0,11,0.0631887181669415,0.28301735120572014,0.7163765674664015,0.0,0.126377436333883,0.45073443288627635,0.0
nohealth,0.0,11,-0.09365522609056123,0.19885016368668396,0.30587930139886454,-0.24405272415363624,0.05674227197251376,0.7287346697168445,0.56
full,0.0,12,-0.048865849932572834,0.23842862777288476,0.48349131436694814,-0.20736846339399082,0.10963676352884517,0.3130542734150614,0.14
hard,0.0,12,0.06383524918221761,0.24486293145194304,0.6842159836919193,0.0,0.12767049836443523,0.3130542734150614,0.0
nohealth,0.0,12,-0.12699160601945955,0.1993484841193912,0.35858238787620755,-0.325857779314905,0.07187456727598587,0.7435503385786425,0.52
full,0.0,13,0.06884137760940595,0.27777285794697026,0.43225078258600713,-0.07496881326686163,0.21265156848567351,0.40337630160904503,0.22
hard,0.0,13,0.11303760372495461,0.2891260086158599,0.5890971887039673,0.0,0.22607520744990922,0.40337630160904503,0.0
nohealth,0.0,13,-0.04515044821743772,0.251091874437784,0.21116897015142655,-0.2690579259983742,0.17875702956349873,0.7514109877286134,0.44
full,0.0,14,-0.04725734270176511,0.16633180524639113,0.4873095779735541,-0.2061236078334983,0.11160892242996807,0.3184417814980253,0.14
hard,0.0,14,0.06319345159815085,0.1770775735853405,0.5757896501739308,0.0,0.1263869031963017,0.30680354550185696,0.0
nohealth,0.0,14,-0.16014215359445774,0.11909522650285809,0.42237442207871734,-0.3820055728857242,0.06172126569680867,0.7395571535276861,0.52
full,0.0,15,-0.1345922329873444,0.19768523334879495,0.3276235048251972,-0.35780005999107994,0.08861559401639119,0.766173727540101,0.48
hard,0.0,15,0.06835154492447773,0.24441499669490052,0.6906888622890772,0.0,0.13670308984895546,0.35453568606737923,0.0
nohealth,0.0,15,-0.13902038162846203,0.17643522635346331,0.33741077594827606,-0.33720172042807056,0.059160957171146486,0.7286193990084314,0.56
full,0.0,16,-0.027940853409711024,0.18294715846147336,0.4597539575386551,-0.1705574911089157,0.11467578428949363,0.306164891857608,0.28
hard,0.0,16,0.0693567442107003,0.20268152158660568,0.6407092759461623,0.0,0.1387134884214006,0.306164891857608,0.0
nohealth,0.0,16,-0.1237984262496696,0.17646359031089043,0.34362940633337735,-0.3321432289003917,0.0845463764010526,0.7297161314371886,0.54
full,0.0,17,-0.03596483441945157,0.2371812323838448,0.4953603601233507,-0.19103977994283397,0.11911011110393084,0.4148661270249999,0.24
hard,0.0,17,0.07012555009039453,0.25872710587737713,0.673277785027742,0.0,0.14025110018078907,0.4148661270249999,0.0
nohealth,0.0,17,-0.11090515939290399,0.2376871980571843,0.3023543461171163,-0.2945720661847372,0.07276174739892922,0.7262567207032761,0.52
full,0.0,18,-0.001622050017867116,0.20814397506591908,0.2953938267405294,-0.16608655786118437,0.16284245782545012,0.4558863766453769,0.24
hard,0.0,18,0.08835527606720102,0.2439067781488653,0.596710110681347,0.0,0.17671055213440204,0.42521318803445496,0.0
nohealth,0.0,18,-0.05895999783389905,0.1695819516895387,0.24075109236380654,-0.2385759434057612,0.12065594773796309,0.7453452989471389,0.58
full,0.0,19,-0.03353303677462049,0.24669754614806316,0.42518797248118867,-0.21493033161905584,0.14786425806981487,0.3029397554043654,0.18
hard,0.0,19,0.08120406278813537,0.26454541481074745,0.6286572930971905,0.0,0.16240812557627074,0.3029397554043654,0.0
nohealth,0.0,19,-0.12283303274769211,0.18118454729737987,0.3033226511805258,-0.36703950519283624,0.12137343969745196,0.7668495093831128,0.42
