lam,metric,vs_arm,mean_full,mean_ref,p
0.0,delta_h_low_mean,nohealth,-0.2140298504739053,-0.3113718446424655,6.917864084243774e-06
0.0,gini_delta_h,nohealth,0.41210247859335636,0.34558350633690343,2.6885420083999634e-05
0.0,delta_h_mean,nohealth,-0.0458677960379301,-0.1111883626859053,1.862645149230957e-08
0.0,delta_h_low_mean,hard,-0.2140298504739053,0.0,1.862645149230957e-09
0.0,gini_delta_h,hard,0.41210247859335636,0.6414897178035337,1.862645149230957e-09
0.0,delta_h_mean,hard,-0.0458677960379301,0.07301106106825786,1.862645149230957e-09
1.0,delta_h_low_mean,nohealth,-0.20856439739205826,-0.29963754346474125,6.917864084243774e-06
1.0,gini_delta_h,nohealth,0.406881493865863,0.3392403158295597,3.453157842159271e-05
1.0,delta_h_mean,nohealth,-0.041361274153970284,-0.10379824910707294,1.862645149230957e-08
1.0,delta_h_low_mean,hard,-0.20856439739205826,0.0,1.862645149230957e-09
1.0,gini_delta_h,hard,0.406881493865863,0.6344987009651049,1.862645149230957e-09
1.0,delta_h_mean,hard,-0.041361274153970284,0.07499273288505696,1.862645149230957e-09
2.0,delta_h_low_mean,nohealth,-0.20309894431021125,-0.28790324228701697,6.917864084243774e-06
2.0,gini_delta_h,nohealth,0.4014489250442892,0.33302989934983024,7.056817412376404e-05
2.0,delta_h_mean,nohealth,-0.03685475227001052,-0.0964081355282406,1.862645149230957e-08
2.0,delta_h_low_mean,hard,-0.20309894431021125,0.0,1.862645149230957e-09
2.0,gini_delta_h,hard,0.4014489250442892,0.6275055498519093,1.862645149230957e-09
2.0,delta_h_mean,hard,-0.03685475227001052,0.07697440470185606,1.862645149230957e-09
