variant,seed,f1,f2,f4,gini_delta_h,delta_h_mean,evals
Full,1,340.6666666666667,3233.2849516657557,106.55799065506874,0.30750898705348373,-0.1663653977529829,20000
-health,1,337.3333333333333,2341.728842921932,0.0,0.2625167445185934,-0.1691372179711115,20000
hard-only,1,346.66666666666663,2970.92683479931,110.82570341106674,0.2609699101518994,-0.17045437202294578,20000
-adaptW,1,704.6666666666667,5559.474414522853,19.607861804631114,0.4685908760997708,-0.09099223751279148,20000
GA-SA-multiSoH,1,313.3333333333333,3092.8193878999505,107.75309964069825,0.2900722715395301,-0.16762113387377903,20000
MOEA/D,1,362.66666666666663,3438.513515219267,79.79011873664524,0.300172154393602,-0.1641318799700521,20000
Full,2,661.3333333333334,4638.260823218956,1.7789538654570054,0.5243852378065139,-0.027570076375724152,20000
-health,2,301.66666666666663,2043.6866794190228,0.0,0.4444390493264663,-0.10881351338339958,20000
hard-only,2,404.6666666666667,3182.381721546711,39.24219084478777,0.44400924888299365,-0.09750748884907012,20000
-adaptW,2,442.3333333333333,4032.151911795946,3.3094172241669466,0.5419254887027893,-0.02687534034097583,20000
GA-SA-multiSoH,2,376.3333333333333,3010.049191093345,42.34540895556133,0.4793932163998751,-0.10928421022653682,20000
MOEA/D,2,306.33333333333337,2684.549300323373,47.38570712917573,0.4534578006025334,-0.10941341455452802,20000
Full,3,499.33333333333337,3806.988889221388,1.8733857768009543,0.5347622790079951,-0.012885990091128518,20000
-health,3,315.66666666666663,2052.3219438525243,0.0,0.3883528720305427,-0.07623231546316006,20000
hard-only,3,315.66666666666663,2676.556026547284,37.33789621052796,0.3883528720305427,-0.07623231546316006,20000
-adaptW,3,319.3333333333333,2855.5419700182388,34.605559159945756,0.4108502128580984,-0.07338825794126128,20000
GA-SA-multiSoH,3,325.6666666666667,2827.634218193656,21.776970861560322,0.41281237252975345,-0.07461503200707001,20000
MOEA/D,3,311.0,2533.836866347787,33.62268612789489,0.4320711935906696,-0.07546047840096459,20000
Full,4,506.3333333333334,3945.307130590085,0.0,0.39738943499653234,0.06960258524833324,20000
-health,4,388.0,2337.6755039600016,0.0,0.24594480723970613,-0.004097344921294382,20000
hard-only,4,355.3333333333333,2787.097956823597,40.56655452987146,0.2600108300663191,-0.0037052949097504837,20000
-adaptW,4,460.6666666666667,3788.665454353638,0.0,0.41338662657908265,0.06932764015463569,20000
GA-SA-multiSoH,4,332.00000000000006,3103.7278615795567,9.434561618860949,0.24232601748902494,0.014842198148035373,20000
MOEA/D,4,309.6666666666667,2419.1353989628033,27.70423732698492,0.26202884534390614,-0.004117200437275742,20000
Full,5,577.0,4281.2591661090955,3.3333701038112746,0.4034035446441959,0.01781695877305941,20000
-health,5,368.0,2241.3517889450013,0.0,0.36918212494004155,-0.05816120998597758,20000
hard-only,5,376.0,2953.9853107669596,89.70456885353059,0.34289347640967516,-0.060803750404695614,20000
-adaptW,5,550.0,4384.677721719054,0.6962102115555194,0.47047400066686196,0.023606517881614775,20000
GA-SA-multiSoH,5,310.33333333333337,2883.494356936749,48.49592063590111,0.4107853170755691,-0.05996860494173302,20000
MOEA/D,5,335.6666666666667,2893.593421115815,45.50702410539748,0.3813253059535635,-0.06001225359206182,20000
Full,6,676.3333333333334,4388.667658972635,45.98848059752031,0.25142026768873094,-0.08527690178660122,20000
-health,6,303.0,2135.290888344352,0.0,0.31562324929363506,-0.11155306053687267,20000
hard-only,6,295.6666666666667,2837.9356358946047,174.201159405686,0.3185052120090579,-0.11102217046845628,20000
-adaptW,6,566.0,4612.4701806972125,26.85731121786924,0.27047332298456306,-0.07876891827511572,20000
GA-SA-multiSoH,6,312.66666666666663,2738.5674257033425,133.53404354792065,0.30547524384061364,-0.11078101756404642,20000
MOEA/D,6,359.3333333333333,2885.7778340459126,108.71503247632313,0.29722994427798133,-0.11309486023757118,20000
Full,7,387.0,3454.1390063645686,17.702146306224567,0.346747859777385,-0.052143724746994066,20000
-health,7,345.3333333333333,2265.5056659041597,0.0,0.2932105559987903,-0.06021976857142568,20000
hard-only,7,308.6666666666667,2682.056372983895,60.84485647360011,0.25375303619632406,-0.06027176785561862,20000
-adaptW,7,305.66666666666663,2867.986970704189,57.94089915637537,0.2950979551899924,-0.05707082719181278,20000
GA-SA-multiSoH,7,365.0,2971.6007712004766,33.39025062252931,0.35194800032488893,-0.06494919144898305,20000
MOEA/D,7,301.33333333333337,2543.278110215193,42.81170213637809,0.31222401751522044,-0.06074702032955217,20000
Full,8,543.0,4480.5706199129,34.6979390017051,0.5018982812156167,-0.1428346370344537,20000
-health,8,314.0,2158.8969582130408,0.0,0.3889802012201522,-0.16443423932914947,20000
hard-only,8,302.3333333333333,3110.7190597835665,134.55588752098168,0.3785664544693188,-0.16206545450098298,20000
-adaptW,8,810.6666666666667,5640.436570285145,22.79894978589619,0.5629510246132936,-0.10074506383017257,20000
GA-SA-multiSoH,8,308.0,3024.081905817928,114.2349076019868,0.40178742073012086,-0.16429131153118695,20000
MOEA/D,8,358.0,2821.877521483291,116.97031954082723,0.3991113703047162,-0.16485702808483002,20000
Full,9,541.3333333333334,4583.749439694428,5.518589980166121,0.42811156684462826,0.0006456227823098959,20000
-health,9,360.0,2331.628117774544,0.0,0.38659947667838246,-0.09990610946068158,20000
hard-only,9,419.0,2892.8248919717366,136.22071724749273,0.43667147128174744,-0.10289245325257693,20000
-adaptW,9,682.3333333333334,4954.505652068934,18.14726925364487,0.2956209922537567,-0.05909797627864279,20000
GA-SA-multiSoH,9,305.0,2931.2942404552464,100.42078696811598,0.3668475067831356,-0.09728225438790353,20000
MOEA/D,9,435.0,3100.7675272535653,71.28548978598742,0.3616417451355971,-0.10463133160055564,20000
Full,10,566.3333333333333,4118.559723085799,0.8506203083777495,0.3327543764663572,0.022595465725154418,20000
-health,10,299.6666666666667,1947.3676093310578,0.0,0.3688448863816016,-0.04522807858946566,20000
hard-only,10,359.6666666666667,2627.86575979895,97.62206303819465,0.4381847571629034,-0.047662726567102055,20000
-adaptW,10,484.99999999999994,3453.2069409537207,2.9516331259285176,0.45606119492695485,0.048467567120209054,20000
GA-SA-multiSoH,10,282.33333333333337,2712.9333984875943,35.172962006892746,0.349301740217864,-0.028038108936289406,20000
MOEA/D,10,269.0,2345.9066822914438,47.82029789134245,0.37931912962627257,-0.04246104363348141,20000
Full,11,546.3333333333334,4491.442274104513,1.1622414804781025,0.5258334622810938,-0.006151990821429354,20000
-health,11,349.3333333333333,2216.401942126867,0.0,0.45712330478425445,-0.09067937451346653,20000
hard-only,11,385.6666666666667,2820.085792655282,69.26947436928518,0.42529385804618136,-0.09333595439814282,20000
-adaptW,11,490.00000000000006,4008.631534638237,3.1432201164625533,0.40486376068114893,-0.033906439299639934,20000
GA-SA-multiSoH,11,320.0,2875.984216759366,46.13988117309951,0.4455943574836527,-0.0909953150877319,20000
MOEA/D,11,331.0,2681.0562725583413,38.52821400544799,0.4758189675682316,-0.09213467607494327,20000
Full,12,778.0000000000001,5359.863510344815,40.53602958745516,0.45121914971289234,-0.10902749073995892,20000
-health,12,361.33333333333337,2352.736352925654,0.0,0.26526270340093694,-0.20785871356245345,20000
hard-only,12,369.0,3396.1205585757966,193.80180719635013,0.30187059046285003,-0.21031924364878335,20000
-adaptW,12,799.3333333333334,5582.9597145314965,28.85408802793659,0.38652141214479907,-0.15599563102775948,20000
GA-SA-multiSoH,12,310.6666666666667,3114.0502315000563,156.59351913667663,0.29099608922060227,-0.20359103919628393,20000
MOEA/D,12,382.0,3000.721626652408,138.27054708619903,0.3078735482334096,-0.2077981120056597,20000
Full,13,378.6666666666667,3452.429842591002,31.520314472104253,0.3530537230564046,-0.13067952448023218,20000
-health,13,400.6666666666667,2031.0199533528407,0.0,0.28597290911841866,-0.13029271351958566,20000
