variant,seed,lam,f1,f2,delta_h_mean,delta_h_max,gini_delta_h,h_end_min,h_end_mean
Full,1,0.0,340.6666666666667,3233.2849516657557,-0.1663653977529829,0.09549201037110988,0.30750898705348373,0.7334831176081821,0.7582256955314147
Full,1,1.0,340.6666666666667,3233.2849516657557,-0.1573811804797421,0.0988362556671184,0.307547350860218,0.7230363147765645,0.749241478258174
Full,1,2.0,340.6666666666667,3233.2849516657557,-0.14839696320650128,0.1021805009631257,0.3081822331419699,0.7125895119449472,0.7402572609849332
-health,1,0.0,337.3333333333333,2341.728842921932,-0.1691372179711115,0.10391331741058318,0.2625167445185934,0.7235458586617814,0.7609975157495434
-health,1,1.0,337.3333333333333,2341.728842921932,-0.16043487582882499,0.1083983636967708,0.26049543208455805,0.7190608123755938,0.752295173607257
-health,1,2.0,337.3333333333333,2341.728842921932,-0.15173253368653877,0.1128834099829581,0.2583266671249689,0.708505451477612,0.7435928314649707
hard-only,1,0.0,346.66666666666663,2970.92683479931,-0.17045437202294578,0.12461562875770837,0.2609699101518994,0.7272844636421746,0.7623146698013777
hard-only,1,1.0,346.66666666666663,2970.92683479931,-0.16178517462788045,0.12841696929984436,0.2574819964779749,0.7234831231000386,0.7536454724063123
hard-only,1,2.0,346.66666666666663,2970.92683479931,-0.1531159772328153,0.1322183098419799,0.2546970607763108,0.719681782557903,0.7449762750112472
Full,2,0.0,661.3333333333334,4638.260823218956,-0.027570076375724152,0.17778205734056152,0.5243852378065139,0.40504358431373527,0.684542304968616
Full,2,1.0,661.3333333333334,4638.260823218956,-0.02295030586596981,0.17819483699612937,0.5120487735817967,0.40504358431373527,0.6799225344588617
Full,2,2.0,661.3333333333334,4638.260823218956,-0.01833053535621527,0.178607616651698,0.5028584263935074,0.40504358431373527,0.6753027639491072
-health,2,0.0,301.66666666666663,2043.6866794190228,-0.10881351338339958,0.1907536424668257,0.4444390493264663,0.7464749348450712,0.7657857419762915
-health,2,1.0,301.66666666666663,2043.6866794190228,-0.10130983297516791,0.1911955004628526,0.45165791486111573,0.7347075256878468,0.7582820615680598
-health,2,2.0,301.66666666666663,2043.6866794190228,-0.093806152566936,0.19163735845887975,0.4549791478217915,0.721465490909353,0.7507783811598279
hard-only,2,0.0,404.6666666666667,3182.381721546711,-0.09750748884907012,0.1621999810840955,0.44400924888299365,0.6625587377332703,0.754479717441962
hard-only,2,1.0,404.6666666666667,3182.381721546711,-0.0912150653516742,0.16257253933119742,0.43631159176740075,0.6611253433408166,0.7481872939445662
hard-only,2,2.0,404.6666666666667,3182.381721546711,-0.0849226418542784,0.16294509757830022,0.4281581858526622,0.6596919489483636,0.7418948704471703
Full,3,0.0,499.33333333333337,3806.988889221388,-0.012885990091128518,0.2303424844717642,0.5347622790079951,0.49894081462415396,0.7007689487437487
Full,3,1.0,499.33333333333337,3806.988889221388,-0.008232256382302072,0.23109998669631582,0.5336703540038024,0.49894081462415396,0.6961152150349224
Full,3,2.0,499.33333333333337,3806.988889221388,-0.003578522673475437,0.23185748892086833,0.5337619808272567,0.49894081462415396,0.6914614813260959
-health,3,0.0,315.66666666666663,2052.3219438525243,-0.07623231546316006,0.15909225496278423,0.3883528720305427,0.7369486116757695,0.7641152741157804
-health,3,1.0,315.66666666666663,2052.3219438525243,-0.06954953891402317,0.15960886203792013,0.3801743255923191,0.7317383962833675,0.7574324975666434
-health,3,2.0,315.66666666666663,2052.3219438525243,-0.06286676236488672,0.16012546911305614,0.37258601116459844,0.7265281808909665,0.7507497210175071
hard-only,3,0.0,315.66666666666663,2676.556026547284,-0.07623231546316006,0.15909225496278423,0.3883528720305427,0.7369486116757695,0.7641152741157804
hard-only,3,1.0,315.66666666666663,2676.556026547284,-0.06954953891402317,0.15960886203792013,0.3801743255923191,0.7317383962833675,0.7574324975666434
hard-only,3,2.0,315.66666666666663,2676.556026547284,-0.06286676236488672,0.16012546911305614,0.37258601116459844,0.7265281808909665,0.7507497210175071
Full,4,0.0,506.3333333333334,3945.307130590085,0.06960258524833324,0.2507269175040805,0.39738943499653234,0.42438481003338674,0.6950009843287136
Full,4,1.0,506.3333333333334,3945.307130590085,0.07260697913301105,0.25129542170758723,0.4055352338248115,0.42438481003338674,0.6919965904440358
