config,arm,seed,f1,f2_full,share_low,gini_delta_h,delta_h_low_mean,delta_h_max,h_end_min_lowgrp
W1,full,1,335.00000000000006,3141.0771933578453,0.48,0.4569156808940038,-0.30170165362032236,0.141020626644065,0.7452476019220486
W1,hard,1,565.3333333333334,5773.666716477826,0.0,0.6426461120290317,0.0,0.18849426985825357,0.35233843751553295
W1,nohealth,1,300.33333333333337,3141.951903000504,0.5,0.4657272976061515,-0.30448729531096136,0.151712306246776,0.7501798980726988
W1,full,2,315.6666666666667,2898.8184113033094,0.5,0.33172269076478944,-0.36640751440316827,0.184929168428269,0.7513166130942707
W1,hard,2,554.6666666666666,5426.585369179175,0.0,0.632015175021583,0.0,0.22851583777842388,0.31682425077358367
W1,nohealth,2,277.66666666666663,2826.372491766084,0.52,0.3456659255581571,-0.35229835847385593,0.15400384210189855,0.7493617835816818
W1,full,3,573.3333333333333,4556.09484220232,0.18,0.3931161940121577,-0.15473362222689585,0.22728118287450683,0.3213078229153842
W1,hard,3,543.3333333333334,5104.9348069349935,0.0,0.6003116728199056,0.0,0.2514654302555809,0.3213078229153842
W1,nohealth,3,310.0,2647.9230144321837,0.44,0.30667143027908295,-0.35483656304094274,0.2280559989731662,0.7541113467126156
W1,full,4,586.3333333333334,4876.274151120469,0.24,0.370760696454008,-0.26033696403189677,0.2558351583109242,0.36807036336773774
W1,hard,4,598.0,5809.10088519726,0.0,0.5857987933527835,0.0,0.2604288339103431,0.32987043548338324
W1,nohealth,4,372.00000000000006,2877.599632954222,0.46,0.30668177574722333,-0.3505763289334439,0.2211927599952127,0.7584948416368981
W1,full,5,561.0,4391.471267939585,0.22,0.5031485324639964,-0.06984450204545087,0.25436580823045796,0.3278889415819196
W1,hard,5,643.6666666666667,5855.63321703626,0.0,0.6578622747869516,0.0,0.28928024890016546,0.3278889415819196
W1,nohealth,5,410.0,3291.2260769031805,0.48,0.35114640166147204,-0.28861776795653976,0.19914235235764888,0.7138863539098453
W1,full,6,332.3333333333333,3142.0106940239825,0.48,0.49591160664319167,-0.3322404365149761,0.07002707412507647,0.7542764289995524
W1,hard,6,643.3333333333334,5714.617376655182,0.0,0.6793801349136352,0.0,0.14366790747874236,0.32863531176746946
W1,nohealth,6,387.33333333333337,2936.6610403023833,0.48,0.47665776263236803,-0.3307538888511661,0.08766893227649686,0.737699703478487
W1,full,7,622.6666666666667,5062.439979657518,0.14,0.29549328409542386,-0.22728964023377712,0.2926028011835272,0.3601785217252042
W1,hard,7,542.6666666666666,5348.768993104783,0.0,0.524102020805546,0.0,0.2973997694427686,0.30940883840000394
