config,arm,seed,f1,f2_full,share_low,gini_delta_h,delta_h_low_mean,delta_h_max,h_end_min_lowgrp
W1,full,1,350.6666666666667,3231.142681930565,0.52,0.45743208258650037,-0.35039357845099117,0.09930446790010417,0.7512830540647374
W1,hard,1,603.3333333333333,5897.104106559135,0.0,0.6135197519912658,0.0,0.14327999954921355,0.33736652892105395
W1,nohealth,1,323.3333333333333,2936.3829830735453,0.48,0.43687445930896773,-0.3504839812159542,0.09652344963629889,0.7435589787818236
W1,full,2,512.3333333333334,4642.461567993487,0.66,0.2706669455518025,-0.2951925267828908,0.20448634504218566,0.344479135840777
W1,hard,2,1406.0,16030.407078375105,0.0,0.8477225707229128,0.0,0.2259245713435648,0.3332705929508417
W1,nohealth,2,333.66666666666663,3098.793885478136,0.74,0.18543367270219901,-0.3618634094293599,0.20551982097266686,0.7404912070227877
W1,full,3,706.0000000000001,4740.411821878076,0.1,0.6579278533241986,-0.061905059746030916,0.12893963345752535,0.3304679274121517
W1,hard,3,557.0,4246.28071044317,0.0,0.7071183738862803,0.0,0.13825580100563706,0.3304679274121517
W1,nohealth,3,317.66666666666663,2735.5845121267075,0.4,0.43027388668131517,-0.3139501149268211,0.09353943756819727,0.7375452089271468
W1,full,4,635.3333333333334,4919.254977413422,0.02,0.45904205502740614,-0.10013253401278999,0.2290089249895313,0.31291517997697577
W1,hard,4,424.0,3807.243789210059,0.0,0.5141981061549208,0.0,0.2426892828708731,0.31291517997697577
W1,nohealth,4,388.0,2929.79880039294,0.26,0.3793157924722257,-0.3707850205803645,0.22656105014226646,0.7614071213306093
W1,full,5,711.3333333333335,5755.951337620234,0.16,0.34399015386317755,-0.24291088119904955,0.21025971530858623,0.3974786887810742
W1,hard,5,591.3333333333334,5693.935759587056,0.0,0.6179728653017655,0.0,0.22699832950410903,0.3974786887810742
W1,nohealth,5,410.0,3293.77089786066,0.58,0.38958552072035135,-0.28513334227874954,0.15695536988799663,0.7138723658025168
W1,full,6,763.3333333333334,5717.876213953846,0.36,0.38665856802337406,-0.18429856809129427,0.23983490575769295,0.3686223122449249
W1,hard,6,962.6666666666669,10144.016833512,0.0,0.782673138756091,0.0,0.24788645332026826,0.3686223122449249
W1,nohealth,6,412.0,3162.080899707155,0.68,0.18231537236286055,-0.2849830779766152,0.1954883516917526,0.7355939199767562
W1,full,7,336.66666666666663,3104.2853521440247,0.66,0.22040293982042636,-0.330400258552877,0.24700607643300032,0.7480650381241019
W1,hard,7,954.6666666666666,10136.806078288591,0.0,0.7276192498073948,0.0,0.29070785337545757,0.305368315519731
W1,nohealth,7,354.3333333333333,2805.976364064776,0.72,0.2353793791709271,-0.32553353073693775,0.21335175744120505,0.7354522722434119
W1,full,8,527.3333333333334,4683.8980579448,0.02,0.4363121329804944,-0.06702468823805567,0.22888591953592563,0.35376950294304554
W1,hard,8,445.0,3945.3964714189024,0.0,0.4670958893700592,0.0,0.21318274082381916,0.35376950294304554
W1,nohealth,8,299.66666666666663,2665.001345327475,0.32,0.3672565292906962,-0.28270302321695495,0.19872737313861144,0.7472413158996212
W1,full,9,627.6666666666666,4726.508875820385,0.02,0.6291573376114641,-0.07313910860246275,0.09181186487862225,0.3774380405289428
W1,hard,9,479.66666666666663,3841.6459983103555,0.0,0.63123121033133,0.0,0.1691531901805139,0.3774380405289428
W1,nohealth,9,307.0,2927.599904920984,0.28,0.4729508429275433,-0.3047159716081366,0.1279147370994218,0.7645244667220117
W1,full,10,639.6666666666667,4921.276238375812,0.3,0.48335822886627167,-0.19155908885113268,0.25389642301525805,0.38577932552373867
W1,hard,10,610.0,6279.470106713014,0.0,0.7566586426597683,0.0,0.2580343558350052,0.3691009917952615
W1,nohealth,10,337.0,2854.4872346888433,0.6,0.3906209200009987,-0.2930633909281755,0.12396138127077794,0.7400950825408193
W1,full,11,326.6666666666667,2953.8086748614023,0.6,0.3232623434853439,-0.29278855153284866,0.18746012530756928,0.7389551229860855
W1,hard,11,742.6666666666667,7356.438878034201,0.0,0.7017836255206653,0.0,0.2372227867412281,0.38321828583424916
W1,nohealth,11,371.3333333333333,3018.1203642155606,0.6,0.3530841290186568,-0.27792685909313847,0.1732607936719145,0.7159180383089309
W1,full,12,722.6666666666666,6217.618736539185,0.16,0.5911848795937404,-0.1879018513832783,0.10264461335876551,0.3556335536421309
W1,hard,12,690.0,7407.829632706784,0.0,0.7051668880186073,0.0,0.10845717933142884,0.3556335536421309
W1,nohealth,12,293.6666666666667,3113.533784604438,0.62,0.3274277777518064,-0.35400443036471557,0.0540137615290035,0.7333494552427748
W1,full,13,722.3333333333334,4990.799233300368,0.08,0.4837662788602557,-0.15294240109743723,0.24488686824364125,0.3326532858142075
W1,hard,13,494.33333333333337,4801.58650497956,0.0,0.5816784666384431,0.0,0.2539512752257347,0.3326532858142075
W1,nohealth,13,329.6666666666667,2998.161414489088,0.42,0.39892344820171033,-0.3461878822196884,0.14739131197556488,0.7427157714076864
W1,full,14,469.33333333333337,3633.161411466514,0.0,0.26385698623982723,0.0,0.1373319941733221,0.44340316020107184
W1,hard,14,365.6666666666667,2929.4457849515115,0.0,0.34357957331537703,0.0,0.1704828845614902,0.44340316020107184
W1,nohealth,14,343.66666666666663,2523.4341957818187,0.2,0.3334813164373862,-0.30804346153686907,0.1500059181595187,0.762582281958047
W1,full,15,594.0000000000001,4344.231535071725,0.02,0.5310814266921855,-0.09032648609020222,0.22332670256315046,0.3770446367191773
W1,hard,15,418.33333333333337,3560.042193176468,0.0,0.5000086225652909,0.0,0.22471467432710113,0.3770446367191773
W1,nohealth,15,291.6666666666667,2571.632646934674,0.32,0.4858686081063537,-0.28644278361014847,0.17636137472211522,0.7403086819431366
W1,full,16,470.0,3280.767058265539,0.02,0.3250699809169637,-0.3655361138887272,0.23923626256683905,0.7399985154196864
W1,hard,16,337.0,2788.902228370499,0.0,0.40534873466790344,0.0,0.22311122454934484,0.3744624015309592
W1,nohealth,16,295.66666666666663,2726.285645053661,0.1,0.33653865808426575,-0.377258995457867,0.23491058187578184,0.7517213969888262
W1,full,17,472.3333333333333,4201.461541922202,0.12,0.5732744890663781,-0.04361394996468282,0.221420563275607,0.48587064865182744
W1,hard,17,437.6666666666667,4111.194533436098,0.0,0.6474187645529121,0.0,0.21647808442808192,0.48587064865182744
W1,nohealth,17,349.0,2704.700415023701,0.4,0.3567885717630883,-0.2321017107117793,0.19031033317546597,0.7459978958879538
W1,full,18,488.0,4210.658676670744,0.26,0.4713490543171881,-0.17014069557892877,0.26983622221005177,0.30815374471785045
W1,hard,18,579.3333333333334,5652.754742783203,0.0,0.7221541752898606,0.0,0.27883905454196367,0.30815374471785045
W1,nohealth,18,388.99999999999994,3137.91375499388,0.5,0.29935159260134725,-0.32444385584886687,0.256798174691503,0.7149742088721879
W1,full,19,753.6666666666666,5111.990081679688,0.06,0.4516894137408909,-0.15135524889557592,0.20311544898437606,0.32891379403208776
W1,hard,19,475.3333333333333,4575.617350264151,0.0,0.5762266975700641,0.0,0.22363944210191877,0.32891379403208776
W1,nohealth,19,318.33333333333337,2777.529110759294,0.42,0.36105399850691056,-0.3594912329700783,0.17083557967428376,0.7523527323771483
W1,full,20,698.6666666666667,4799.1700152914145,0.1,0.46500451588218006,-0.201880083822512,0.2251983214586194,0.48607668014171
W1,hard,20,470.6666666666667,4380.851913831055,0.0,0.655423965781943,0.0,0.23373108955814603,0.35424746355668935
W1,nohealth,20,352.6666666666667,3114.883266373545,0.46,0.41075669635150325,-0.28341401678267614,0.1684583655767028,0.7244592860549696
W1,full,21,690.3333333333334,5800.442223568022,0.22,0.3171933594672489,-0.28955175885058154,0.22866422474233283,0.38830149859873647
W1,hard,21,706.3333333333333,6900.149167691258,0.0,0.71792268902326,0.0,0.22854374821429635,0.31815856488737027
W1,nohealth,21,318.66666666666663,2897.747582330049,0.6,0.28013304236217706,-0.3313110290053492,0.1964867366592089,0.7407697484289604
W1,full,22,482.6666666666667,3959.393598160485,0.02,0.4608824085228762,-0.07123438136831267,0.22640815262410907,0.35313950136892125
W1,hard,22,416.66666666666674,3596.537765780843,0.0,0.508333459136689,0.0,0.24009794893737402,0.35313950136892125
W1,nohealth,22,342.6666666666667,2630.9217715860123,0.32,0.35841880970641404,-0.3563880635895152,0.19325578801816579,0.757317614947533
W1,full,23,727.0000000000001,5572.134928501801,0.1,0.5665339467799528,-0.10783847177586717,0.2406937405218783,0.34825945167242234
W1,hard,23,588.0,5798.295083783453,0.0,0.7648547086495543,0.0,0.22156107098699873,0.34825945167242234
W1,nohealth,23,300.0,3123.147442173091,0.52,0.32451516744276643,-0.3072700725890566,0.1871827298047093,0.7289213329108472
W1,full,24,418.00000000000006,3607.533840235915,0.5,0.510626943985627,-0.27152036591772005,0.0409079887446383,0.3114411477067004
W1,hard,24,747.3333333333333,6870.744358611576,0.0,0.7491899954474024,0.0,0.07922929878720364,0.3114411477067004
W1,nohealth,24,330.66666666666663,2946.2589235420637,0.58,0.3982258206123219,-0.33921429504955786,0.014594925918180901,0.7503326666397726
W1,full,25,542.3333333333334,4215.240533384095,0.28,0.4658600380813267,-0.12157744062145244,0.23867453306027997,0.33933236306137127
W1,hard,25,558.3333333333334,5392.056940633772,0.0,0.7329043688285957,0.0,0.2728019476149537,0.33933236306137127
W1,nohealth,25,419.66666666666674,3071.9634112206636,0.42,0.2749945045748463,-0.31207436659049864,0.22518758893516255,0.759476580047501
W1,full,26,489.66666666666663,4000.7391893772055,0.12,0.48932608970123814,-0.17596019343825323,0.27273619380734704,0.31756870651411206
W1,hard,26,494.0,4181.800756656788,0.0,0.6200588395844133,0.0,0.2584493108420831,0.31756870651411206
W1,nohealth,26,325.33333333333337,2819.29836113958,0.42,0.3645505189693643,-0.3880577944917142,0.19965365216072828,0.7401777673787991
W1,full,27,561.6666666666666,4546.866612301496,0.0,0.4581593725605495,0.0,0.20631881267022245,0.34685187903458786
W1,hard,27,424.6666666666667,3820.1266716396062,0.0,0.4721178826325092,0.0,0.23730623388396832,0.34685187903458786
W1,nohealth,27,353.66666666666674,3083.9761817151657,0.26,0.37522226658312285,-0.40883333807156036,0.1995219581106663,0.7734498377497334
W1,full,28,505.6666666666667,4392.134323146904,0.18,0.5166471863059159,-0.114397058436009,0.12214680611995088,0.35235442692026164
W1,hard,28,489.0000000000001,5027.377920214177,0.0,0.7061127042404614,0.0,0.1363382042197009,0.35235442692026164
W1,nohealth,28,387.0,2953.6378706361825,0.4,0.4095302728584622,-0.2803868067911288,0.10010134934917059,0.7327893958607702
W1,full,29,577.6666666666667,4168.095063471828,0.14,0.2621218217311492,-0.16876831446027174,0.19739554028576145,0.3289583632499094
W1,hard,29,515.0,4361.845994078242,0.0,0.4954405558221229,0.0,0.2160753553418976,0.3289583632499094
W1,nohealth,29,283.0,2540.576486778587,0.42,0.32408746103161445,-0.25778517828980285,0.1617082391242407,0.7491037533047309
W1,full,30,336.3333333333333,2676.1902549548863,0.08,0.5081481924526878,-0.1552345235222688,0.24262204668380416,0.39508143289360464
W1,hard,30,370.0,2863.0941555978798,0.0,0.5416540660700606,0.0,0.20984936041000524,0.39508143289360464
W1,nohealth,30,281.6666666666667,2378.464739469935,0.22,0.46195560311659434,-0.3372844191565811,0.19429188284972354,0.7832587627642682
W2,full,1,350.6666666666667,3231.142681930565,0.52,0.45866162028462587,-0.35179756841100024,0.09781135822623366,0.7532389679007725
W2,hard,1,603.3333333333333,5897.104106559135,0.0,0.6192297000329554,0.0,0.13998361130817993,0.33736652892105395
W2,nohealth,1,323.3333333333333,2936.3829830735453,0.48,0.43938724062438794,-0.3518853515533219,0.09514063677914053,0.7458772974035509
W2,full,2,512.3333333333334,4642.461567993487,0.66,0.26994412317477967,-0.29515283228506867,0.20120441288994517,0.344479135840777
W2,hard,2,1406.0,16030.407078375105,0.0,0.8485684393457278,0.0,0.22273266519547108,0.3332705929508417
W2,nohealth,2,333.66666666666663,3098.793885478136,0.74,0.18661478118458885,-0.36250158708013247,0.20196740587747342,0.7429770535013716
